
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/287/7	λεῖν εὐθέως ἤτοι κατὰ τὴν δευτέραν ἢ τὴν τρίτην ἢ τὴν τετάρ-
-Z/11/287/8	την ἡμέραν. ἐνίοτε καὶ κατὰ τὴν πρώτην αὐτὴν, ὅταν μὲν 
-Z/11/287/9	πυρετὸς ἄρξηται περὶ τὰ πρῶτα τῆς νυκτὸς ἢ τὰ μέσα, καλῶς 
-Z/11/287/10	δ' ᾖ πεπεμμένα τὰ κατὰ τὴν προτεραίαν ἐδηδεσμένα. τινῶν 
-Z/11/287/11	δὲ κατὰ τὴν προτεραίαν ἀνωμαλίαν ἵδρωτα ἢ ἄλγημα κεφα-
-Z/11/287/12	λῆς ἢ ἄλλου τινὸς μέρους ᾐτιασμένων, καὶ διὰ τοῦτο ἐνδεῶς 
-Z/11/287/13	διαιτηθέντων, ἀρχομένων δὲ πυρέττειν, νυκτὸς ἤδη προηκού-
-Z/11/287/14	σης, οἶδα κατὰ τὴν πρώτην ἡμέραν τελευτῶσαν ἀφελὼν 
-Z/11/287/15	αἵματος. ἐφ' ὧν γὰρ ἄν σοι φαίνηται ζέοντος αἵματος πλῆ-
-Z/11/287/16	θος, ὅτι τάχιστα πειρῶ κενοῦν αὐτὸ πρὶν ἐπί τι κατασκήψει 
-Z/11/287/17	μόριον κύριον, ὥστε καὶ διὰ τῆς νυκτὸς οὐκ ὀκνήσεις τεμεῖν 
-Z/11/287/18	ἐνίοτε φλέβα. γελοῖον γὰρ ὅπερ οἱ πολλοὶ πράττουσιν ἀπὸ  
-Z/11/288/1	δευτέρας ὥρας ἡμέρας ἄχρι εʹ ἢ στʹ ἀφαιροῦντες μόνον αἵμα-
-Z/11/288/2	τος, ἐν ἄλλῳ δ' οὐδενὶ χρόνῳ οὓς εἰ μὴ καὶ κλυστῆρσι καὶ 
-Z/11/288/3	τροφῆς προσφορᾷ καὶ τοῖς ἄλλοις βοηθήμασιν ἑώρων 
-Z/11/288/4	χρωμένους ἐν ἅπαντι καιρῷ τῆς νυκτὸς, ἐνῆν ἄν μοι χαλεπὸς 
-Z/11/288/5	ὁ πρὸς αὐτοὺς λόγος. ἐπεὶ δὲ πάντα πράττοντες οὐ τὸν 
-Z/11/288/6	ὡρισμένον ἀριθμὸν ὡρῶν ἕνα καὶ κοινὸν ἐπὶ πάντων τῶν 
-Z/11/288/7	νοσούντων, ἀλλ' ὡς ἂν ὑπαγορεύῃ τὸ πάθος ἐπὶ μόνης τῆς 
-Z/11/288/8	φλεβοτομίας τὸν εἰρημένον ἀρτίως ἀεὶ περιμένουσι καιρὸν, 
-Z/11/288/9	εὐφωρότατον ἴσχουσι τὸ σφάλμα. τοὺς οὖν οὕτω διακειμέ-
-Z/11/288/10	νους ἀῤῥώστους, ὡς εἰρήκαμεν, προσήκει μέχρι λειποθυμίας 
-Z/11/288/11	ἄγειν. ἐνίους γὰρ αὐτῶν οἶδα καταψυχθέντας μὲν ἐξ ἀνάγκης 
-Z/11/288/12	ἐπὶ τῇ λειποθυμίᾳ, προσγενομένων δὲ νοτίδων ἐν ὅλῳ τῷ 
-Z/11/288/13	σώματι καὶ τῆς γαστρὸς καταῤῥαγείσης ἐν τάχει παυσαμέ-
-Z/11/288/14	νους τῆς νόσου. προσέχειν μέντοι καλῶς ἔχει τῇ καθαιρέσει 
-Z/11/288/15	τῶν σφυγμῶν, ἐφαπτόμενον αὐτῶν ἔτι ῥέοντος τοῦ αἵματος, 
-Z/11/288/16	ὥσπερ κᾀπὶ τῶν ἄλλων ἁπάντων εἴωθα πράττειν τῶν φλεβο-
-Z/11/288/17	τομουμένων, ὅπως μή ποτε λάθῃς αὐτὸν ἀντὶ λειποθυμίας 
-Z/11/288/18	θάνατον ἐργασάμενος, ὅπερ οἶδα τρισὶν ἰατροῖς γενόμενον.  
-Z/11/289/1	ἐφλεβοτόμησεν εἰς μὲν αὐτῶν γυναῖκα πυρέττουσαν, ἑκατέρος 
-Z/11/289/2	δὲ τῶν ἄλλων ἄνδρα μέχρι λειποθυμίας τοσαύτης ὡς μηκέτι 
-Z/11/289/3	ἀναληφθῆναι. καὶ διὰ τοῦτο αὐτὸ βέλτιόν ἐστι φυλάττε-
-Z/11/289/4	σθαι τὰς ἀθρόας κενώσεις, εἰ μή τις ἀνάγκη μεγάλη κελεύῃ. 
-Z/11/289/5	καὶ μέντοι καὶ ἡ ἀντίσπασις οὐ μικρὸν οὖσα βοήθημα καὶ 
-Z/11/289/6	διὰ φλεβοτομίας γιγνομένη πολλάκις ὅσῳ περ εἰς ἀριθμὸν 
-Z/11/289/7	πλέονα τὰς κατὰ μέρος ἀφαιρέσεις αὐξήσεις, τοσοῦτον δρα-
-Z/11/289/8	στικώτερον γίνεται. ταῦτα μὲν οὖν ἀμείνω προεγνῶσθαι. 
-Z/11/289/9	  Πάλιν δὲ ἐξ ἀρχῆς ἀνελθόντες ἐπὶ τὸ προ-
-Z/11/289/10	κείμενον σκέμμα διέλθωμεν ὅσα γιγνώσκομεν ἀναγκαιότατα 
-Z/11/289/11	βουλομένοις ἀβλαβεῖς ἀεὶ τὰς φλεβοτομίας ἐργάζεσθαι. πρῶτον 
-Z/11/289/12	μὲν ἐπίστασθαι προσήκει τοὺς εἰρημένους σκοποὺς τοῦ βοη-
-Z/11/289/13	θήματος αὐξομένους μὲν ἐνδείκνυσθαι πλέονα κένωσιν, ἐκλυο-
-Z/11/289/14	μένους δὲ καθαίρειν εἰς τοσοῦτον τὴν ποσότητα τῆς κενώσεως, 
-Z/11/289/15	εἰς ὅσον ἐμειώθησαν αὐτοί. μέγεθος οὖν νοσήματος ἅμα 
-Z/11/289/16	ῥώμῃ δυνάμεως οἱ πρῶτοι σκοποὶ φλεβοτομίας ἦσαν, ὁ μὲν 
-Z/11/289/17	ὡς ἐνδεικνύμενος αὐτὸς ἃ χρὴ πράττειν, ὁ δ' ὡς οὐ κωλύων 
-Z/11/289/18	ἐκεῖνον, ὅπερ ἀντιενδείκνυσθαι καλοῦσιν ἔνιοι τῶν νεωτέρων  
-Z/11/290/1	ἰατρῶν. ἐνίοτε γὰρ ἡ μὲν διάθεσις ὑπαγορεύει τὴν φλεβοτο-
-Z/11/290/2	μίαν, ἡ δ' ἀῤῥωστία τῆς δυνάμεως κωλύει. τούτων δ' ἀμφο-
-Z/11/290/3	τέρων τῶν σκοπῶν ὑπαρχόντων, δῆλον μὲν, ὡς ἐλέχθη 
-Z/11/290/4	πρόσθεν, οὐδὲ πλῆθος ἐστὶ χυμῶν ὠμῶν τοσούτων τε καὶ 
-Z/11/290/5	τοιοῦτον ὡς κωλῦσαι τὸ βοήθημα. συνεπισκέπτεσθαι δ' 
-Z/11/290/6	ἐφεξῆς ὁποία ἡ φυσικὴ κρᾶσίς ἐστι τἀνθρώπου. τοὺς μὲν γὰρ 
-Z/11/290/7	μεγάλας ἔχοντας τὰς φλέβας, ἰσχνούς τε μετρίως καὶ μὴ λευ-
-Z/11/290/8	κοὺς μηδ' ἁπαλοσάρκους ἀφειδέστερον κενώσεις, τοὺς δ' 
-Z/11/290/9	ἐναντίους φειδομένως. αἷμά τε γὰρ ὀλίγον ἔχουσιν εὐδιαφό-
-Z/11/290/10	ρητόν τε τὴν σάρκα. κατὰ τοῦτον οὖν τὸν λόγον οὐδὲ τοὺς 
-Z/11/290/11	παῖδας φλεβοτομήσεις μέχρι τεσσαρακαιδεκαετοῦς ἡλικίας, 
-Z/11/290/12	μετὰ δὲ ταύτην ἐὰν αἷμα πάμπολύ τε φαίνηται ποτὲ ἠθροι-
-Z/11/290/13	σμένον, ἥ θ' ὥρα τοῦ ἔτους ἐαρινὴ καὶ τὸ χωρίον εὔκρατον 
-Z/11/290/14	φύσει καὶ ἡ τοῦ παιδὸς φύσις εὔαιμος, ἀφαιρήσεις ἔτι μᾶλλον 
-Z/11/290/15	αἷμα, εἰ κίνδυνος ἐφεδρεύει περιπνευμονίας, ἢ συνάγχης, ἢ 
-Z/11/290/16	πλευρίτιδος, ἢ τινὸς ἄλλου ὀξέος καὶ σφοδροῦ νοσή-
-Z/11/290/17	ματος. ἀφαιρήσεις δὲ τὸ πλεῖστον ἄχρι κοτύλης τὸ πρῶτον. 
-Z/11/290/18	ἐὰν δέ σοι μετὰ ταῦτα ἐπισκεπτομένῳ δόξῃ τὰ τῆς δυνάμεως  
-Z/11/291/1	ἰσχυρὰ διαμένειν, ἥμισυ προσθήσεις κατὰ τὴν ἐπαφαίρεσιν. 
-Z/11/291/2	ἔμαθες δὲ τῷ σφοδρῷ σφυγμῷ μετὰ ὁμαλότητος ὡς ἀψευ-
-Z/11/291/3	δεῖ σημείῳ πιστεύειν περὶ δυνάμεως ἰσχυρᾶς, ἐξ ἐπιμέτρου 
-Z/11/291/4	δὲ καὶ τῷ μεγάλῳ. καὶ τοίνυν καὶ τοὺς ἑβδομηκοντούτας 
-Z/11/291/5	φλεβοτομήσεις ὧν εἴρηκα σφυγμῶν παρόντων, ἐπειδὰν ἡ 
-Z/11/291/6	διάθεσις κελεύῃ. εἰσὶ γὰρ ἔτι καὶ κατὰ τὴν ἡλικίαν τήνδε 
-Z/11/291/7	πολύαιμοί τινες ἅμα ῥώμῃ δυνάμεως, ὥσπερ ἕτεροι ξηροὶ, 
-Z/11/291/8	καὶ ὀλίγαι μοι καὶ ῥᾳδίως μελαινόμενοι πᾶν τὸ πληγὲν 
-Z/11/291/9	μέρος. οὐ προσέξεις οὖν τῷ ἀριθμῷ μόνον, καθάπερ ἔνιοι 
-Z/11/291/10	προσέχουσιν, ἀλλὰ τῇ τοῦ σώματος ἕξει. καὶ γὰρ ἑξηκον-
-Z/11/291/11	τοῦταί τινες οὐκέτι φέρουσι φλεβοτομίαν, ἑβδομηκοντοῦται 
-Z/11/291/12	δὲ φέρουσιν. ἀλλὰ ἔλαττον ἀφαιρήσεις δηλονότι τούτων, 
-Z/11/291/13	εἰ καὶ τὴν αὐτὴν ἔχειν φαίνονται διάθεσιν ἀκμαστικῷ 
-Z/11/291/14	σώματι. 
-Z/11/291/15	  Κάλλιστον μὲν πρὸ τοῦ διαιρεῖν τὴν 
-Z/11/291/16	φλέβα τὰ τοιαῦτα πάντα ἐπισκέπτεσθαι, καὶ μάλιστα περὶ 
-Z/11/291/17	αἱμοῤῥοΐδων ἐπισχομένων καὶ γυναικείας καθάρσεως. ὁπότε 
-Z/11/291/18	γὰρ σχασθείσης τῆς φλεβὸς ῥέῃ τὸ αἷμα, τῇ μεταβολῇ μὲν  
-Z/11/292/1	αὐτοῦ, καὶ μάλισθ' ὅταν ᾖ ἤδη φλεγμονὴ, καὶ τῷ τόνῳ δὲ 
-Z/11/292/2	τῆς ῥύσεως ὁκλάζοντι, μάλιστα δὲ τῇ μεταβολῇ τῶν σφυγ-
-Z/11/292/3	μῶν ὡς ψευδεῖ γνωρίσματι προσέχειν δεῖ τὸν νοῦν καὶ 
-Z/11/292/4	παύειν αὐτίκα μεταβάλλοντος ἢ κατὰ μέγεθος ἢ κατὰ 
-Z/11/292/5	ἀνωμαλίαν ἡντινοῦν. περὶ μὲν γὰρ τῆς εἰς ἀμυδρότητα 
-Z/11/292/6	μεταβολῆς τί δεῖ καὶ λέγειν; ἔμαθες γὰρ ἐν τῇ ποιότητι 
-Z/11/292/7	ταύτῃ βεβαίαν γίγνεσθαι διάκρισιν ἰσχυρᾶς τε καὶ ἀσθε-
[0057]  [070]  []  []

-Z/11/292/8	νοῦς δυνάμεως. ἐφ' ὧν δὲ ἐγγὺς τῆς διαιρουμένης φλεβὸς 
-Z/11/292/9	ἐστί τις φλεγμονὴ μεγάλη, κάλλιστον ἀναμένειν τὴν μετα-
-Z/11/292/10	βολὴν τοῦ αἵματος ἔν τε τῇ χροιᾷ καὶ τῇ συστάσει, καθά-
-Z/11/292/11	περ καὶ ὁ Ἱπποκράτης ἐδήλωσεν ἐν τῷ περὶ διαίτης ὀξέων, 
-Z/11/292/12	ἐπὶ πλευρίτιδος ποιούμενος τὸν λόγον. ἕτερον γάρ ἐστι τὸ 
-Z/11/292/13	κατὰ φλεγμονὴν αἷμα τοῦ κατὰ φύσιν, ἐπιθερμαινόμενον 
-Z/11/292/14	ἐπιπλέον, εἰ μὲν ἦν ἔμπροσθεν ὠμότερον, ἐρυθρότερον καὶ 
-Z/11/292/15	ξανθότερον γίνεται, εἰ δὲ τοιοῦτον ἦν ἔμπροσθεν, ἐπὶ τὸ 
-Z/11/292/16	μέλαν ἐκτρέπεται κατοπτώμενον, διὰ τοῦτο ἔγραψεν ἐπὶ 
-Z/11/292/17	τῶν πλευριτικῶν ὁ Ἱπποκράτης ὧδε· ὁποίαν δὲ χρὴ τέ-
-Z/11/292/18	μνειν τὴν ἐν ἀγκῶνι φλέβα τὴν εἴσω καὶ μὴ ὀκνεῖν  
-Z/11/293/1	συχνὸν ἀφαιρήσειν, ἔστ' ἂν ἐρυθρότερόν τε καὶ ξανθότερον 
-Z/11/293/2	πολὺ ῥυῇ, ἢ ἀντὶ καθαροῦ τε καὶ ἐρυθροῦ πελιδνόν. ἀμφό-
-Z/11/293/3	τερα γὰρ γίνεται, σημεῖον γὰρ τίθεται τοῦ μετειλῆφθαί τι 
-Z/11/293/4	τοῦ κατὰ τὴν φλεγμονὴν αἵματος εἰς τὴν τετμημένην φλέβα, 
-Z/11/293/5	τῷ φανῆναι μεταβολὴν ἐν αὐτῷ. οὐ μὴν ἐκ παντὸς τρόπου 
-Z/11/293/6	περιμένειν χρὴ ταύτην, ἀλλ' ἔσθ' ὅτε καὶ πρὸ τοῦ γενέσθαι 
-Z/11/293/7	παύεσθαι προσήκει διὰ διττὴν αἰτίαν, ἤτοι δυνάμεως ἀῤῥω-
-Z/11/293/8	στούσης ἢ κακοήθους φλεγμονῆς, ἐνίοτε γὰρ οὐδὲν μεθίησιν, 
-Z/11/293/9	ἀλλὰ ἔσφικται σφοδρῶς. εἰ μέντοι ἡ δύναμις μὴ φαίνοιτο 
-Z/11/293/10	καταλυομένη διὰ τῆς κενώσεως, εἴδη δὲ τοῦτο τῶν σφυ-
-Z/11/293/11	γμῶν ἁπτόμενος, ὅταν φλεβοτομούμενος ἀκμάζων εἴη, περι-
-Z/11/293/12	μένειν προσήκει τὴν μεταβολὴν, καὶ μᾶλλον εἰ τὸ περιέχον 
-Z/11/293/13	εὔκρατον εἴη. δύο γάρ ἐστι ταῦτα δι' ἃ μάλιστα γίγνεται στο-
-Z/11/293/14	χαστικὸν τὸ ποσὸν τῆς κενώσεως ἐν τούτῳ τῷ βοηθή-
-Z/11/293/15	ματι, τοῦ τε κάμνοντος ἡ φύσις ὁποία τίς ἐστιν ἀδυνατούν-
-Z/11/293/16	των ἡμῶν ἀκριβῶς διαγνῶναι, τοῦ τε περιέχοντος ἡ κρᾶσις 
-Z/11/293/17	ὁποία τις ἔσται μετὰ τὴν φλεβοτομίαν. ὁπόταν γὰρ ἡ μὲν 
-Z/11/293/18	πυρετώδης θερμασία διαφορῇ πολὺ τοῦ αἵματος, ἐνδεῶς δ' 
-Z/11/293/19	ὁ κάμνων ᾖ διαιτώμενος, ἐξ ἀνάγκης ἐπιλείπῃ ταχέως αὐτὸν  
-Z/11/294/1	ἡ ἐκ τοῦ αἵματος τροφὴ, κᾀν τούτῳ καταλυθῇ ἡ δύναμις. 
-Z/11/294/2	ἐκδαπανᾶται δὲ διὰ μὲν τὴν κρᾶσιν τοῦ νοσοῦντος, ὑγράν 
-Z/11/294/3	τε καὶ θερμὴν οὖσαν, οἵα περ ἐστὶ καὶ ἡ τῶν παίδων, διὰ 
-Z/11/294/4	δὲ τὸ περιέχον ἐν χώρᾳ θερμῇ καὶ ὥρᾳ θερινῇ. διὰ τοῦτ' 
-Z/11/294/5	οὖν ἔλαττον ἀφαιροῦμεν ἢ τὸ πλῆθος ὑπαγορεύει, κατὰ μὲν 
-Z/11/294/6	τὰς ἡλικίας ἐπὶ τῶν παίδων, κατὰ δὲ τὰς ἕξεις τοῦ σώματος 
-Z/11/294/7	ἐπὶ τῶν ἁπαλοσάρκων καὶ λευκῶν, οἷοί περ εἰσὶν οἱ Κελτοὶ, 
-Z/11/294/8	κατὰ δὲ τὰς ὥρας ὑπὸ τοῦ κυνός. παραπλησίως δὲ κατὰ τὰ 
-Z/11/294/9	χωρία καὶ τὰς καταστάσεις. καθ' ἕτερον δὲ τρόπον, ὡς εἴρη-
-Z/11/294/10	ται καὶ ἔμπροσθεν ἐπὶ τῶν ἐναντίων, ὅπερ ἐστὶν ἐπὶ τῶν 
-Z/11/294/11	ψυχρῶν ὡρῶν τε καὶ χωρῶν, εὐλαβούμεθα κένωσιν δαψιλῆ 
-Z/11/294/12	διὰ τὴν ἑπομένην κατάψυξιν. οὔκουν οἷόν τε διὰ γραφῆς ἐφ' 
-Z/11/294/13	ἑκάστῳ τῶν εἰρημένων ἓν ἀφορίσαι κενώσεως μέτρον. οἶδα 
-Z/11/294/14	γὰρ ἐπ' ἐνίων μὲν αὐτάρκως ἀφελεῖν στʹ λίτρας αἵματος, ὡς 
-Z/11/294/15	τόν τε πυρετὸν αὐτίκα σβεσθῆναι καὶ μηδεμίαν ἀκολουθῆσαι 
-Z/11/294/16	κάκωσιν τῆς δυνάμεως· ἐπ' ἐνίων δὲ μίαν καὶ ἡμίσειαν οὐκ 
-Z/11/294/17	ἄνευ τοῦ βραχύ τι παραβλάψαι τὴν δύναμιν, ἐφ' ὧν εἰ δύο 
-Z/11/294/18	τις ἐκένωσεν, ἔβλαψεν ἂν ἐσχάτως. διὰ τοῦτ' οὖν οἶδα καὶ  
-Z/11/295/1	μίαν ἀφῃρηκὼς λίτραν ἐνίοτε ὠφελίμως, καί ποτε καὶ ταύτης 
-Z/11/295/2	ἐλάττονα, ἀπὸ φλεβὸς κατ' ἀγκῶνα καὶ ἰγνύαν καὶ ἀστρά-
-Z/11/295/3	γαλον, ὡς ἔκ τε τῶν παρὰ τοὺς μεγάλους κανθοὺς τῶν 
-Z/11/295/4	ὀφθαλμῶν ἢ ὑπὸ τὴν γλῶτταν, οὐδὲ ῥεῖν εἴωθεν ἀξιόλογον, 
-Z/11/295/5	ὥσπερ οὐδ' εἴ τις ἐν ποσὶν ἢ ἄκραις χερσὶ τέμνει φλέβα, 
-Z/11/295/6	καθάπερ καὶ οἱ σπλῆνα θεραπεύσασθαι νομίζοντες ὑπὸ τῆς 
-Z/11/295/7	παρὰ τὸν δεύτερον τῶν μικρῶν δακτύλων φλεβὸς τμηθείσης, 
-Z/11/295/8	ὑπὲρ ἧς ἐπιπλέον ἐφεξῆς εἰρήσεται. 
-Z/11/295/9	  Ὅσα οὖν καὶ περὶ τούτου τοῦ σκέμματος 
-Z/11/295/10	εἴρηται τοῖς ἰατροῖς εἰ γράφοιμι, δεήσει μοι βιβλίου μεγά-
-Z/11/295/11	λου, καθ' ἑαυτὸ δὲ πληρουμένου. καθάπερ δὲ ἐπὶ τῶν ἄλλων 
-Z/11/295/12	ἃ μέχρι δεῦρο τοῦ λόγου διώρισται, τὴν ἐμαυτοῦ γνώμην 
-Z/11/295/13	ὑμᾶς ἀνέμνησα, τεθεαμένους ἐπὶ τῶν ἔργων αὐτὴν μαρτυρου-
-Z/11/295/14	μένην, οὕτω καὶ νῦν πράξω, τὴν ἀρχὴν τοῦ λόγου ποιησά-
-Z/11/295/15	μενος ἐκ τῶν ἐναργῶς ὁσημέραι θεωρουμένων ἐπὶ τῶν 
-Z/11/295/16	καμνόντων, ἃ πρῶτος Ἱπποκράτης ἀκριβῶς παραφυλάξας 
-Z/11/295/17	ἔγραψεν. ἔστι δὲ αὐτῶν ἓν μὲν καὶ πρῶτον κεφάλαιον· ὅσα 
-Z/11/295/18	κατ' ἴξιν αἱμοῤῥαγεῖ, μεγίστην ὠφέλειαν ἐπιφέρειν τοῖς νοσοῦ- 
-Z/11/296/1	σιν. τὸ δὲ κατ' ἴξιν ὅτι κατ' εὐθὺ λέγει, πᾶσιν ὡμολόγηται, 
-Z/11/296/2	σαφῶς αὐτοῦ κεχρημένου πολλάκις ἐπὶ τοῦδε τοῦ σημαινομέ-
-Z/11/296/3	νου τῇ κατ' ἴξιν φωνῇ. τὰ δ' ἀνάπαλιν αἱμοῤῥαγοῦντα μηδὲν 
-Z/11/296/4	ὠφελεῖν ἢ καὶ βλάπτειν ἐνίοτε τῷ καταλῦσαι τὴν δύναμιν 
-Z/11/296/5	ἄνευ τοῦ τὸ πάθος κουφίσαι. οὔτε γὰρ ἐπὶ σπληνὶ μεγάλῳ 
-Z/11/296/6	μυκτὴρ δεξιὸς αἱμοῤῥαγήσας οὔτε ἀριστερὸς ἐφ' ἥπατι φέρει 
-Z/11/296/7	τινὰ ὠφέλειαν, ἀλλὰ ἀντίσπασις μὲν ἐν τοῖς κατ' εὐθὺ 
-Z/11/296/8	ἀντισπωμένοις ἐναργῆ τὴν ὠφέλειαν ἐν τάχει δεικνύει, ἐπὶ 
-Z/11/296/9	δὲ τοῖς ἀνάπαλιν οὐκέτι. δεξιοῦ μὲν οὖν αἱμοῤῥαγοῦντος 
-Z/11/296/10	μυκτῆρος ἡ κατὰ τὸ ὑποχόνδριον τὸ δεξιὸν ἐρειδομένη συκία 
-Z/11/296/11	σαφῶς ἵστησιν ἐν τάχει τὴν αἱμοῤῥαγίαν, ὥσπερ καὶ ἡ κατὰ 
-Z/11/296/12	τὸν ἀριστερὸν αἱμοῤῥαγοῦντος ἀριστεροῦ. καὶ φλεβοτομήσας 
-Z/11/296/13	δὲ χάριν ἀντισπάσεως, ἐπὶ μὲν ταῖς κατ' εὐθεῖαν αἱμοῤῥα-
-Z/11/296/14	γίαις ἐν τάχει θεάσῃ σαφῆ τὴν ὠφέλειαν. ἔμπαλιν δ' εἰ 
-Z/11/296/15	τέμνοις, οὐδὲν ὄφελος. 
-Z/11/296/16	  Οὕτω τοίνυν καὶ σπληνὸς πάσχοντος ἡ 
-Z/11/296/17	τῆς κατὰ τὸν παράμεσον δάκτυλον φλεβὸς διαίρεσις ὤνησεν 
-Z/11/296/18	ἐξ ἀριστερᾶς χειρὸς, ὡς εἰ καὶ τὴν ἐν ἀγκῶνι φλέβα τέμνῃς  
-Z/11/297/1	τὴν ἔνδον, ὠφελεῖ γὰρ ἱκανῶς σπλῆνα κακοπραγοῦντα κένω-
-Z/11/297/2	σις αἵματος ἐξ ἀριστερᾶς χειρὸς, ἄμεινον δὲ μὴ ἅπαξ ἐκκενοῦν 
-Z/11/297/3	τὸ σύμμετρον, ἀλλ' εἰς δύο μερίζοντας ἡμέρας. οὐ μὴν οἶδα 
-Z/11/297/4	κατὰ τί τοῖς ἰατροῖς ἠμέληται τοῦ φλεβοτομεῖν τοὺς σπλη-
-Z/11/297/5	νώδεις. ἐγὼ γὰρ ἀεὶ μεγάλην ὠφέλειαν ἔγνων γινομένην, εἰ 
-Z/11/297/6	καὶ λίτραν τις ἐκκενώσειεν μίαν, ἀλλὰ τό γε ποσὸν τῆς κενώ-
-Z/11/297/7	σεως ἐκ τῶν προειρημένων σκοπῶν χρὴ ποιεῖσθαι. καὶ μέν 
-Z/11/297/8	γε κᾀπὶ τῶν πλευριτικῶν ἡ κατ' εὐθὺ τοῦ πάσχοντος πλευ-
-Z/11/297/9	ροῦ φλεβοτομία τὴν ὠφέλειαν ἐναργεστάτην ἐπεδείξατο πολ-
-Z/11/297/10	λάκις, ἡ δὲ ἐκ τῆς ἀντικειμένης χειρὸς ἢ πάντως ἀμυδρὰν ἢ 
-Z/11/297/11	μετὰ χρόνον. ὀδύνας τε πολλάκις ὀφθαλμὸν ἰσχυροτάτας 
-Z/11/297/12	ἐντὸς ὥρας μιᾶς ἔπαυσεν ἡ κατ' εὐθὺ φλεβοτομία, τῆς 
-Z/11/297/13	ὠμιαίας καλουμένης φλεβὸς τεμνομένης. πειρᾶσθαι δ' ἐπὶ 
-Z/11/297/14	πάντων παθῶν ἄμεινον ἦν ἐπὶ ταῖς φλεβοτομίαις μετρίαις 
-Z/11/297/15	γινομέναις τὴν καλουμένην ἐπαφαίρεσιν ποιεῖσθαι, ποτὲ μὲν 
-Z/11/297/16	ἐπὶ μιᾶς ἡμέρας, ὅταν οὕτω πράττειν ἐγχωρῇ, ποτὲ δὲ καὶ 
-Z/11/297/17	κατὰ τὴν ὑστεραίαν, πλὴν εἴποτε, ὡς ἔμπροσθεν εἴρηται, 
-Z/11/297/18	μέχρι λειποθυμίας ἄγειν τὴν κένωσιν ἐπιχειροῖμεν. ἐπὶ μὲν  
-Z/11/298/1	οὖν τῶν ὀφθαλμῶν ἥ τ' ὠμιαία καλουμένη φλὲψ ἥ τ' ἐπ' 
-Z/11/298/2	αὐτῆς κατασχιζομένη κατ' ἀγκῶνα τμηθεῖσα φανερὰν ἐν 
-Z/11/298/3	τάχει τὴν ὠφέλειαν ἐπιφέρουσιν. ἐπὶ δὲ πλευρᾶς πεπονθυίας, 
-Z/11/298/4	ἢ πνεύμονος, ἢ διαφράγματος, ἢ σπληνὸς, ἢ ἥπατός τε καὶ 
-Z/11/298/5	γαστρὸς, ἢ διὰ μασχάλης ἐπὶ τὴν κατ' ἀγκῶνα διάρθρωσιν 
-Z/11/298/6	ἀφικνουμένη. τέμνειν δὲ καὶ ταύτην, μάλιστα μὲν αὐτὴν τὴν 
-Z/11/298/7	ἔνδον· εἰ δὲ μὴ, τὴν ἀπ' αὐτῆς ἀποσχιζομένην εἰς τὴν καμπὴν 
-Z/11/298/8	τῆς διαρθρώσεως. ἴστε δή που μικρὸν ἔμπροσθεν ἀπὸ τῆς 
-Z/11/298/9	ὠμιαίας φλεβὸς ἀποσχίζεσθαι τὴν προειρημένην συνάπτουσαν 
-Z/11/298/10	αὐτήν. τρεῖς γὰρ οὗτοι τρόποι τῆς κατ' ἀγκῶνα φλεβοτομίας 
-Z/11/298/11	εἰσὶν, ὅ τ' ἔνδον καὶ ὁ ἐκτὸς καὶ ὁ μέσος. ὁ μὲν οὖν ἔνδον 
-Z/11/298/12	ἐπὶ τῶν τὰ κάτω τοῦ τραχήλου πεπονθότων ὠφέλιμος, ὁ δὲ 
-Z/11/298/13	ἐκτὸς ἐπὶ τῶν ὑπὲρ τούτων ἢ προσώπου ἢ κεφαλῆς. ὁ μέσος 
-Z/11/298/14	δὲ τόπος ἐνίοτε μὲν ἀμφοτέρας ἔχει τὰς ἀπεσχισμένας φλέβας, 
-Z/11/298/15	εἰς τὸ πρόσω τῆς χειρὸς ἐκτεινομένας, εἶτ' ἐνταῦθα συναπτο-
-Z/11/298/16	μένας, ἐνίοτε δὲ διὰ ταχέων εἰς ταυτὸν ἀλλήλαις ἰούσας κατὰ 
-Z/11/298/17	τὴν καμπὴν τῆς διαρθρώσεως, ἔστι δ' ὅτε σαφῆ μὲν τὴν ἑτέ-
[0057]  [070]  []  []

-Z/11/298/18	ραν αὐτῶν, ἀσαφῆ δὲ τὴν ἑτέραν. ὅταν οὖν ἀσαφεστέρας  
-Z/11/299/1	οὔσης τῆς οἰκείας τῷ πάσχοντι μορίῳ φλεβὸς, ἐπί τινα τῶν 
-Z/11/299/2	μέσων ἥκῃς, πειρῶ τὴν ἀποσχιζομένην τῆς οἰκείας τέμνειν 
-Z/11/299/3	μᾶλλον. ἔστι δ' ὅτε καὶ τὰς κατωτέρας τῆς κατ' ἀγκῶνα 
-Z/11/299/4	διαρθρώσεως, ὅσαι κατὰ τὸν πῆχύν εἰσι, διαιρεῖν οὐδὲν κωλύει 
-Z/11/299/5	μὴ φαινομένων τῶν κατ' ἀγκῶνα. καὶ τούτων αὐτῶν 
