
[0057]  [079]  []  []

-Z/14/210/t1	{ΓΑΛΗΝΟΥ ΠΡΟΣ ΠΙΣΩΝΑ ΠΕΡΙ 
-Z/14/274/11	ματιζομένους ὠφελεῖ μάλιστα τότε, ὅταν ὁ τῆς ἐπιδόσεως 
-Z/14/274/12	καιρὸς παρέλθῃ καὶ ἡ στάσις τῆς ἀκμῆς γένηται. παρα-
-Z/14/274/13	μυθούμενον γὰρ τὰ ἀλγήματα τοῖς παρηγορεῖν δυναμένοις 
-Z/14/274/14	ἐπιθέμασι διδόναι πίνειν χρὴ τοῦ φαρμάκου, ἵνα 
-Z/14/274/15	ἐπέχηται τὰ ῥεύματα. ἐξαναλίσκει γὰρ ἡ ἀντίδοτος τὰ ἤδη 
-Z/14/274/16	ἐπενεχθέντα καὶ ἄλλα κωλύει φέρεσθαι. μάλιστα δὲ ὀνί-
-Z/14/274/17	νησιν ὅταν τις αὐτὴν καὶ ὑγιαίνων συνεχῶς λαμβάνῃ, ἐκ-
-Z/14/274/18	δαπανᾶται γὰρ τὰ περιττὰ τῶν ὑγρῶν καὶ τὴν ὅλην ἀλλοιοῖ 
-Z/14/274/19	σύγκρισιν. τὰ μὲν γὰρ ἄλλα τῶν φαρμάκων, ὅσα εἰς ἀπαλ- 
-Z/14/275/1	λαγὴν τοῦ νοσήματος οἱ ποδαγριῶντες πίνουσι, τὴν μὲν ἐπὶ 
-Z/14/275/2	τοὺς πόδας τοῦ ῥεύματος φορὰν κωλύει γίγνεσθαι, οὐκ 
-Z/14/275/3	ἐξαναλίσκοντα δὲ τὴν περιττὴν τούτων ὑγρασίαν ἄλλου τι-
-Z/14/275/4	νὸς μείζονος νοσήματος γένεσιν ἐργάζεται. πλανωμένου γὰρ 
-Z/14/275/5	ἐν τῷ σώματι τοῦ ῥεύματος ὁ πνεύμων ἀεὶ κινούμενος διὰ 
-Z/14/275/6	τὴν τῆς ἀναπνοῆς ἀνάγκην, καὶ διὰ τὸ μανὸν τοῦ σώματος 
-Z/14/275/7	δέξασθαι τὸ ῥεῦμα ῥᾳδίως δυνάμενος, τὸ πᾶν αὐτὸς ἐφ' 
-Z/14/275/8	ἑαυτὸν ἕλκων, οὕτω πνίγει τὸν ἄνθρωπον, ὅπερ ἱστορικῶς 
-Z/14/275/9	ἐπὶ πολλῶν ἐγὼ τῇ πείρᾳ κατέμαθον, καὶ διὰ τοῦτο ἀπο-
-Z/14/275/10	συμβουλεύω μηδ' ὅλως πίνειν ταῦτα τὰ φάρμακα. τῇ δὲ 
-Z/14/275/11	θηριακῇ ἐν τοῖς τοιούτοις χρῆσθαι καὶ πάνυ παραινῶ· καὶ 
-Z/14/275/12	γὰρ ξηραίνουσα τὰ περιττὰ τῶν ὑγρῶν ὠφελεῖ καὶ ἕτερα 
-Z/14/275/13	συλλέγεσθαι οὐκ ἐᾷ. πολλοὶ γοῦν ἐν ἀρχῇ συνεχῶς πίνειν 
-Z/14/275/14	ἀρξάμενοι ἀπηλλάγησαν τελέως τοῦ πάθους, καὶ τούτῳ γε 
-Z/14/275/15	οἶμαι τῷ λόγῳ καὶ τοὺς ὑδεριῶντας πολλάκις μεγάλως 
-Z/14/275/16	ὠφέλησεν, ἐκδαπανῶσα τὸ ἐν αὐτοῖς ὑγρὸν καὶ κατεψυγμέ-
-Z/14/275/17	νον, τὸ ἔμφυτον θερμὸν ἀναθερμαίνειν δυναμένη, καὶ μά-
-Z/14/275/18	λιστα τοὺς ἀνασάρκας καὶ λευκοφλεγματίας λεγομένους ὕδρω- 
-Z/14/276/1	πας γενναίως εἴωθεν ὠφελεῖν, εἰς ὅλον τὸ σῶμα ἀναδιδο-
-Z/14/276/2	μένη καὶ πολλαχόθι ἐκθλίβουσα τῶν σαρκῶν τὴν ὑγρασίαν. 
-Z/14/276/3	διόπερ καὶ τῆς καχεξίας λεγομένης ἄριστόν ἐστι φάρμακον, 
-Z/14/276/4	μετασυγκρίνουσα τὴν ἕξιν τοῦ σώματος, καὶ τὰ μὲν περιττὰ 
-Z/14/276/5	διαφοροῦσα, τὴν δὲ φύσιν ἐνεργεῖν εὐτόνως τὰς φυσικὰς 
-Z/14/276/6	ἐνεργείας παρασκευάζειν δυναμένη. τούτῳ δὲ τῷ τρόπῳ 
-Z/14/276/7	τῆς βοηθείας καὶ τοῖς ἐλεφαντιῶσι πολλάκις ἐπι-
-Z/14/276/8	κουρεῖν πέφυκε. πολλοῦ γὰρ ὄντος τοῦ διεφθορότος ῥεύμα-
-Z/14/276/9	τος καὶ σηπούσης τῆς τούτου δυνάμεως τὴν ὅλην σύγκρι-
-Z/14/276/10	σιν, ἐκνικᾷν εἴωθεν ἡ ἀντίδοτος τὸ νόσημα, ἐπέχουσα μὲν 
-Z/14/276/11	τοὺς ῥευματισμοὺς, κωλύουσα δὲ τὴν διαφθορὰν γίγνεσθαι 
-Z/14/276/12	τοῦ αἵματος. τοὺς δὲ τετανικῶς σπωμένους καὶ αὐτοὺς 
-Z/14/276/13	πολλάκις ἐθεράπευσε, θερμαίνουσα τὰ νεῦρα καὶ τὰς τάσεις 
-Z/14/276/14	αὐτῶν χαλῶσα, ὥσπερ δὴ καὶ τὰς παραλύσεις τῶν μερῶν 
-Z/14/276/15	ἐξιωμένη πολλάκις καὶ ἀναζωπυρεῖν ποιοῦσα τὸ πνεῦμα εἰς 
-Z/14/276/16	τὸ κατὰ φύσιν ἤγαγε καὶ τὰς κινήσεις τοῖς μέρεσιν ἐνεργεῖν 
-Z/14/276/17	ἀπέδωκε. θαυμάζειν δὲ ἔστι τὴν ἀντίδοτον, ὅταν μὴ μόνον 
-Z/14/276/18	αὐτὴν πάσχον θεραπεύουσαν βλέπωμεν, ἀλλὰ καὶ αὐ-
-Z/14/276/19	τὴν τὴν ψυχὴν πολλάκις ὑπὸ τῶν παθῶν διατιθεμένην  
-Z/14/277/1	κακῶς ὠφελεῖν δυναμένην. τὰς γοῦν ἐκ τῆς μελαγχολίας 
-Z/14/277/2	γινομένας αὐτῇ κακώσεις παύει διδόμενον συνεχῶς τὸ φάρ-
-Z/14/277/3	μακον, ὥσπερ ἐκπῖνον καὶ ἐξαναλίσκον ἐκ τῶν ἀγγείων καὶ 
-Z/14/277/4	ἐκ τοῦ σπληνὸς τὴν μέλαιναν χολὴν, καθάπερ καὶ τὸν ἰὸν 
-Z/14/277/5	τῶν θηρίων, διόπερ καὶ πρὸς τὸν πυρετὸν τὸν τεταρταῖον 
-Z/14/277/6	μάλιστα ἁρμόζει καλῶς. ὑπὸ γὰρ τῆς μελαίνης χολῆς γενό-
-Z/14/277/7	μενος ὁ πυρετὸς οὗτος εὐκόλως ὑπὸ τῆς ἀντιδότου ἀπαλ-
-Z/14/277/8	λάττεται, μάλισθ' ὅταν τὶς αὐτῇ τεχνικῶς ᾖ χρώμενος. ἔγω-
-Z/14/277/9	γ' οὖν πολλοὺς τῶν τεταρταιζόντων τῇ ἀγωγῇ ταύτῃ χρησά-
-Z/14/277/10	μενος ἀπήλλαξα ῥᾳδίως τοῦ νοσήματος, προκενώσας αὐτοὺς 
-Z/14/277/11	τῷ ἀπὸ δείπνου ἐμέτῳ, εἶτα τῇ ἑξῆς ἐπιδοὺς τὸν χυλὸν τοῦ 
-Z/14/277/12	ἀψινθίου, ἵνα ἐπιγλυκάνω καὶ κατακεράσω τὴν χολὴν, οὕτως 
-Z/14/277/13	πρὸ ὡρῶν δύο τῆς ἐπισημασίας τὴν ἀντίδοτον δίδωμι. καὶ 
-Z/14/277/14	θαυμαστῶς οἶδα πολλάκις ἐπιτυχοῦσαν αὐτὴν, ὡς ταχέως 
-Z/14/277/15	ἀνεπισήμαντον μεῖναι τὸν λαμβάνοντα. 
-Z/14/277/16	  [Μεθοδικῶν ἔλεγχος ἄχρηστον εἶναι 
-Z/14/277/17	νομιζόντων τὸ εἰδέναι τὰς τῶν νόσων αἰτίας· καὶ πάλιν τὰ 
-Z/14/277/18	χρήσιμα τῆς θηριακῆς διεξίησι.] Καὶ τὸν ὑδροφόβον δὲ, 
-Z/14/277/19	τὸν κάκιστον τῶν νοσημάτων, τοῦτο τὸ φάρμακον πολλάκις  
-Z/14/278/1	ἀπαλλάττειν εἴωθε καὶ θαυμασίως ἀνταγωνίζεσθαι τῇ τῶν 
-Z/14/278/2	τοσούτων κακῶν συνδρομῇ. οὐ γὰρ μόνον αὐτοῖς τὸ σῶμα 
-Z/14/278/3	ξηραίνεται καὶ σπώμενον γίνεται ἐνίοτε καὶ πυρετὸν δρι-
-Z/14/278/4	μέως ἔνδοθεν καίεται, ἀλλὰ καὶ γνώμῃ παρανοεῖ καὶ τὸ χα-
-Z/14/278/5	λεπώτατον αὐτοῖς φέρει σύμπτωμα. τὸ γὰρ ὕδωρ φοβοῦν-
-Z/14/278/6	ται καὶ διὰ μὲν τὴν πολλὴν ξηρότητα τοῦ ὑγροῦ ἐπιθυμίαν 
-Z/14/278/7	ἔχουσι καὶ τοῦ πιεῖν ἀπέχονται, διὰ δὲ τὴν παρακοπὴν 
-Z/14/278/8	τὸ ὠφελῆσαι δυνάμενον οὐκ ἐπινοοῦσι. φεύγοντες γὰρ τὸ 
-Z/14/278/9	ὕδωρ καὶ φοβούμενοι τῷ οἰκτίστῳ θανάτῳ ἀποθνήσκουσι 
-Z/14/278/10	κακῶς, ἐφ' ὧν μάλιστα ἐγὼ καὶ τοὺς μεθοδικοὺς τεθαύμακα, 
-Z/14/278/11	ἀχρήστους γὰρ αἰτίας πρὸς τὰς θεραπείας εἶναι λέγοντες 
-Z/14/278/12	οὐκ οἶδ' ὅπως καὶ θεραπεύειν ποτὲ τούτους δύνανται, ἁπλοῦ 
-Z/14/278/13	τοῦ δήγματος ὄντος καὶ ὁμοίου φαινομένου τῷ ὑπὸ τοῦ μὴ 
[0057]  [079]  []  []

-Z/14/278/14	λυσσῶντος δεδηγμένῳ κυνός. τίνα γὰρ καὶ θεραπείας τρό-
-Z/14/278/15	πον αὐτοῖς ἐνδείξεται, ἀπερισκέπτως ὁρώμενον τὸ τραῦμα 
-Z/14/278/16	τοῦ σώματος, μὴ ἐξεταζομένης ὑπ' αὐτῶν τῆς ἔνδον αἰτίας 
-Z/14/278/17	οὔσης καὶ τοῖς μὲν ὀφθαλμοῖς τοῦ μεθοδικοῦ μὴ ὁρωμένης, 
-Z/14/278/18	ὑπὸ δὲ τοῦ λογικοῦ ἰατροῦ μόνῳ τῷ λογισμῷ καὶ τῇ ἐξε- 
-Z/14/279/1	τάσει ἀκριβῶς ἐξευρισκομένης; διὸ καὶ ὁ μεθοδικῷ θερα-
-Z/14/279/2	πεύοντι κακῶς ἐμπεσὼν ἄθλιος, ὥσπερ ἀλόγῳ τινὶ καὶ αὐτῷ 
-Z/14/279/3	ὄντι θηρίῳ, πάντως τεθνήξεται, ἀκολούθως ἀπολλύμενος 
-Z/14/279/4	αὐτοῦ τῇ αἱρέσει, ἐπεὶ διὰ τὴν ἀκολουθίαν τοῦ δόγματος 
-Z/14/279/5	ἐξετάζειν τὴν αἰτίαν οὐ βούλεται. ὁ δὲ εὐτυχῶς τῷ μετὰ 
-Z/14/279/6	λόγου θεραπεύοντι προσελθὼν οὔτε τοῖς οὕτω πονηροῖς 
-Z/14/279/7	συμπτώμασιν ἁλώσεται ῥᾳδίως καὶ τὸν θάνατον ἐκφεύξεται 
-Z/14/279/8	διὰ τὴν τοῦ λογικοῦ ἰατροῦ τέχνην. παραλαβὼν γὰρ αὐ-
-Z/14/279/9	τὸν ὁ τοιοῦτος ἰατρὸς εὐθέως ἀκριβῶς ἐξετάσει ὁποῖός τις 
-Z/14/279/10	ἦν αὐτὸν ὁ κατεδηδοκὼς κύων. εἰ γὰρ ἀκούσεις ὅτι ἰσχνὸς 
-Z/14/279/11	μὲν καὶ κατάξηρος τῷ σώματι, καὶ τοῖς ὄμμασιν ἐξέρυθρος, 
-Z/14/279/12	καὶ τὴν οὐρὰν παρειμένος καὶ τὸν ἀφρὸν ἐκ τοῦ στόματος 
-Z/14/279/13	ἔχων ῥέοντα, μάθοις δὲ ὅτι καὶ τὴν γλῶτταν ἔξω εἶχε προ-
-Z/14/279/14	βεβλημένην καὶ ὥσπερ χολὴν κεχρωσμένην, ἐμπίπτων τε τοῖς 
-Z/14/279/15	ἐντυγχάνουσι καὶ ἀλόγως τρέχων, εἶτα πάλιν αἰφνίδιον ἑστά-
-Z/14/279/16	ναι θέλων καὶ δάκνων μετ' ὀργῆς τινος μανικωτέρας ἀπρο-
-Z/14/279/17	οράτους αὐτοῦ γενομένους, εἰ ταῦτα ἀκούσῃς οὕτως ἔχοντα, 
-Z/14/279/18	εὐθέως μὲν συνήσεις λυττῶντα γεγονέναι τὸν κύνα. θερα- 
-Z/14/280/1	πεύσεις δὲ οὐχ ἁπλῶς οὕτως ὥσπερ ὁ μεθοδικὸς τὸ τραῦμα, 
-Z/14/280/2	ἀλλ' εὐθέως μὲν αὐτὸ καὶ μεῖζον ἐργάσῃ, περιτεμὼν τὴν 
-Z/14/280/3	σάρκα, ἐκ πολλοῦ τοῦ διαστήματος καὶ κυκλοτερὲς αὐτοῦ τὸ 
-Z/14/280/4	σχῆμα ποιῶν, ἵνα μὴ ῥᾳδίως ἐπουλοῦσθαι δύναται, ἀλλ' 
-Z/14/280/5	ἔχοι ἀνεῳγότα τὸν πόρον, εἰς πολὺ τοῦ χρόνου τὸ μῆκος 
-Z/14/280/6	τοὐλάχιστον εἰς τὰς τετταράκοντα ἡμέρας, καὶ ἐξέλθοι διὰ 
-Z/14/280/7	τούτου ἰὸς τοῦ κυνός. καυτηρίοις γοῦν εἰώθαμεν πάνυ πε-
-Z/14/280/8	πυρακτωμένοις ἐπικαίειν τὸν τόπον καὶ κεχρῆσθαι τοῖς 
-Z/14/280/9	ἄλλοις φαρμάκοις ὅσα ἐπισπαστικά ἐστι, καὶ ἔνδον τῆς σαρ-
-Z/14/280/10	κὸς τὸν ἰὸν μένειν οὐκ ἐᾷ. ἐγὼ δὲ ἐπινοήσας ποτὲ, καὶ 
-Z/14/280/11	τὴν ἀντίδοτον αὐτὴν ἀνῆκα τῷ ἀπὸ τῶν ῥόδων σκευαζομένῳ 
-Z/14/280/12	ἐλαίῳ, καὶ ὥς τι φάρμακον ἔμμοτον ἐπέθηκα τῷ τραύματι, 
-Z/14/280/13	ἵνα ὥσπερ τὶς σικύα ἐκμυζήσῃ καὶ ἐκ τοῦ βάθους ἐπισπά-
-Z/14/280/14	σηται τὸ διαφθεῖραι δυνάμενον· καὶ ὅλως καθάπερ τι 
-Z/14/280/15	παιώνειον φάρμακον ἡ θηριακὴ καὶ ἔξωθεν ἐπιτιθεμένη 
-Z/14/280/16	καὶ πινομένη τοῖς λυσσοδήκτοις ἀκριβῶς βοηθεῖ. ἐφάνη δὲ 
-Z/14/280/17	ἡμῖν ἡ ἀντίδοτος αὕτη καὶ ἐν ταῖς λοιμικαῖς κατα-
-Z/14/280/18	στάσεσι μόνη τοῖς ἁλισκομένοις βοηθεῖν δυναμένη, μηδενὸς  
-Z/14/281/1	ἄλλου βοηθήματος τῷ μεγέθει τοῦ κακοῦ ἀντιστῆναι οὕτως 
-Z/14/281/2	πεφυκότος. ὥσπερ γάρ τι θηρίον καὶ αὐτὸς ὁ λοιμὸς οὐκ 
-Z/14/281/3	ὀλίγους τινὰς, ἀλλὰ καὶ πόλεις ὅλας ἐπινεμόμενος διαφθεί-
-Z/14/281/4	ρει κακῶς, τροπῆς τινος μοχθηρᾶς εἰς τὸ διαφθείρειν δύ-
-Z/14/281/5	νασθαι περὶ τὸν ἀέρα γιγνομένης, καὶ τῶν ἀνθρώπων τῇ 
-Z/14/281/6	τῆς ἀναπνοῆς ἀνάγκῃ τὸ δεινὸν φεύγειν μὴ δυναμένων, ἀλλὰ 
-Z/14/281/7	αὐτὸν εἰς αὑτοὺς ὥσπερ τι δηλητήριον διὰ στόματος ἑλκόν-
-Z/14/281/8	των τὸν ἀέρα. διόπερ ἐπαινῶ καὶ τὸν θαυμασιώτατον Ἱπ-
-Z/14/281/9	ποκράτην, ὅτι τὸν λοιμὸν ἐκεῖνον τὸν ἐκ τῆς Αἰθιοπίας εἰς 
-Z/14/281/10	τοὺς Ἕλληνας φθάσαντα οὐκ ἄλλως ἐθεράπευσεν ἀλλ' ἢ 
-Z/14/281/11	τρέψας τὸν ἀέρα καὶ ἀλλοιώσας, ἵνα μηκέτι τοιοῦτος ὢν 
-Z/14/281/12	ἀναπνέηται. κελεύσας οὖν ἀνὰ τὴν πόλιν ὅλην ἐξάπτεσθαι 
-Z/14/281/13	τὸ πῦρ, οὐχ ἁπλῆν τῆς ἀνάψεως τὴν ὕλην ἔχον, ἀλλὰ στε-
-Z/14/281/14	φάνων τε καὶ τῶν ἀνθῶν τὰ εὐωδέστατα, τοιαῦτα συνεβού-
-Z/14/281/15	λευσεν εἶναι τοῦ πυρὸς τὴν τροφὴν, καὶ ἐπισπεύδειν αὐτῷ 
-Z/14/281/16	τῶν μύρων τὰ λιπαρώτατα, καὶ ἡδεῖαν τὴν ὀδμὴν ἔχοντα, 
-Z/14/281/17	ἵν' οὕτω καθαρὸν γενόμενον οἱ ἄνθρωποι ἀναπνεύσωσιν εἰς 
-Z/14/281/18	τὴν ἀπαλλαγὴν τὸν ἀέρα. τὸν αὐτὸν τρόπον νομίζω καὶ  
-Z/14/282/1	τὴν θηριακὴν, ὥσπερ τι καὶ αὐτὴν οὖσαν πῦρ καθάρσιον, 
-Z/14/282/2	τοὺς μὲν προπίνοντας αὐτὴν ἐν τῇ λοιμικῇ καταστάσει μηδ' 
-Z/14/282/3	ὅλως ἐᾷν ἁλίσκεσθαι τῷ κακῷ, τοὺς δὲ ἤδη φθάσαντας πα-
-Z/14/282/4	θεῖν ἐξιᾶσθαι δύνασθαι, ἀλλοιοῦσαν καὶ τρέπουσαν τὴν 
-Z/14/282/5	τοῦ ἀναπνευσθέντος ἀέρος πονηρίαν καὶ μηκέτ' ἐῶσαν δια-
-Z/14/282/6	φθείρειν τὴν σύγκρισιν. διόπερ ἐγὼ συμβουλεύω σοι καὶ 
-Z/14/282/7	διὰ ταύτας μὲν τὰς οὕτω γιγνομένας αἰφνιδίους περὶ τὸν 
-Z/14/282/8	ἀέρα καταστάσεις, καὶ διὰ τὰς ἄλλας τῶν βλαπτόντων αἰ-
-Z/14/282/9	τίας λαμβάνειν τῆς ἀντιδότου συνεχῶς καὶ ὑγιαίνοντι, ἵνα 
-Z/14/282/10	καὶ τοῖς ἔξωθεν προσπίπτουσιν ἀνθιστῆταί σοι τὸ σῶμα καὶ 
-Z/14/282/11	ὅταν ἤδη πάθῃ, εὐίατον εὕρῃς. αὕτη γὰρ ὡς εὐκρασίαν 
-Z/14/282/12	τινὰ καὶ ὑγιεινὴν κατάστασιν περιποιεῖ τοῖς σώμασιν, ἀνα-
-Z/14/282/13	λίσκουσα τὰ περιττώματα τῶν ὑγρῶν καὶ ἀναθερμαίνουσα 
-Z/14/282/14	τὰ κατεψυγμένα τῶν μερῶν, καὶ τὴν ἔμφυτον δύναμιν το-
-Z/14/282/15	νοῦσα πρὸς τὸ τὰς φυσικὰς ἐνεργείας ἐκτελεῖσθαι 
-Z/14/282/16	καλῶς. ὅταν γὰρ ἡ φύσις εὐρώστως ἔχῃ, τότε καὶ ἀνεκπο-
-Z/14/282/17	δίστως ἡ κοιλία πέσσει τὰς τροφὰς, καὶ αἱ φλέβες ἐξαιμα-
-Z/14/282/18	τοῦσιν αὐτὰς εὐχερῶς, καὶ τὸ ἧπαρ ῥᾳδίως διακρίνει τὴν 
-Z/14/282/19	χολὴν, καὶ καθαρὸν παραλαβοῦσα ἡ καρδία τὸ αἷμα, ὅλῳ  
-Z/14/283/1	λοιπὸν, ὡς ἤδη τρέψαι δυνάμενον, ἐπιπέμπει τῷ σώματι, 
-Z/14/283/2	τάς τε ἀποκρίσεις καὶ αὐτὰς ἀποδίδοσθαι συμμέτρως ποιεῖ, 
-Z/14/283/3	καὶ τὰ περιττὰ τῷ σώματι δι' ὅλης τῆς ἀναπνοῆς ὑγιεινῶς 
-Z/14/283/4	διαφορεῖ. μάλιστα δὲ ἐν ταῖς ὁδοιπορίαις συμβουλεύω σοι 
-Z/14/283/5	τῆς ἀντιδότου λαμβάνειν, ὁπότε ψυχροῦ ὄντος τοῦ ἀέρος 
-Z/14/283/6	χειμῶνος ὁδεύῃς. ἔσται γὰρ ὥσπερ τι τῶν σπλάγχνων 
-Z/14/283/7	ἀγαθὸν ἔνδυμα καὶ πολλὴν τὴν θερμότητα αὐτοῖς παρέχειν 
-Z/14/283/8	δυνάμενον. οἶδα δ' αὐτὴν καὶ εἰς τὴν τῆς ψυχῆς σύνεσίν 
-Z/14/283/9	τε καὶ ὀξύτητα μὴ οὖσαν ἀσύμβολον. τάς τε γὰρ αἰσθήσεις 
-Z/14/283/10	ἐνεργεῖν εὐτόνως ἀπεργάζεται καὶ καθαρὸν τῶν ἀναθυμιά-
-Z/14/283/11	σεων ἀποφαίνουσα τὸν νοῦν ἀκριβέστερον αὐτὸν διακεῖσθαι 
-Z/14/283/12	ποιεῖ. συνελόντι δ' εἰπεῖν, ὅλον δυσπαθὲς εἶναι τὸ σῶμα 
-Z/14/283/13	κατασκευάζει, ὡς μηδὲ ὑπὸ δηλητηρίου τινὸς διαφθείρεσθαι. 
-Z/14/283/14	ἡ γὰρ ποικίλη καὶ τοσαύτη τῆς μίξεως τοῦ φαρμάκου δύνα-
-Z/14/283/15	μις τὴν τοιαύτην δυσπάθειαν ἀποτελεῖ, καὶ μάλιστα ἐπεὶ 
-Z/14/283/16	τὸ τῶν θηρίων ἔχει μίγμα. φασὶ γὰρ καὶ τὸν Μιθριδάτην 
-Z/14/283/17	ἐκεῖνον τὸν μέγαν πολεμιστὴν, τὴν μὲν θηριακὴν μὴ λαμ-
-Z/14/283/18	βάνοντα, οὐδέπω γὰρ ἦν, ἄλλην δ' ἀντίδοτον λαμβάνοντα 
-Z/14/283/19	πολυμίγματόν τινα, καὶ αὐτὴν τῷ ἐκείνου ὀνόματι οὕτω  
-Z/14/284/1	καλουμένην, Μιθριδάτειος γὰρ ὀνομάζεται, διὰ τὴν ἐξ αὐ-
-Z/14/284/2	τῆς κατεσκευσμένην τῷ σώματι δυσπάθειαν μὴ δυνηθῆναι 
-Z/14/284/3	λαβόντα τὸ φάρμακον ἀποθανεῖν. ὁπότε γὰρ πολεμῶν πρὸς 
-Z/14/284/4	τοὺς Ῥωμαίους ὑπὸ τοῦ Πομπηΐου νικώμενος καὶ 
-Z/14/284/5	ἐν τοῖς ἐσχάτοις ὢν ὑπὸ τοῦ φαρμάκου τοῦ ἰοῦ ἄνοσος 
-Z/14/284/6	ἀποθανεῖν ἠπείγετο, πιὼν τὸ φάρμακον καὶ πολύ γε αὐτοῦ 
-Z/14/284/7	λαβὼν αὐτὸς μὲν οὐκ ἀπέθνησκε, τὰς δὲ θυγατέρας πάνυ 
-Z/14/284/8	βουληθείσας αὐτῷ διὰ τὴν φιλοστοργίαν συναποθανεῖν πιού-
-Z/14/284/9	σας τὸ αὐτὸ φάρμακον ταχέως ἀποκτανῆναι, εἶθ' ὡς ἐβρά-
-Z/14/284/10	δυνε μὴ ἀποθνήσκων, τοῦ φαρμάκου δι' ἣν προέπινεν ἀν-
-Z/14/284/11	τίδοτον μηδὲν ἰσχῦσαι δυναμένου, καλέσας Βιστόκον τοὔνο-
-Z/14/284/12	μα τῶν φίλων αὐτοῦ τινα, ἐκέλευσεν αὐτὸν ἀποσφάξαι, καὶ 
-Z/14/284/13	οὕτω ποιήσας τῷ σιδήρῳ τοῦ φαρμάκου γενέσθαι τὸ ἔργον, 
-Z/14/284/14	ἀποθανεῖν αὐτὸν βιαίως ἠνάγκασεν. 
-Z/14/284/15	  [Πόσον καὶ πότε καὶ ὑφ' ὧν ληπτέον τὴν 
-Z/14/284/16	θηριακήν.] Ὁρᾷς οὖν ὅπως τὰ πολυμιγῆ τῶν φαρμάκων 
-Z/14/284/17	πολλὴν τὴν ἰσχὺν πρὸς τὸ ποιῆσαι τὴν δυσπάθειαν ἔχει, 
-Z/14/284/18	καὶ μάλιστα ἡ θηριακὴ, διὰ τὴν τοσαύτην δύναμιν, ὡς  
-Z/14/285/1	ἔφην, τῶν θηρίων. λαμβάνειν δέ σοι τὸ φάρμακον συμ-
-Z/14/285/2	βουλεύω, ὅτε εὔπεπτος εἶ καὶ σιτίων μὴ πλήρης, καὶ τῷ 
-Z/14/285/3	μέτρῳ δὲ ἄλλοτε ἄλλως χρώμενος εὖ ποιήσεις. ποτὲ μὲν 
-Z/14/285/4	γὰρ κυάμου τοῦ Αἰγυπτίου τὸ μέγεθος μετὰ κυάθων δύο 
-Z/14/285/5	ὕδατος λάμβανε, ὅταν ὀλίγον ᾖ τὸ μέλλον αὐτῆς πρὸς τὴν 
-Z/14/285/6	πέψιν γίνεσθαι διάστημα· ποτὲ δὲ καρύου Ποντικοῦ τὸ 
-Z/14/285/7	μέγεθος πίῃς, καὶ ἀνιεὶς κυάθοις τρισὶν οὕτως αὐτὸ πῖνε, 
[0057]  [079]  []  []

-Z/14/285/8	ὅταν πλείονα πρὸς τὴν διοίκησιν τοῦ φαρμάκου τὸν χρόνον 
-Z/14/285/9	ἔχῃς. ἐπίβλεπε δὲ ἅμα καὶ τὴν ὥραν καὶ τὴν χώραν, ἐν 
-Z/14/285/10	αἷς μέλλεις λαμβάνειν τοῦ φαρμάκου. θέρος μὲν γὰρ ὅταν 
-Z/14/285/11	ᾖ, οὐδ' ὅλως αὐτοῦ σοι συμβουλεύω λαμβάνειν. θερμοῦ γὰρ 
-Z/14/285/12	ὄντος τοῦ καταστήματος, ἔτι καὶ μᾶλλον θερμότερον γιγνό-
-Z/14/285/13	μενον βλάπτεται τὸ σῶμα, καὶ τοῦτό γε συνιδὼν ὁ θαυ-
-Z/14/285/14	μασιώτατος Ἱπποκράτης τὰς πρὸ κυνὸς καὶ κατὰ κύνα φαρ-
-Z/14/285/15	μακίας ἐργώδεας εἶναι λέγει. πυρετὸν γὰρ ὁ καιρὸς ὡς 
-Z/14/285/16	ἐπὶ τὸ πλεῖστον οὗτος τοῖς ἀνθρώποις φέρει. διόπερ καὶ 
-Z/14/285/17	τοῖς ἀκμάζουσι τὴν ἡλικίαν καὶ πολλὴν ἔχουσι τὴν φυσικὴν 
-Z/14/285/18	θερμότητα μὴ πολὺ μηδὲ πολλάκις προσφέρεσθαι τὸ φάρ- 
-Z/14/286/1	μακον παραινῶ· ὥσπερ γε τοῖς ἤδη τοῦ βίου τὴν παρα-
-Z/14/286/2	κμὴν ἔχουσι καὶ πλεῖστον καὶ μὴ ὀλιγάκις οὐ μεθ' ὕδατος, 
-Z/14/286/3	ἀλλὰ μετ' οἴνου μᾶλλον συμβουλεύω λαμβάνειν, ἵνα τὸ μα-
-Z/14/286/4	ραινόμενον ἤδη τοῦ σώματος καὶ τὸ ἀπεσβεσμένον τοῦ ἐμ-
-Z/14/286/5	φύτου θερμοῦ ἀναζωπυρεῖν καὶ ἀνάπτεσθαι ὑπ' αὐτοῦ δύ-
-Z/14/286/6	νηται. ἐπὶ δὲ τῶν παιδίων παντάπασι δεῖ φυλάττεσθαι τὸ 
-Z/14/286/7	φάρμακον. μεῖζον γάρ ἐστιν αὐτῆς τῆς δυνάμεως τὸ μέγε-
-Z/14/286/8	θος τοῦ φαρμάκου, καὶ διαλύει ῥᾳδίως τὸ σῶμα καὶ τὸ 
-Z/14/286/9	ἔμφυτον πνεῦμα ταχέως σβέννυσιν· ὥσπερ δὴ καὶ τὴν λυ-
-Z/14/286/10	χνιαίαν φλόγα τὸ ἔλαιον τοῦ πυρὸς πλέον γενόμενον εὐ-
