
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/870/16	μὲν εἶναι τὸ παραβαλλόμενον, οὐ μὴν ὅμοιόν γε. πολλάκις 
-Z/18b/870/17	γὰρ ὁ ἕτερος βραχίων ἠτρόφησε κατά τινα διάθεσιν ἢ ἀπό- 
-Z/18b/871/1	στασιν ἔσχεν ἢ βλαισσὸν τὸ σκέλος ἢ ῥαιβὸν ἐγένετο, διὸ 
-Z/18b/871/2	καὶ πάλιν ἐπήνεγκε τὸ ὑγιὲς, οὐ ὀκνήσας πάντως τῇ δυνά-
-Z/18b/871/3	μει εἰπεῖν αὐτὸ, οὕνεκα τοῦ μηδὲν ἡμᾶς παρακοῦσαι. τὸ 
-Z/18b/871/4	γὰρ ὁμόζυγον ὑγιὲς πάντως ἐστὶν, ἂν ὅμοιον ἢ πλησίον ἢ 
-Z/18b/871/5	ἀμφότερα φθάνοι κατ' αὐτὸν τρόπον πεπονθέναι. τοῦτο δ' 
-Z/18b/871/6	ἐπ' ἄλλων, ἀλλὰ τοῦτο δεησόμεθα τὸ ὁμοίως προσθεῖναι τῷ 
-Z/18b/871/7	ὑγιές. ἀρκέσει μόνον ὑγιὲς εἰπεῖν, ἐν ἑαυτῷ καὶ τὸ 
-Z/18b/871/8	ὅμοιον. ἴσως οὖν ἀμφότερα γεγραφότος αὐτοῦ τοῦ Ἱππο-
-Z/18b/871/9	κράτους, ὡς ἐν ἄλλοις συνέβη τὸ ἐγγραφόμενον, οὐ τὸ ἕτερον 
-Z/18b/871/10	αὐτῶν, ἀλλὰ μὴ τὰ δύο γράψαι. 
-Z/18b/871/11	          — — — 
-Z/18b/871/12	            κστʹ. 
-Z/18b/871/13	Ἀνάτριψις δύναται λῦσαι, δῆσαι, σαρκῶσαι, μινυθῆσαι. ἡ 
-Z/18b/871/14	  σκληρὴ δῆσαι, ἡ μαλακὴ λῦσαι, ἡ πολλὴ μινυθῆσαι, ἡ με-
-Z/18b/871/15	  τρίη παχῦναι. 
-Z/18b/871/16	          — — —  
-Z/18b/872/1	  Δῆσαι μὲν λέγει τὸ πυκνῶσαι, λῦσαι δὲ τὸ ἀραιῶσαι 
-Z/18b/872/2	καὶ μαλακῦναι, μινυθῆσαι δὲ τὸ ἰσχνᾶναι. τὴν μὲν οὖν 
-Z/18b/872/3	σκληρὰν τρίψιν εἰκὸς δήπου καὶ τὴν τριβομένην σάρκα πα-
-Z/18b/872/4	ραπλησίαν ἑαυτῇ ποιεῖν ἐν τῷ πιλεῖν τε καὶ θλίβειν αὐτήν. 
-Z/18b/872/5	οὕτως δὲ καὶ τὴν μαλακὴν τρίψιν ὁμοίαν ἑαυτῇ καὶ τὴν 
-Z/18b/872/6	σάρκα κατασκευάζειν, ὡς ἂν τῇ σκληρᾷ τἀναντία δρῶσαν. 
-Z/18b/872/7	τὴν δὲ πολὺ διαφέρουσαν ὑπὸ πλέον ἰσχναίνειν εὔλογον. 
-Z/18b/872/8	ἀνατρέφειν δὲ καὶ σαρκοῦν οὐχ ἁπλῶς τὴν ἀντικειμένην τῇ 
-Z/18b/872/9	πολλῇ τὴν ὀλίγην, ἀλλὰ τὴν μετρίην, ὅπερ εἶπε καὶ πρόσθεν 
-Z/18b/872/10	ἐπὶ τῆς τοῦ θερμοῦ ὕδατος χρήσεως. ἡ γὰρ παντελῶς ὀλίγη 
-Z/18b/872/11	τρίψις ὁμοίως τῇ βραχείᾳ καταχύσει τοῦ ὕδατος οὐδὲν αἰ-
-Z/18b/872/12	σθητὸν ἐργάζεται. μέχρι τοσοῦτο τοίνυν χρὴ τρίβειν, ἕνεκα 
-Z/18b/872/13	σαρκώσεως, ἄχρι περ ἂν ἐκφάνῃ τὰ αὐτὰ γνωρίσματα τοῖς 
-Z/18b/872/14	ἐπὶ τῆς μετρίας καταχύσεως εἰρημένοις ἐν τῇ λέξει, καθ' 
-Z/18b/872/15	ἥν φησιν· ἔτι μετεωριζομένου δεῖ, πρὶν συμπίπτειν παύσα-
-Z/18b/872/16	σθαι. τὸ μὲν γὰρ πρῶτον αἴρεται, ἔπειτα δὲ ἰσχναίνεται. 
-Z/18b/872/17	ὅτι δ' οὐδὲν λείπει περὶ τῶν ἔργων τῆς ἀνατρίψεως ἐν τῷ  
-Z/18b/873/1	δευτέρῳ τῶν ὑγιεινῶν ἐπιδέδεικταί μοι. γιγνώσκειν μέντοι 
-Z/18b/873/2	χρὴ καὶ τοῦτο τοῖς πολλοῖς ἀγνοούμενον, ὡς οὐ τὴν ἐκ τῶν 
-Z/18b/873/3	κάτω μερῶν ἄνω γιγνομένην τρίψιν ὀνομάζουσιν οἱ Ἕλληνες, 
-Z/18b/873/4	ἀλλ' ἅπασαν ἁπλῶς αὖ ἐπιτελουμένην καὶ σπάνιόν γέ ἐστι 
-Z/18b/873/5	τὸ τῆς τρίψεως ὄνομα παρ' αὐτοῖς εὑρεῖν. ἀνάτριψιν γὰρ 
-Z/18b/873/6	ἔθος ἐστὶν αὐτοῖς ὀνομάζειν, ὃ νῦν ἡμίτριψιν καλοῦμεν. 
-Z/18b/873/7	          — — — 
-Z/18b/873/8	            κζʹ. 
-Z/18b/873/9	    Ἐπιδεῖν δὲ τὸ πρῶτον ὁ μὲν ἐπιδεδεμένος μάλιστα 
-Z/18b/873/10	φάτω πεπιέχθαι κατὰ τὸ σίνος, ἥκιστα τὰ ἄκρα. ἡρηῶσθαι 
-Z/18b/873/11	δὲ, μὴ πεπιέχθαι τῷ πλήθει μὴ ἰσχύει. τὴν δὲ ἡμέρην 
-Z/18b/873/12	ταύτην καὶ νύκτα ὀλίγῳ μᾶλλον, τὴν δ' ὑστέρην ἧσσον, 
-Z/18b/873/13	τρίτη χαλαρά. εὑρεθήτω δὲ τῇ μὲν ὑστεραίῃ ἐν ἄκροις οἴ-
-Z/18b/873/14	δημα μαλθακὸν, τῇ τρίτῃ δὲ τὸ ἐπιδεθὲν, ἰσχνότερον παρὰ 
-Z/18b/873/15	πάσας τὰς ἐπιδέσιας τοῦτο. τῇ δ' ὑστεραίῃ ἐπιδέσει, ἢν 
-Z/18b/873/16	δικαίως ἐπιδεδεμένον φανῇ, μαθεῖν δεῖ. ἐντεῦθεν δὲ μᾶλλον 
-Z/18b/873/17	καὶ ἐπὶ πλείοσιν πιεχθήτω. τῇ δὲ τρίτῃ ἐπὶ μᾶλλον δὲ ἐπὶ  
-Z/18b/874/1	πλείοσιν. τῇ δὲ ἑβδόμῃ ἀπὸ τῆς πρώτης ἐπιδέσεως λυθέντα, 
-Z/18b/874/2	εὑρεθήτω ἰσχνὰ, χαλαρὰ τὰ ὀστέα. ἐς δὲ νάρθηκας δε-
-Z/18b/874/3	θέντα, ἢν ἰσχνὰ καὶ ἄκνησμα καὶ ἀνέλκεα ᾖ, ἐὰν μέχρις 
-Z/18b/874/4	εἴκοσιν ἡμερέων ἀπὸ τοῦ σίνεος. ἢν δέ τι ὑποπτένηται, 
-Z/18b/874/5	λῦσαι ἐν μέσῳ νάρθηκας διὰ τρίτης ἐρείδειν, ἡ ἀνάληψις, 
-Z/18b/874/6	ἡ ἀπόθεσις, ἡ ἐπίδεσις, ὡς ἐν τῷ αὐτῷ σχήματι ᾖ διαφυ-
-Z/18b/874/7	λάσσειν. 
-Z/18b/874/8	          — — — 
-Z/18b/874/9	    Ἑρμάσματα μὲν ὅτι ἕρματα λέγουσιν οἱ Ἕλληνες εὔ-
-Z/18b/874/10	δηλόν ἐστι κἀκ τοῦ παρὰ τοῦ ποιητοῦ λεχθέντος οὕτω· 
-Z/18b/874/11	    ὑπὸ δ' ἤρεον ἕρματα νηῶν. 
-Z/18b/874/12	ἀνάλογον δὲ αὐτῷ τὸ ἡρμόσθαι, τὸ οἷον ἐρηρεῖσθαι καὶ 
-Z/18b/874/13	ἐστηρίχθαι δηλοῖ. τοῦτ' οὖν διὰ τὸ πλῆθος τῶν ὀθονίων 
-Z/18b/874/14	μᾶλλον ἢ τῆς ἰσχύος γίγνεται. κελεύει δὲ ἰδίως τὴν ἐκ τῆς 
-Z/18b/874/15	ἐπιδέσεως θλίψιν. εἴρηται δὲ καὶ περὶ τοῦδε καὶ περὶ τῶν 
-Z/18b/874/16	ἄλλων ἁπάντων, ὅσα κατὰ τὴν προκειμένην ῥῆσιν καὶ τὰ  
-Z/18b/875/1	ἐφεξῆς γέγραπται τελειώτατα διά τε τοῦ περὶ ἀγμῶν καὶ 
-Z/18b/875/2	τοῦ περὶ ἄρθρων, λανθανόντων ἐξηγεῖσθαι καὶ μεταφέρειν 
-Z/18b/875/3	εἰς τόδε τὸ βιβλίον, ὅσα τελέως ἐν ἐκείνοις εἴρηται καὶ 
-Z/18b/875/4	τοῦτο καὶ σαφῶς οὐχ ἡγοῦμαι προσήκειν. αἰσχρὸν γάρ μοί 
-Z/18b/875/5	ἐστιν αὖθις τὰ ἀριζήλως εἰρημένα μυθολογεῖν, ὃ πάντων 
-Z/18b/875/6	δεινότατον ἑρμηνεύειν τὸ νοηθὲν οὐκ ἐμοῦ μόνον φησίν. 
-Z/18b/875/7	ὑπερβὰς κατὰ αὐτὰ, καὶ γὰρ σαφῶς εἴρηται τοῖς ἀνεγνω-
-Z/18b/875/8	κόσι τὸ περὶ ἀγμῶν καὶ περὶ ἄρθρων, ἐπὶ τὰ συνεχῆ τρέ-
-Z/18b/875/9	ψομαι. 
-Z/18b/875/10	          — — — 
-Z/18b/875/11	            κηʹ. 
-Z/18b/875/12	Κεφάλαια, σχημάτων ἔθη, φύσεις ἑκάστου τῶν με-
-Z/18b/875/13	  λέων. τὰ εἴδεα ἐκ τοῦ τρέχειν, ὁδοιπορέειν, ἑστάναι, κα-
-Z/18b/875/14	  τακεῖσθαι ἐκ τοῦ ἔργου, ἐκ τοῦ ἀφεῖσθαι. 
-Z/18b/875/15	          — — — 
-Z/18b/875/16	    Εὔδηλον κατ' αὐτῆς τῆς ῥήσεως ὅτι τὸ βιβλίον τοῦτο 
-Z/18b/875/17	γεγραμμένον ἐν τύποις ἐξεδόθη μετὰ τὸν τοῦ γράψαντος 
-Z/18b/875/18	αὐτοῦ θάνατον. εἰώθασι γὰρ οἱ τὰ τοιαῦτα ἐκγράφοντες  
-Z/18b/876/1	διττῶς ὑπὸ τοῦ συγγραφέως γραφέντα ἢ ἔξωθεν, ἕνεκα τοῦ 
-Z/18b/876/2	διασκέψασθαι ποτέροις ἀμείνοσι αὐτοῖς ἑρμηνεῦσαι, 
-Z/18b/876/3	ταῦτα ἐπιγράφειν αὐτῷ τῷ συγγράμματι. τί γὰρ πιστεῦσαι 
-Z/18b/876/4	δύναται δὶς τὰ αὐτὰ γράψαι βουληθῆναι ἐν τούτῳ τῷ βι-
-Z/18b/876/5	βλίῳ, μηδεμιᾶς ἀνάγκης εὐλόγου γενομένης, ἔτι τε μᾶλλον 
-Z/18b/876/6	ἐν ᾧ βραχυλογίαν ἐσχάτην ἐπετήδευσεν, ἀλλ' ἐπειδὴ τοῖς 
-Z/18b/876/7	πρὸ ἡμῶν ἔδοξε καὶ τὰ τοιαῦτα ἐξηγῆσαι καὶ ἡμεῖς αὐτοῖς 
-Z/18b/876/8	ἀκολουθήσαμεν. ὅταν μὲν οὖν τὰ κεφάλαια τῶν σχημάτων 
-Z/18b/876/9	ἐν ἴσῳ τῶν σκοπῶν εἴρηκεν, εἰς οὓς ἀποβλέποντες εὑρήσο-
-Z/18b/876/10	μεν ἐφ' ἑκάστῳ μέρει αὐτοῦ οἰκεῖον σχῆμα, πρόδηλόν ἐστι. 
-Z/18b/876/11	καὶ μὲν δὴ καὶ ὅτι τὰ ἔθη τῶν σκοπῶν τοιούτων εἷς ἐστιν, 
-Z/18b/876/12	εἴρηται καὶ πρόσθεν ἐν τῇδε τῇ ῥήσει· πάρεξις δὲ καὶ διά-
-Z/18b/876/13	τασις καὶ κατάτασις καὶ τἄλλα κατὰ φύσιν. φύσις δὲ ἐν μὲν 
-Z/18b/876/14	ἔργοις τοῦ ἔργου τῇ πρήξει, ὃ βούλεται τεκμαρτέον. ἐς δὲ 
-Z/18b/876/15	ταῦτα ἐκ τοῦ ἐλινύοντος, ἐκ τοῦ κοινοῦ, ἐκ τοῦ ἔθεος· 
-Z/18b/876/16	ἐκ μὲν ἐλινύοντος καὶ ἀφειμένου τὰς ἰθυωρίας σκέπτεσθαι 
-Z/18b/876/17	οἷον τὸ τῆς χειρός. ἐκ δὲ τοῦ κοινοῦ ἔκτασιν, σύγκαμψιν,  
-Z/18b/877/1	οἷον τὸ ἐγγὺς τοῦ ἐγγωνίου πήχεος πρὸς βραχίονα· ἐκ δὲ τοῦ 
-Z/18b/877/2	ἔθεος, ὅτι οὐκ ἄλλα σχήματα φέρειν δυνατώτερα, οἷον σκέ-
-Z/18b/877/3	λεα ἔκτασιν. ἀπὸ τουτέων γὰρ ῥήϊστα πλεῖστον χρόνον ἔχοι 
-Z/18b/877/4	ἂν μὴ μεταλλάσσοντα. ταῦτα γεγραφὼς ἀνήρω πῶς οὐκ ἂν 
-Z/18b/877/5	αὖθις ἔγραψεν αὐτῶν φαυλότερα κατὰ τὴν προκειμένην ῥῆ-
-Z/18b/877/6	σιν. προειπὼν γὰρ ἐν αὐτῇ ἔθεά τε καὶ φύσιας ἑκάστου 
-Z/18b/877/7	μελέων, ἑξῆς τὰ εἴδεα, τουτέστι τὰς διαφορὰς αὐτῶν ἐξ 
-Z/18b/877/8	ἐνεργειῶν γνωρίζεσθαι βούλεται. τινὲς δὲ καὶ προσεγρά-
-Z/18b/877/9	ψαντο τὰ εἴδεα τῶν μελῶν, ἵνα ἡ λέξις οὕτως ἔχῃ· τὰ εἴδεα 
-Z/18b/877/10	τῶν μελῶν. περὶ γοῦν σκελέων ὡς ἐπὶ παραδείγματος ἔφη· 
-Z/18b/877/11	ἐκ τοῦ τρέχειν, ὁδοιπορέειν, ἑστάναι. καὶ κατὰ ταῦτα προσ-
-Z/18b/877/12	έθηκεν ἐκ τοῦ κατακεῖσθαι, ὅπερ ταὐτὸν ἔσται τῷ προγε-
-Z/18b/877/13	γραμμένῳ ῥήματι τῷ ἐλινύειν. καὶ μέντοι καὶ μᾶλλον ἐφε-
-Z/18b/877/14	ξῆς τούτων εἰπὼν, ἐκ τοῦ ἔργου καὶ τοῦ ἀφεῖσθαι. τὸ μὲν 
[0057]  [101]  []  []

-Z/18b/877/15	ἔργον ἀντὶ τῶν κατὰ μέρος ἔργων ἔλαβε, τοῦ τρέχειν καὶ 
-Z/18b/877/16	ὁδοιπορέειν καὶ ἑστάναι. τὸ δ' ἀφεῖσθαι ἀντὶ τοῦ ἐλινύειν, 
-Z/18b/877/17	ὥστε οὐδὲν πλέον ἐν τῇδε τῇ ῥήσει διῆλθεν ἔργων καὶ ἡσυ- 
-Z/18b/878/1	χίας· οὐδὲ γὰρ ὅτι φύσεις ὠνόμασε μελῶν ἐν ἀρχῇ τῆς 
-Z/18b/878/2	ῥήσεως ἡγητέον αὐτὸν, ἀλλὰ τοῦτο τρίτον σχῆμα τῶν 
-Z/18b/878/3	κεφαλαίων εἰρηκέναι, μηδὲν τἄλλο τῆς φύσεως εἰρηκότα 
-Z/18b/878/4	γνώρισμα παρὰ τὰ ἔργα, τὸ ὅλον ὧδι ἔχει, καθάπερ ἐν τῇ 
-Z/18b/878/5	μικρὸν ἔμπροσθεν εἰρημένῃ ῥήσει γέγραπται. κατὰ πάντας 
-Z/18b/878/6	τοὺς καιροὺς τῆς θεραπείας τῶν κατὰ χειρουργίαν παθῶν 
-Z/18b/878/7	ἓν σχῆμα φυλάττεσθαι χρὴ τὸ κατὰ φύσιν τοῦ μέρους. 
-Z/18b/878/8	εὑρεθήσεται δὲ τοῦτο, φησὶν, ἐκ τοῦ ἐλινύοντος καὶ ἀφει-
-Z/18b/878/9	μένου, τουτέστιν ὅταν ἡσυχάζῃ τις, ἔκ τε τοῦ κοινοῦ, τουτ-
-Z/18b/878/10	έστι τοῦ μεταξὺ τῶν ὑπερβολικῶν, ἔκ τε τοῦ ἔθεος, ἐν ᾧ 
-Z/18b/878/11	δῆλόν ἐστι τὰ ἔργα καὶ τὸ ἐλινύειν περιέχεσθαι καὶ τὰ 
-Z/18b/878/12	δύο ταῦθ' ἕξομεν γενικώτατα γνωρίσματα τοῦ κατὰ φύσιν 
-Z/18b/878/13	ἑκάστῳ μορίῳ γενομένῳ σχήματος, τό τε μέγα εἶναι τὸ 
-Z/18b/878/14	ὑπερβολῶν αὐτὸ καὶ ἔθος. ἐγὼ δὲ ἐν τοῖς περὶ μυῶν κινή-
-Z/18b/878/15	σεως ὑπὲρ τούτων διελθὼν, καὶ τὴν κατασκευὴν τῶν μορίων, 
-Z/18b/878/16	ἣν ἐξ ἀνατομῆς εὑρίσκομεν, ἐνδεικνύμενος τὰ κατὰ φύσιν 
-Z/18b/878/17	σχήματα τῶν μορίων, ὡς κἀν τῷ περὶ ἀγμῶν αὐτὸς ὁ Ἱπ- 
-Z/18b/879/1	ποκράτης ἐδίδαξε· δύναται δὲ ἄλλος ἄλλοις ὀνόμασί τε καὶ 
-Z/18b/879/2	ῥήμασι χρώμενος περὶ τῶν εἰρημένων πραγμάτων ἕτερα 
-Z/18b/879/3	φαίνεσθαι λέγειν, οἷον καὶ ὅταν τις φαίη τὸ ἀνώδυνον· οὐ 
-Z/18b/879/4	γὰρ ἄλλο σχῆμά τι εὑρήσει πλὴν τοῦ κατὰ τὸ ἐλινύειν εἰ-
-Z/18b/879/5	θισμένου. τὸ δὲ αὐτὸ τοῦτο καὶ μέσον ἐστὶ τῶν ὑπερβολι-
-Z/18b/879/6	κῶν. ἀλλὰ κἀκ τῆς κατασκευῆς τῶν μορίων ἐνδεικτικῶς αὐτὸ 
-Z/18b/879/7	τοῦτ' ἔστι τὸ εὑρισκόμενον. 
-Z/18b/879/8	          — — — 
-Z/18b/879/9	            κθʹ. 
-Z/18b/879/10	Ὅτι χρῆσις κρατύνει, ἀργίη δὲ τήκει. 
-Z/18b/879/11	          — — — 
-Z/18b/879/12	    Καὶ τοῦτο πρὸς ὑποτυπώσει φαίνεται γεγραφὼς ὁ 
-Z/18b/879/13	συγγραφεὺς τοῦ βιβλίου, τυχὸν ἴσως ταὐτὸ μηκῦναι βουλό-
-Z/18b/879/14	μενος ἐν τῷ πρὸς ἔκδοσιν ὑφ' ἑαυτοῦ γραφομένῳ. καὶ 
-Z/18b/879/15	κατ' ἄλλα τῶν ἀντιγράφων εὑρίσκεται γεγραμμένον οὕτως 
-Z/18b/879/16	τὸ, διότι χρῆσις κρατύνει, ἀργίη δὲ τήκει, προβάλλοντος 
-Z/18b/879/17	αὐτὸ πρὸς ζήτησιν ἑαυτῷ τοῦ συγγραφέως χρησιμώτατον 
-Z/18b/879/18	ὧν οὐκ ἐν τοῖς κατὰ χειρουργίαν μόνην, ἀλλὰ καὶ τοῖς κατὰ  
-Z/18b/880/1	δίαιταν. ἐκθηλύνεται γὰρ ἅπαν ἀργούντων σῶμα καὶ ἄῤ-
-Z/18b/880/2	ῥωστον γίνεται, κρατύνεται δὲ καὶ ῥώννυται πραττόντων αὐ-
-Z/18b/880/3	τῶν, τουτέστιν ἐνεργούντων, διττὴ ἡ πίστις τοῦ λόγου, πεῖρα 
-Z/18b/880/4	μὲν ἁπάντων τῶν προσεχόντων τὸν νοῦν τοῖς ἐναργῶς φαι-
-Z/18b/880/5	νομένοις. ἡ δὲ ἀπὸ τῆς φυσικῆς κατασκευῆς ἔνδειξις ἐν 
-Z/18b/880/6	τοῖς ὑγιεινοῖς ὑπομνήμασι λέλεκται. ἐν οὖν τοῖς κατὰ χει-
-Z/18b/880/7	ρουργίαν οὐ χρὴ παμπόλλῳ χρόνῳ φυλάττειν ἀκίνητα πεπον-
-Z/18b/880/8	θότα μόρια, καθάπερ ἔνιοι ποιοῦσιν ἀσφαλείας ἕνεκεν, ἀλλὰ 
-Z/18b/880/9	δεῖ κινεῖν αὐτὰ μετρίως, ὅταν ἀφλέγμαντα γένηται καὶ 
-Z/18b/880/10	τοῦτο ἄρχεσθαι μὲν πράττειν, ὅταν ὕδωρ θερμὸν καταχέη-
-Z/18b/880/11	ται τοῦ πεπονθότος. ἐφεξῆς δὲ κἀν τοῖς λουτροῖς, εἶτα καὶ 
-Z/18b/880/12	χωρὶς τούτων. 
-Z/18b/880/13	          — — — 
-Z/18b/880/14	            λʹ. 
-Z/18b/880/15	Ἢ πιέσει ἢ πλήθει. 
-Z/18b/880/16	          — — — 
-Z/18b/880/17	    Καὶ τοῦτο αὐτὸ καθ' ἑαυτὸ γεγραμμένον ἐν τύποις 
-Z/18b/880/18	ὑπὸ τοῦ συγγράψαντος τὸ βιβλίον εἰς τοῦδε σαφῶς ἐγγρα- 
-Z/18b/881/1	φόμενος μετήνεγκεν. εἴρηται δὲ καὶ τελέως καὶ σαφῶς ἔμ-
-Z/18b/881/2	προσθεν, ὡς νῦν οὐκ ἐλλειπτικῶς. χρὴ γὰρ προσυπακοῦσαι 
-Z/18b/881/3	τὸ ὀθόνιον, ἵν' ἡ λέξις ὅλη γένηται τοιαύτη. ἡ πίεσις τῷ 
-Z/18b/881/4	πλήθει τῶν ὀθονίων γιγνέσθω μᾶλλον ἢ τῇ θλίψει. 
-Z/18b/881/5	          — — — 
-Z/18b/881/6	            λαʹ. 
-Z/18b/881/7	Ὁκόσα δὲ ἐκχυμώματα ἢ φλάσματα ἢ σπάσματα ἢ οἰδήματα 
-Z/18b/881/8	  ἀφλέγμαντα ἐξεργᾶται, ἐκ τοῦ τραύματος ἐς μὲν τὸ ἄνω τοῦ 
-Z/18b/881/9	  σώματος τὸ πλεῖστον, βραχὺ δέ τι καὶ ἐς τὸ κάτω, μὴ 
-Z/18b/881/10	  κατάντη τὴν χεῖρα ἔχοντα ἢ τὸ σκέλος, τιθέμενον τὴν 
-Z/18b/881/11	  ἀρχὴν κατὰ τὸ τραῦμα καὶ μάλιστα τὰ ἐρείδοντα, ἥκιστα 
-Z/18b/881/12	  τὰ ἄκρα, μέσως τὰ διὰ μέσου. τὸ ἔσχατον πρὸς τὰ 
-Z/18b/881/13	  ἄνω τοῦ σώματος νεμόμενον ἐπιδέσει, πιέσει. ἀτὰρ καὶ 
-Z/18b/881/14	  ταῦτα πλήθει μᾶλλον ἢ ἰσχύϊ, μάλιστα δὲ τουτέοισιν 
-Z/18b/881/15	  ὀθόνια λεπτὰ, κοῦφα, μαλθακὰ, καθαρὰ, πλατέα, ὑγιέα, 
-Z/18b/881/16	  ὡς ἂν ἄνευ ναρθήκων καὶ καταχύσει χρῆσθαι πλέονι. 
-Z/18b/881/17	          — — —  
-Z/18b/882/1	    Φλάσματα διὰ τοῦ φ καλεῖν ἔθος Ἱπποκράτει κατὰ τὴν 
-Z/18b/882/2	τῶν Ἰώνων διάλεκτον, ἃ πρὸς ἡμῶν ὀνομάζεται διὰ τοῦ θ 
-Z/18b/882/3	θλάσματα. γίνεται δὲ βαρέος τινὸς ἐμπεσόντος τῷ σώματι, 
-Z/18b/882/4	ὡς ἂν εἴποι τις, διασπάσαντος τὸ σαρκῶδες γένος. ἐνίστα-
-Z/18b/882/5	σθαι πέφυκεν, ὅταν ἡ διαθλασθεῖσα σὰρξ εἰς τὴν ὑπὸ τῷ 
-Z/18b/882/6	δέρματι χώραν αἷμα προσχέῃ. τὸ τοιοῦτον πάθος ἐκχύμω-
-Z/18b/882/7	μα καλεῖται καὶ γίνεται δηλονότι τοῦτο μὴ διαιρουμένου 
-Z/18b/882/8	τοῦ δέρματος. εὔδηλον δὲ ὅτι καὶ φλέβες μικραὶ συνδιαι-
-Z/18b/882/9	ροῦνται τῇ σαρκὶ κατὰ τὴν τῶν ἐκχυμωμάτων γένεσιν. τὰ 
-Z/18b/882/10	δὲ σπάσματα περὶ τὰς ἶνας γίνεται τῶν μυῶν ἐπὶ πλέον 
-Z/18b/882/11	ταθείσας, ὡς ἰνίας ῥαγῆναι, καὶ καλοῦσιν ἰδίως οἱ νεώτεροι 
-Z/18b/882/12	τῶν ἰατρῶν τὰ τοιαῦτα παθήματα ῥήγματα. τού-
-Z/18b/882/13	των οὖν πρῶτος ὁ Ἱπποκράτης μνημονεύσας ἐφεξῆς αὐτὸς 
-Z/18b/882/14	ἔγραψεν οἰδήματα, πάντας οὕτως ὀνομάζειν εἴωθε τοὺς παρὰ 
-Z/18b/882/15	φύσιν ὄγκους· οἱ μετ' αὐτὸν εἰς φλεγμονὰς καὶ σκίῤ-
-Z/18b/882/16	ῥους καὶ κληθέντα ὑπ' αὐτοῦ ἰδίως οἰδήματα διῃρήκασι. 
-Z/18b/882/17	φλεγμονὰς δὲ ὁ Ἱπποκράτης ὀνομάζει τὰς φλογώσεις, ἀφ' ὧν 
-Z/18b/882/18	τοὔνομα τίθεται τοῖς θερμοῖς ὄγκοις. ἔξωθεν δὲ τῶν εἰρη- 
-Z/18b/883/1	μένων ἐστὶ τὸ καλούμενον ἐρυσίπελας, φλογῶδες μὲν ἀεὶ, 
-Z/18b/883/2	σὺν ὄγκῳ δὲ οὐκ ἀεί. ταῦτα οὖν ἅπαντα τὰ κατειλημμένα 
-Z/18b/883/3	παρ' Ἱπποκράτει ὀνομαστὶ πάθη τὴν μὲν κατὰ δίαιταν 
-Z/18b/883/4	καὶ φαρμακείαν ἑτέραν ἔχει θεραπείαν, τὴν δὲ κατὰ χει-
-Z/18b/883/5	ρουργίαν ἐξ ἐπιδέσεως τρόπου γινομένην, ὅταν καὶ μάλιστα 
-Z/18b/883/6	ἐκ τῆς προϋπαρχούσης ἐπιδέσεως τὴν γένεσιν ἐσχηκότα, περὶ 
-Z/18b/883/7	ὧν νῦν ποιεῖται τὸν λόγον. τὸ γὰρ ἐξεργᾶται ἐκ τοῦ τρώ-
-Z/18b/883/8	ματος, οἷον ἐκθλίβεται ἢ ἐξαιρεῖται δηλοῖ. τινὲς ἄντικρυς 
-Z/18b/883/9	ἐξαίρεται γράφουσιν, ὡς μηδεμιᾶς ἐξηγήσεως δεῖσθαι. τὴν 
-Z/18b/883/10	δ' ἐπίδεσιν αὐτῶν ἐν μὲν τῷ περὶ ἀγμῶν ἀπ' αὐτοῦ τὸ 
-Z/18b/883/11	οἴδημα ἔχοντος μορίου ποιεῖται, νυνὶ δὲ ἀπὸ τοῦ τρώματος. 
-Z/18b/883/12	δῆλον δ' ὅτι καλεῖ τρώματα τὴν βλάβην τοῦ μορίου καὶ 
-Z/18b/883/13	τοιοῦτόν γε τῆς καταγματικῆς ἐπιδέσεως ὑπαλλάττει νῦν, 
-Z/18b/883/14	ὅτι τὴν πλείστην νομὴν τῶν ἐπιδέσμων ἐπὶ τὸ ἄνω ποιεῖ-
-Z/18b/883/15	σθαι κελεύει, βραχὺ δέ τι τὸ κάτω. τὸ μηδὲ κατάντη τὴν 
-Z/18b/883/16	χεῖρα ἔχοντα ἢ τὸ σκέλος, κοινὸν μέν ἐστι πρὸς τὴν κα- 
-Z/18b/884/1	ταγματικὴν ἐπίδεσιν, ἀλλ' ὡς μεγίστην ἔχον αὐτὸ δύναμιν 
-Z/18b/884/2	ἐπὶ τῶν νῦν προκειμένων οὕτως ἔγραψε, μή πως ἀμελέστε-
-Z/18b/884/3	ρον σχόντες εἰώθαμεν, ἐνίοτε μεγάλην αἱρώμεθα βλάβην. 
-Z/18b/884/4	ὅσα γὰρ ἀξιόλογον βλάβην ἢ ὠφέλειαν ἔχει καλῶς καὶ μὴ 
-Z/18b/884/5	καλῶς γινόμενα, ταῦτα ἀναμιμνήσκειν οὐκ ὀκνήσει συνεχέ-
