
[0057]  [009]  []  []

-Z/1/509/t1	    {ΓΑΛΗΝΟΥ ΠΕΡΙ ΚΡΑΣΕΩΝ} 
-Z/1/659/3	ὡς γὰρ αἱ τοῦ πυρὸς ἐπιτήδειοι τροφαὶ τὸ πῦρ αὔξουσιν, 
-Z/1/659/4	οὕτω καὶ τῶν φύσει θερμῶν σωμάτων ὅ τί περ ἂν οἰκεία 
-Z/1/659/5	τε καὶ σύμφυτος ὑπάρχῃ τροφὴ ῥώσει τε πάντως αὐτὰ καὶ 
-Z/1/659/6	τὴν ἔμφυτον αὐξήσει θερμασίαν. καὶ τοῦτο μὲν ἁπάσης 
-Z/1/659/7	τροφῆς κοινόν· οἴνῳ δ' ἴδιον ἐξαίρετον ὑπάρχει τὸ τάχος 
-Z/1/659/8	τῆς μεταβολῆς ὡς δᾳδὶ καὶ θρυαλλίδι καὶ στυπείῳ καὶ 
-Z/1/659/9	πίττῃ. καὶ δὴ καὶ τῆς εἰκόνος ἐχόμενοι τοῦ πυρὸς ἀναμνη-
-Z/1/659/10	σθῶμεν αὖθις ξύλων ὑγρῶν, ἃ τροφὴ μέν ἐστι καὶ αὐτὰ 
-Z/1/659/11	τοῦ πυρός, ἀλλ' οὐκ εὐθὺς οὐδ' ἐκ τοῦ παραχρῆμα, καὶ 
-Z/1/659/12	διὰ τοῦτ' ἐπιβληθέντα [πολλάκις] τῷ πυρὶ κατακρύπτει τε 
-Z/1/659/13	τὴν φλόγα καὶ μάλιστ' ἂν ἀσθενὴς ὑπάρχῃ καὶ σμικρά, καὶ 
-Z/1/659/14	κίνδυνον ἐπάγει φθορᾶς. οὕτως οὖν κἀν τοῖς ζῴοις ὅσα 
-Z/1/659/15	τῶν ἐδεσμάτων, ἵν' ἐξομοιωθῇ τελέως καὶ θρέψῃ τὸ σῶμα, 
-Z/1/659/16	χρόνου δεῖται, ψῦχος μᾶλλον ἐπάγειν ἢ θάλπος ἐν τῷ παρ-
-Z/1/659/17	αυτίκα φαίνεται. θερμαίνει μὴν ἐν τῷ χρόνῳ καὶ ταῦτα, 
-Z/1/660/1	παραπλησίως τοῖς ἄλλοις ἐδέ|σμασιν, εἰ μόνον αὐτοῖς προσ-
-Z/1/660/2	γένοιτο τὸ θρέψαι τὸ σῶμα. τροφὴ γὰρ ἅπασα κατὰ τὸν 
-Z/1/660/3	ἑαυτῆς λόγον αὔξει τὸ τοῦ ζῴου θερμόν. εἰ δὲ καταποθείη  
-Z/1/660/4	μὲν ὡς τροφή, μὴ μέντοι κρατηθείη μηδ' ἐξομοιωθείη, τοῦτ' 
-Z/1/660/5	ἐκεῖνο τὸ πρὸς Ἱπποκράτους εἰρημένον, εἴη ἂν ὄνομα τρο-
-Z/1/660/6	φῆς, ἔργον δ' οὐχί. τριχῶς γὰρ τῆς τροφῆς λεγομένης, ὡς 
-Z/1/660/7	καὶ τοῦτ' αὐτὸς ἐδίδαξεν εἰπών· ‘τροφὴ δὲ τὸ τρέφον, τροφὴ 
-Z/1/660/8	καὶ τὸ οἷον τροφὴ καὶ τὸ μέλλον’, ἡ μὲν ἤδη τρέφουσα 
-Z/1/660/9	καὶ προστιθεμένη καὶ μηκέτι μέλλουσα κυρίως ὀνομάζεται 
-Z/1/660/10	τροφὴ καὶ θερμαίνει πάντως τὸ τρεφόμενον σῶμα, τῶν δ' 
-Z/1/660/11	ἄλλων οὐδετέρα, διότι μηδὲ τροφὴ κυρίως ἐστίν, ἀλλὰ τὸ 
-Z/1/660/12	μὲν οἷον τροφή, τὸ δ' ὅτι μέλλει τοιοῦτον γενήσεσθαι. ταῦτ' 
-Z/1/660/13	ἄρα καὶ αὐτὸς ὁ οἶνος οὐκ ἀεὶ θερμαίνει τὸ ζῷον, ὥσπερ 
-Z/1/660/14	οὐδὲ τοὔλαιον ἀνάπτει τὴν φλόγα, καίτοι γ' οἰκειοτάτη τροφὴ 
-Z/1/660/15	πυρὸς ὑπάρχον, ἀλλ' ἐὰν ἀσθενεῖ καὶ σμικρᾷ φλογὶ καταχέῃς 
-Z/1/660/16	ἔλαιον ἀθρόον καὶ πολύ, καταπνίξεις καὶ τελέως ἀποσβέσεις 
-Z/1/661/1	αὐτὴν μᾶλλον | ἢ αὐξήσεις. οὕτως οὖν καὶ ὁ οἶνος, ἐπει-
-Z/1/661/2	δὰν πολὺς ὡς μὴ κρατεῖσθαι πίνηται, τοσοῦτον ἀποδεῖ τοῦ 
-Z/1/661/3	θερμαίνειν τὸ ζῷον, ὥστε καὶ πάθη ψυχρότατα γεννᾷ· ἀπο-
-Z/1/661/4	πληξίαι γοῦν καὶ παραπληξίαι καὶ κάροι καὶ κώματα καὶ 
-Z/1/661/5	παραλύσεις ἐπιληψίαι τε καὶ σπασμοὶ καὶ τέτανοι ταῖς ἀμέ-
-Z/1/661/6	τροις οἴνου πόσεσιν ἕπονται, ψυχρὰ σύμπαντα πάθη. καθόλου 
-Z/1/661/7	γὰρ ὅσα τῶν εἰς τὸ σῶμα λαμβανομένων ὡς τροφὴ θερ-
-Z/1/661/8	μαίνει, ταῦθ' εὕροις ἄν ποτε καὶ ψύχοντα, καθότι καὶ τὴν 
-Z/1/661/9	φλόγα πρὸς τῆς αὐτῆς ὕλης οὐκ αὐξανομένην μόνον, ἀλλὰ 
-Z/1/661/10	καὶ σβεννυμένην ἐνίοτε. ταυτὶ μὲν οὖν ἔοικεν ὁμολογεῖν 
-Z/1/661/11	ἅπαντα τοῖς τε περὶ τῶν στοιχείων καὶ τοῖς περὶ τῶν κρά-
-Z/1/661/12	σεων λογισμοῖς. 
-Z/1/661/13	  Ἐκεῖνο δ' ἂν ἴσως δόξειε διαφέρεσθαι τό τινα 
-Z/1/661/14	τῶν ἐσθιομένων ἐν τροφῆς χρείᾳ κατὰ τοῦ δέρματος ἐπι- 
-Z/1/661/15	τιθέμενα διαβιβρώσκειν τε καὶ ἑλκοῦν αὐτό, καθάπερ νᾶπυ 
-Z/1/661/16	καὶ τάριχος σκόροδά τε καὶ κρόμυα. καίτοι καὶ τοῦτο συμ-
-Z/1/662/1	φωνεῖ τοῖς ἐξ ἀρχῆς ὑποκειμένοις· ἅμα μὲν γὰρ ὅτι | μετα-
-Z/1/662/2	βάλλεται καὶ ἀλλοιοῦται κατά τε τὴν γαστέρα πεττόμενα κἀν 
-Z/1/662/3	ταῖς φλεψὶν αἱματούμενα, πρὸς δὲ τούτοις καὶ διότι μὴ 
-Z/1/662/4	μένει καθ' ἕνα τόπον, ἀλλ' εἰς πολλὰ μερίζεται πάντη φερό-
-Z/1/662/5	μενα, καὶ πρὸς τούτοις διότι μίγνυται καὶ χυμοῖς πολλοῖς 
-Z/1/662/6	καὶ τοῖς ἅμ' αὐτοῖς λαμβανομένοις σιτίοις, ἔτι τε πρὸς τού-
-Z/1/662/7	τοις ὅτι διὰ ταχέων ἥ τε πέψις αὐτῶν γίγνεται καὶ ἡ διά-
-Z/1/662/8	κρισις, ὡς τὸ μὲν οἰκεῖον ἐξομοιωθῆναι, τὸ δὲ περιττὸν ἐν 
-Z/1/662/9	αὐτοῖς καὶ δριμὺ διὰ γαστρός θ' ἅμα καὶ οὔρων καὶ ἱδρώ-
-Z/1/662/10	των ἐκκριθῆναι, διὰ ταῦτα πάντα τὸ ἔξωθεν ἑλκοῦν ἐσθιό-
-Z/1/662/11	μενον οὐχ ἑλκοῖ. καίτοι κἂν εἰ τῶν εἰρημένων ἓν ὁτιοῦν 
-Z/1/662/12	ὑπῆρχεν αὐτοῖς, ἱκανὸν ἂν ἦν δήπουθεν ἀβλαβῆ φυλάξαι 
-Z/1/662/13	τὰ ἐντός, οἷον, εἰ τύχοι, τὸ μεταβάλλειν πρῶτον. εἰ γὰρ οὐ 
-Z/1/662/14	μένει τὸ νᾶπυ τοιοῦτον, οἷον ἔξωθεν ἐλήφθη, δῆλον, ὡς 
-Z/1/662/15	οὐδὲ τὴν δύναμιν αὐτοῦ μένειν ἀξιώσεις· εἰ δὲ καὶ δια-
-Z/1/662/16	κρίνεται καὶ καθαίρεται, πολὺ δὴ καὶ μᾶλλον. ἤρκει δὲ καὶ 
-Z/1/662/17	τὸ μὴ χρονίζειν ἐν ἑνὶ χωρίῳ. φαίνεται γὰρ οὐδὲ περὶ τὸ 
-Z/1/663/1	δέρμα | δρᾶσαί τι δυνάμενον ἄνευ χρόνου πλείονος. ἀλλὰ 
-Z/1/663/2	καὶ τὸ μίγνυσθαι πολλοῖς ἑτέροις σιτίοις οὐ σμικρὸν οὐδ' 
-Z/1/663/3	αὐτό. γνοίης δ' ἄν, εἰ μόνον αὐτὸ προσενέγκοις χωρὶς τῶν 
-Z/1/663/4	ἄλλων σιτίων, ὅσην ἀνίαν τε καὶ δῆξιν ἐπιφέρει τῇ γαστρί. 
-Z/1/663/5	καὶ μὲν δὴ κἂν εἰ πολλοῖς γλυκέσι χυμοῖς ἀναμίξας αὐτὸ 
-Z/1/663/6	κατὰ τοῦ δέρματος ἐπιθείης, οὐδὲν ἐργάσεται φαῦλον. ὁπότ' 
-Z/1/663/7	οὖν ἕκαστον τῶν εἰρημένων ἱκανόν ἐστι καθ' ἑαυτὸ κωλῦσαι 
-Z/1/663/8	τὸ νᾶπυ δρᾶσαί τι τοιοῦτον ἐντός, οἷον ἐκτὸς ἔδρα περὶ τὸ 
-Z/1/663/9	δέρμα, πολὺ δήπου μᾶλλον οἶμαι πάνθ' ἅμα συνελθόντα.  
-Z/1/663/10	καὶ γὰρ ἀλλοιοῦται πεττόμενον καὶ διακρίνεται καὶ καθαί-
-Z/1/663/11	ρεται καὶ πολλοῖς ἑτέροις ἀναμίγνυται καὶ μερίζεται πολλαχῇ 
-Z/1/663/12	καὶ πάντη φέρεται καὶ χρονίζει κατ' οὐδὲν τῶν μορίων. 
-Z/1/663/13	ὅτι δ', εἴπερ ἔμενε δριμύ, πάντως ἂν ἥλκωσε καὶ τὰ ἐντός, 
-Z/1/663/14	ἐκ τῶν αὐτομάτων ἑλκῶν ἐπιγνώσῃ. γίγνεται γὰρ πολλοῖς 
-Z/1/663/15	πολλάκις τοῖς μὲν ἐξ ἐδεσμάτων μοχθηρῶν, τοῖς δ' ἔκ τινος 
-Z/1/663/16	ἐν αὐτῷ τῷ σώματι διαφθορᾶς καὶ σηπεδόνος ἡ καλουμένη 
-Z/1/664/1	κακοχυμία καὶ τούτοις ἐνίοτε μὲν | ἑλκοῦταί τι καὶ τῶν ἐν-
-Z/1/664/2	τός, ὡς τὰ πολλὰ δὲ τῷ τὴν φύσιν ἀποτρίβεσθαι τὰ κατὰ 
-Z/1/664/3	τὴν ἕξιν περιττώματα πρὸς τὸ δέρμα τοῦθ' ἑλκοῦται πολλοῖς 
-Z/1/664/4	καὶ συνεχέσιν ἕλκεσι. καρκῖνός τε γὰρ καὶ φαγέδαινα καὶ 
-Z/1/664/5	ἕρπης ὁ ἀναβιβρωσκόμενος ἄνθρακές τε καὶ τὰ χειρώνεια 
-Z/1/664/6	καὶ τηλέφεια καλούμενα καὶ ἄλλαι μυρίαι γενέσεις ἑλκῶν 
-Z/1/664/7	ἔκγονοι τῆς τοιαύτης εἰσὶ κακοχυμίας. οὔτ' οὖν τῶν τοι-
-Z/1/664/8	ούτων οὐδὲν ἄπορον οὔτε διὰ τί τῶν φαρμάκων ἔνια μὲν 
-Z/1/664/9	οὐδὲν ἡμᾶς ἔξωθεν ἀδικοῦντα μέγα τι κακὸν ἐργάζεται κατα-
-Z/1/664/10	ποθέντα. τινὰ δὲ πολλάκις μὲν ἔβλαψεν εἴσω ληφθέντα, 
-Z/1/664/11	πολλάκις δ' ὠφέλησεν· ἔνια δ' οὐ μόνον ἔσωθεν ἀλλὰ καὶ 
-Z/1/664/12	ἔξωθεν ἀδικεῖ. συλλήβδην δ' εἰπεῖν οὐδὲν ὁμοίως ἔσωθέν τε 
-Z/1/664/13	καὶ ἔξωθεν ἐνεργεῖν πέφυκεν. οὔτε γὰρ ὁ τοῦ λυττῶντος 
-Z/1/664/14	κυνὸς ἀφρὸς οὔθ' ὁ τῆς ἀσπίδος οὔθ' ὁ τῆς ἐχίδνης ἰός, 
-Z/1/664/15	οἳ δὴ καὶ χωρὶς ἕλκους ἔξωθεν προσπεσόντες ἀδικεῖν πεπί-
-Z/1/664/16	στευνται, τὴν ἴσην ἔχουσι δύναμιν ἢ τῷ δέρματι μόνον 
-Z/1/664/17	ὁμιλήσαντες ἢ εἴσω μεταληφθέντες. οὐ μὴν οὐδ' ἐκεῖνο 
-Z/1/665/1	θαυμάζειν ἄξιον, εἴ τι|νων φαρμάκων οὐκ ἐξικνεῖται πρὸς 
-Z/1/665/2	τὸ βάθος ἡ δύναμις· οὐ γὰρ ἀναγκαῖον ἅπαντα τὴν αὐτὴν 
-Z/1/665/3	ἔχειν ἰσχύν. εἰ δὲ πολλὰ τῶν εἴσω λαμβανομένων ἐν μὲν 
-Z/1/665/4	τῷδε τῷ καιρῷ καὶ μετὰ τοσῆσδε ποσότητος καὶ τῆς πρὸς 
-Z/1/665/5	τάδε μίξεως ὠφέλησεν, ἀκαίρως δὲ καὶ πολλὰ καὶ ἄμικτα  
-Z/1/665/6	ληφθέντα βλάβην ἤνεγκεν, οὐδὲν οὐδ' ἐντεῦθεν ἀπόρημα 
-Z/1/665/7	τῷ λόγῳ. καὶ γὰρ καὶ τοῖς σιτίοις ὑπάρχει τοῦτό γε καὶ 
-Z/1/665/8	τῷ πυρὶ καὶ πᾶσιν ὡς οὕτω φάναι τοῖς προσπίπτουσι τῷ 
-Z/1/665/9	σώματι. συμμέτρου γοῦν φλογὸς ἔστιν ὅτε δεόμεθα καὶ 
-Z/1/665/10	χρώμενοι μεγάλως πρὸς αὐτῆς ὀνινάμεθα καίτοι τῆς ἀμέ-
-Z/1/665/11	τρου καιούσης ἡμᾶς. οὕτω δὲ καὶ ψυχροῦ πόσις ἡ μὲν 
-Z/1/665/12	σύμμετρος ὀνίνησιν, ἡ δ' ἄμετρος ἐσχάτως βλάπτει. τί τοί-
-Z/1/665/13	νυν θαυμαστὸν εἶναί τι φάρμακον οὕτω δυνάμει θερμόν, 
-Z/1/665/14	ὡς, εἰ μὲν πολύ τε λαμβάνοιτο καὶ κενῷ τῷ σώματι προσφέ-
-Z/1/665/15	ροιτο, διαβιβρώσκειν τε καὶ κατακαίειν αὐτό, εἰ δὲ παντελῶς 
-Z/1/665/16	ὀλίγον εἴη ἢ καὶ σὺν τοῖς κολάζουσι τὴν ἰσχὺν αὐτοῦ, πρὸς 
-Z/1/665/17	τῷ βλάπτειν μηδὲν ἔτι καὶ θερμαῖνον ὠφελεῖν; ὀπὸν γοῦν 
-Z/1/666/1	| ἤτοι τὸν Κυρηναϊκὸν ἢ τὸν Μηδικὸν ἢ τὸν Παρθικὸν 
-Z/1/666/2	αὐτὸν καθ' ἑαυτὸν οὐκ ἔνεστιν ἀλύπως λαβεῖν· ἀλλ' εἰ παν-
-Z/1/666/3	τελῶς ὀλίγος ἢ σὺν ἄλλοις ἐν καιρῷ προσήκοντι ληφθείη, 
-Z/1/666/4	μεγάλως ὠφελεῖ. 
-Z/1/666/5	  Ταυτὶ μὲν οὖν ὅσα θερμαίνει τὸ σῶμα, μεταβολῆς ἀρ-
[0057]  [009]  []  []

-Z/1/666/6	χὴν ἐν αὐτῷ λαβόντα, καθότι πρόσθεν ἐρρέθη, πάλιν ἀντι-
-Z/1/666/7	θερμαίνειν αὐτὸ πέφυκεν· ὅσα δὲ ψύχει, καθάπερ ὀπὸς μή-
-Z/1/666/8	κωνος, οὐ μεταβάλλεται πρὸς τοῦ σώματος οὐδ' ἐπ' ὀλίγον, 
-Z/1/666/9	ἀλλ' εὐθὺς αὐτὸ νικᾷ καὶ μεταβάλλει, κἂν εἰ θερμήνας αὐτὰ 
-Z/1/666/10	δοίης. ἔστι γὰρ ἡ σφῶν αὐτῶν φύσις ψυχρά, καθότι καὶ τὸ 
-Z/1/666/11	ὕδωρ. ὀρθῶς οὖν καὶ τοῦτο σὺν πολλοῖς ἄλλοις ὑπ' Ἀριστοτέ-
-Z/1/666/12	λους εἴρηται, τὸ τῶν θερμῶν καὶ ψυχρῶν καὶ ξηρῶν καὶ 
-Z/1/666/13	ὑγρῶν σωμάτων τὰ μὲν εἶναι καθ' ἑαυτὰ τοιαῦτα, τὰ δὲ 
-Z/1/666/14	κατὰ συμβεβηκός, οἷον καὶ τὸ ὕδωρ καθ' ἑαυτὸ μὲν ψυχρόν, 
-Z/1/666/15	κατὰ συμβεβηκὸς δέ ποτε καὶ θερμόν. ἀλλ' ἡ μὲν ἐπίκτητος  
-Z/1/666/16	αὐτοῦ θερμασία ταχέως ἀπόλλυται, μένει δ' ἡ σύμφυτος 
-Z/1/666/17	ψυχρότης. ὡς οὖν ὕδωρ θερμὸν ἐπιβληθὲν φλογὶ κατασβέν-
-Z/1/666/18	νυσιν αὐτήν, οὕτω καὶ τὸ μηκώνιον εἰ καὶ ὅτι μάλιστα 
-Z/1/667/1	θερμήνας δοίης, | ἀποψύξεις τε τὴν ἐν τῷ ζῴῳ θερμασίαν 
-Z/1/667/2	καὶ κίνδυνον ἐπάξεις θανάτου. πάντ' οὖν τὰ τοιαῦτα φάρ-
-Z/1/667/3	μακα βραχέα τε διδόμενα καὶ σὺν τοῖς κολάζειν αὐτῶν τὸ 
-Z/1/667/4	σφοδρὸν τῆς ψύξεως δυναμένοις ἔστιν ὅτε χρείαν τινὰ 
-Z/1/667/5	παρέχει τοῖς σώμασιν ἡμῶν, ὡς ἐν τοῖς περὶ φαρμάκων 
-Z/1/667/6	εἰρήσεται. καὶ γὰρ δὴ καὶ τὸ διὰ τῶν κανθαρίδων φάρ-
-Z/1/667/7	μακον ἱκανῶς ὀνίνησι τοὺς ὑδερικούς, καίτοι τοὐπίπαν ἑλκοῖ 
-Z/1/667/8	τὴν κύστιν ἡ κανθαρίς· ἀλλ' ἐπειδὰν ὑπό τε τῶν μιχθέντων 
-Z/1/667/9	αὐτῇ κολασθῇ καὶ σώματι προσάγηται παμπόλλην ὑγρότητα 
-Z/1/667/10	περιέχοντι, κενοῖ διὰ τῶν οὔρων αὐτό. μάλιστ' οὖν χρὴ 
-Z/1/667/11	προσέχειν τὸν νοῦν ἐν ἅπασι τοῖς δυνάμει θερμοῖς ἢ ψυ-
-Z/1/667/12	χροῖς εἶναι λεγομένοις, εἴτε τῆς φύσεώς ἐστι τῶν τρέφειν 
-Z/1/667/13	δυναμένων εἴτε μόνην ἀφορμὴν ἀλλοιώσεως λαμβάνοντα 
-Z/1/667/14	κἄπειτα κατὰ τὴν οἰκείαν φύσιν ἀλλοιούμενα διατίθησί πως 
-Z/1/667/15	τὸ σῶμα καὶ τρίτον ἐπὶ τούτοις, εἰ μηδ' ὅλως ἀλλοιοῦται 
-Z/1/667/16	πρὸς αὐτοῦ κατὰ μηδέν. εἰ μὲν γὰρ ἐκ τοῦ γένους εἴη τῶν 
-Z/1/667/17	τρεφόντων, εἰ μὲν κρατηθείη, θερμαίνει, μὴ κρατηθέντα δὲ 
-Z/1/668/1	ψύχει· | εἰ δὲ τῶν ἐπ' ὀλίγον ποσὸν ἀλλοιουμένων, θερ-
-Z/1/668/2	μαίνει πάντως, εἰ δὲ τῶν μηδ' ὅλως, ψύχει μάλιστα. 
-Z/1/668/3	  Προσέχειν δ', ὡς εἴρηται, μάλιστα καὶ διορί-
-Z/1/668/4	ζεσθαι τὰ καθ' ἑαυτὰ τῶν κατὰ συμβεβηκός, οὐκ ἐπὶ θερ-
-Z/1/668/5	μῶν καὶ ψυχρῶν μόνον, ἀλλ' οὐδὲν ἧττον αὐτῶν ἐφ' ὑγρῶν 
-Z/1/668/6	τε καὶ ξηρῶν. ἔνια γὰρ τῶν τοιούτων ξηρὰ ταῖς οὐσίαις 
-Z/1/668/7	ὑπάρχοντα πολλῷ θερμῷ τακέντα φαντασίαν ὑγρότητος ἔλα-
-Z/1/668/8	βεν ὡς χαλκὸς καὶ σίδηρος, ἢ καθ' ἑαυτὰ μέν ἐστιν ὑγρὰ 
-Z/1/668/9	καθάπερ ὁ κρύσταλλος, ἀκράτῳ δὲ ψύξει πλησιάσαντα ξηρὰ  
-Z/1/668/10	φαίνεται. χρὴ τοίνυν ἁπάντων τούτων τὴν κρίσιν οὐχ ἁπλῶς 
-Z/1/668/11	ποιεῖσθαι, καθότι κἀν τοῖς ἔμπροσθεν ἐλέγομεν, ἀλλὰ μετὰ 
-Z/1/668/12	τοῦ συνεπισκέπτεσθαι, πῶς ἔχει θερμότητος ἢ ψυχρότητος· 
-Z/1/668/13	εἰ μὲν γὰρ ὀλίγης μετέχοντα θερμότητος ὅμως ὑγρὰ φαί-
-Z/1/668/14	νοιτο, διὰ τὴν οἰκείαν φύσιν ἐστὶ τοιαῦτα, κἂν εἰ μετὰ 
-Z/1/668/15	δαψιλοῦς θερμασίας, ξηρά. τὰ δ' ἤτοι ῥέοντα μετὰ θερμό-
-Z/1/669/1	τητος ζεούσης ἢ πεπηγότα διὰ | ψῦξιν ἄκρατον, οὐ καθ' ἑαυ-
-Z/1/669/2	τὰ νομίζειν εἶναι τὰ μὲν ὑγρά, τὰ δὲ ξηρά. ταύτῃ τ' οὖν 
-Z/1/669/3	διαιρεῖσθαι τὰ καθ' ἑαυτὰ τῶν κατὰ συμβεβηκὸς ἀναφέροντά 
-Z/1/669/4	τε πρὸς αὐτὰ ταῦτα τὴν κρίσιν οὕτω ποιεῖσθαι τῶν δυνάμει 
-Z/1/669/5	θερμῶν ἢ ψυχρῶν ἢ ξηρῶν ἢ ὑγρῶν. οὐ γὰρ πρὸς τὸ κατὰ 
-Z/1/669/6	συμβεβηκὸς ἀλλὰ πρὸς τὸ καθ' ἑαυτὸ κρίνεσθαι χρὴ τὸ δυ-
-Z/1/669/7	νάμει. κοινὴ δ' ἐπὶ πάντων ἡ κρίσις καὶ μία τὸ τάχος τῆς 
-Z/1/669/8	ἀλλοιώσεως. ὁμωνύμως δὲ λεγομένου τοῦ θερμοῦ καὶ ψυ-
-Z/1/669/9	χροῦ καὶ ξηροῦ καὶ ὑγροῦ· τὸ μὲν γὰρ κατ' ἐπικράτησιν 
-Z/1/669/10	οὕτως ὀνομάζεται, τὸ δ' ὡς ἄκραν ἔχον ἧς παρονομάζεται 
-Z/1/669/11	ποιότητα· εἰς ὁπότερον ἂν αὐτῶν ἑτοίμως μεθίστηται τὸ 
-Z/1/669/12	κρινόμενον, ἔσται δυνάμει τοιοῦτον. ἔλαιον γοῦν ἐστι δυνάμει 
-Z/1/669/13	θερμόν, ὅτι ῥᾳδίως φλὸξ γίγνεται, κατὰ ταὐτὰ δὲ καὶ ῥη-
-Z/1/669/14	τίνη καὶ πίττα καὶ ἄσφαλτος, οἶνος δέ, διότι ῥᾳδίως αἷμα 
-Z/1/669/15	γίγνεται, κατὰ ταὐτὰ δὲ καὶ μέλι καὶ κρέας καὶ γάλα. 
-Z/1/670/1	  Ταυτὶ μὲν οὖν ὅλαις ἀλλοιούμενα ταῖς οὐσίαις τρο|φαὶ 
-Z/1/670/2	τῶν ἀλλοιούντων εἰσί· τὰ δὲ κατὰ μίαν ἡντινοῦν ποιότητα 
-Z/1/670/3	τὴν ἀλλοίωσιν ἴσχοντά τε καὶ παρέχοντα φάρμακα μόνον, 
-Z/1/670/4	ὥσπερ γε καὶ ὅσα ταῖς ὅλαις ἑαυτῶν οὐσίαις ἄτρεπτα μέ-
-Z/1/670/5	νοντα διατίθησί πως τὸ σῶμα, φάρμακα μέν ἐστι καὶ ταῦτα,  
-Z/1/670/6	χαλεπὰ δὲ καὶ φθαρτικὰ τῆς τοῦ ζῴου φύσεως. ὅθενπερ 
-Z/1/670/7	οἶμαι τὸ γένος αὐτῶν ἅπαν ὀνομάζεται δηλητήριον. οὐ γὰρ 
-Z/1/670/8	δὴ διὰ τοῦτό γε λεκτέον οὐκ εἶναι τῷ γένει δηλητήρια τὰ 
-Z/1/670/9	τοιαῦτα, διότι παντελῶς ἐλάχιστα προσαχθέντα βλάβην οὐ-
-Z/1/670/10	δεμίαν αἰσθητὴν ἐπιφέρει· οὕτω γὰρ ἂν οὐδὲ τὸ πῦρ εἴη 
-Z/1/670/11	θερμὸν οὐδ' ἡ χιὼν ψυχρά, ὡς καὶ τούτων γε τὰ παντά-
-Z/1/670/12	πασι σμικρὰ σαφὲς οὐδὲν ἀποτελεῖ περὶ τοῖς σώμασιν ἡμῶν 
-Z/1/670/13	πάθος. σπινθῆρος γὰρ ἑνὸς ἑκατοστὸν μέρος ἐστὶ μὲν πάν-
-Z/1/670/14	τως τῷ γένει πῦρ, ἀλλ' οὐ μόνον οὐκ ἂν ἡμᾶς καύσειεν 
-Z/1/670/15	ἢ θερμήνειεν, ἀλλ' οὐδ' ἂν αἴσθησίν τινα παράσχοι προσπε-
-Z/1/670/16	σόν. οὕτω δὲ καὶ τὸ τῆς ψυχρᾶς ῥανίδος ἑκατοστὸν μέρος 
-Z/1/670/17	οὐ μόνον οὐδὲν ἂν βλάψειεν ἢ ψύξειεν, ἀλλ' οὐδ' ἂν αἴ-
-Z/1/671/1	σθησίν τινα παράσχοι. | μὴ τοίνυν οὕτω μηδὲ τὰ δηλητήρια 
-Z/1/671/2	κρίνειν, ἀλλὰ τῇ τῆς ὅλης φύσεως ἐναντιώσει, τὴν δ' ἐναν-
-Z/1/671/3	τίωσιν ἐκ τῆς ἐν μέσῳ κρίνειν μεταβολῆς. οἷον εὐθέως 
-Z/1/671/4	ἀπὸ τῶν στοιχείων οὔθ' ὕδωρ εἰς πῦρ οὔτε πῦρ εἰς ὕδωρ 
-Z/1/671/5	μεταβάλλειν πέφυκεν, ἀλλ' εἰς ἀέρα μὲν ἄμφω, ἐκεῖνος δ' 
-Z/1/671/6	εἰς ἑκάτερα, εἰς ἄλληλα δὲ ταῦτ' οὐδαμῶς. ἄμεσος μὲν οὖν 
-Z/1/671/7	ἡ εἰς ἀέρα μεταβολὴ τοῦ ὕδατος, ὡσαύτως δὲ καὶ τοῦ πυ-
-Z/1/671/8	ρός· οὐκ ἄμεσος δ' ἡ πυρὸς καὶ ὕδατος εἰς ἄλληλα. ταῦτ' 
-Z/1/671/9	οὖν ἀλλήλοις ἐστὶν ἐναντία καὶ πολέμια. κατὰ δὲ τὸν αὐτὸν 
-Z/1/671/10	τρόπον καὶ ὀπὸς μήκωνος ἀνθρωπείῳ σώματι τελέως ἐστὶν 
-Z/1/671/11	ἐναντίος οὐδὲν εἰς αὐτὸν οὔτε κατὰ μίαν ποιότητα δρᾶσαι 
-Z/1/671/12	δυναμένῳ οὔτε πολὺ δὴ μᾶλλον ἔτι καθ' ὅλην τὴν οὐσίαν. 
-Z/1/671/13	  Ἓν μὲν δὴ τὸ γένος τοῦτο τῶν δηλητηρίων. ἕτερον δὲ 
-Z/1/671/14	τῶν ἀφορμὴν μέν τινα μεταβολῆς λαμβανόντων ἐκ τῆς ἐν 
-Z/1/671/15	ἡμῖν θερμασίας, εἰς πολυειδεῖς δ' ἐντεῦθεν ἐκτρεπομένων 
-Z/1/671/16	ἀλλοιώσεις, ὑφ' ὧν διαφθείρεσθαι τὴν φύσιν ἡμῶν συμβέ- 
-Z/1/671/17	βηκε. πάντα γὰρ τὰ τοιαῦτα τῷ γένει δηλητήρια, κἂν διὰ 
-Z/1/672/1	σμικρότητά | ποτε μηδὲν αἰσθητὸν ἀπεργάζηται. τὰ μὲν δὴ 
-Z/1/672/2	διαβιβρώσκοντα καὶ σήποντα καὶ τήκοντα τὴν τοῦ σώματος 
-Z/1/672/3	ἡμῶν φύσιν εἰκότως ὀνομάζεται δυνάμει θερμά, τὰ δ' αὖ 
-Z/1/672/4	ψύχοντα καὶ νεκροῦντα ψυχρά. τὰ μὲν οὖν πρότερα παρά-
