
[0086]  [035]  [Pol]  []

-Z//1252a/t	                {ΠΟΛΙΤΙΚΩΝ Α} 
-Z//1321a/29	ἀποσχομένοις χρόνον τινὰ τῶν βαναύσων ἔργων, ἢ καθ-
-Z//1321a/30	άπερ ἐν Μασσαλίᾳ κρίσιν ποιουμένους τῶν ἀξίων τῶν ἐν τῷ 
-Z//1321a/31	πολιτεύματι καὶ τῶν ἔξωθεν. ἔτι δὲ καὶ ταῖς ἀρχαῖς ταῖς 
-Z//1321a/32	κυριωτάταις, ἃς δεῖ τοὺς ἐν τῇ πολιτείᾳ κατέχειν, δεῖ 
-Z//1321a/33	προσκεῖσθαι λειτουργίας, ἵν' ἑκὼν ὁ δῆμος μὴ μετέχῃ καὶ 
-Z//1321a/34	συγγνώμην ἔχῃ τοῖς ἄρχουσιν ὡς μισθὸν πολὺν διδοῦσι τῆς 
-Z//1321a/35	ἀρχῆς. ἁρμόττει δὲ θυσίας τε εἰσιόντας ποιεῖσθαι μεγαλο-
-Z//1321a/36	πρεπεῖς καὶ κατασκευάζειν τι τῶν κοινῶν, ἵνα τῶν περὶ 
-Z//1321a/37	τὰς ἑστιάσεις μετέχων ὁ δῆμος καὶ τὴν πόλιν ὁρῶν κοσμου-
-Z//1321a/38	μένην τὰ μὲν ἀναθήμασι τὰ δὲ οἰκοδομήμασιν ἄσμενος 
-Z//1321a/39	ὁρᾷ μένουσαν τὴν πολιτείαν· συμβήσεται δὲ καὶ τοῖς γνωρί-
-Z//1321a/40	μοις εἶναι μνημεῖα τῆς δαπάνης. ἀλλὰ τοῦτο νῦν οἱ περὶ 
-Z//1321a/41	τὰς ὀλιγαρχίας οὐ ποιοῦσιν, ἀλλὰ τοὐναντίον· τὰ λήμματα 
-Z//1321a/42	γὰρ ζητοῦσιν οὐχ ἧττον ἢ τὴν τιμήν. διόπερ εὖ ἔχει λέγειν 
-Z//1321b/1	ταύτας εἶναι δημοκρατίας μικράς. πῶς μὲν οὖν χρὴ καθ-
-Z//1321b/2	ιστάναι τὰς δημοκρατίας καὶ τὰς ὀλιγαρχίας, διωρίσθω 
-Z//1321b/3	τὸν τρόπον τοῦτον. 
-Z//1321b/4	  Ἀκόλουθον δὲ τοῖς εἰρημένοις ἐστὶ τὸ διῃρῆσθαι καλῶς 
-Z//1321b/5	τὰ περὶ τὰς ἀρχάς, πόσαι καὶ τίνες καὶ τίνων, καθάπερ 
-Z//1321b/6	εἴρηται καὶ πρότερον. τῶν μὲν γὰρ ἀναγκαίων ἀρχῶν χω-
-Z//1321b/7	ρὶς ἀδύνατον εἶναι πόλιν, τῶν δὲ πρὸς εὐταξίαν καὶ κό-
-Z//1321b/8	σμον ἀδύνατον οἰκεῖσθαι καλῶς. ἔτι δ' ἀναγκαῖον ἐν μὲν 
-Z//1321b/9	ταῖς μικραῖς ἐλάττους εἶναι τὰς ἀρχάς, ἐν δὲ ταῖς μεγά-
-Z//1321b/10	λαις πλείους, ὥσπερ τυγχάνει πρότερον εἰρημένον· ποίας  
-Z//1321b/11	οὖν ἁρμόττει συνάγειν καὶ ποίας χωρίζειν, δεῖ μὴ λανθά-
-Z//1321b/12	νειν. πρώτη μὲν οὖν ἐπιμέλεια τῶν ἀναγκαίων ἡ περὶ τὴν 
-Z//1321b/13	ἀγοράν, ἐφ' ᾗ δεῖ τινα ἀρχὴν εἶναι τὴν ἐφορῶσαν περί τε 
-Z//1321b/14	τὰ συμβόλαια καὶ τὴν εὐκοσμίαν· σχεδὸν γὰρ ἀναγκαῖον 
-Z//1321b/15	πάσαις ταῖς πόλεσι τὰ μὲν ὠνεῖσθαι τὰ δὲ πωλεῖν πρὸς 
-Z//1321b/16	τὴν ἀλλήλων ἀναγκαίαν χρείαν, καὶ τοῦτ' ἐστὶν ὑπογυιότα-
-Z//1321b/17	τον πρὸς αὐτάρκειαν, δι' ἣν δοκοῦσιν εἰς μίαν πολιτείαν 
-Z//1321b/18	συνελθεῖν. ἑτέρα δὲ ἐπιμέλεια ταύτης ἐχομένη καὶ σύν-
-Z//1321b/19	εγγυς ἡ τῶν περὶ τὸ ἄστυ δημοσίων καὶ ἰδίων, ὅπως 
-Z//1321b/20	εὐκοσμία ᾖ, καὶ τῶν πιπτόντων οἰκοδομημάτων καὶ ὁδῶν 
-Z//1321b/21	σωτηρία καὶ διόρθωσις, καὶ τῶν ὁρίων τῶν πρὸς ἀλλήλους, 
-Z//1321b/22	ὅπως ἀνεγκλήτως ἔχωσιν, καὶ ὅσα τούτοις ἄλλα τῆς ἐπι-
-Z//1321b/23	μελείας ὁμοιότροπα. καλοῦσι δ' ἀστυνομίαν οἱ πλεῖστοι τὴν 
-Z//1321b/24	τοιαύτην ἀρχήν, ἔχει δὲ μόρια πλείω τὸν ἀριθμόν, ὧν 
-Z//1321b/25	ἑτέρους ἐφ' ἕτερα καθιστᾶσιν ἐν ταῖς πολυανθρωποτέραις πό-
-Z//1321b/26	λεσιν, οἷον τειχοποιοὺς καὶ κρηνῶν ἐπιμελητὰς καὶ λιμένων 
-Z//1321b/27	φύλακας. ἄλλη δ' ἀναγκαία τε καὶ παραπλησία ταύτῃ· 
-Z//1321b/28	περὶ τῶν αὐτῶν μὲν γάρ, ἀλλὰ περὶ τὴν χώραν ἐστὶ καὶ 
-Z//1321b/29	[τὰ] περὶ τὰ ἔξω τοῦ ἄστεως· καλοῦσι δὲ τοὺς ἄρχοντας τούτους 
-Z//1321b/30	οἱ μὲν ἀγρονόμους οἱ δ' ὑλωρούς. αὗται μὲν οὖν ἐπιμέλειαί 
-Z//1321b/31	εἰσι τούτων τρεῖς, ἄλλη δ' ἀρχὴ πρὸς ἣν αἱ πρόσοδοι τῶν 
-Z//1321b/32	κοινῶν ἀναφέρονται, παρ' ὧν φυλαττόντων μερίζονται πρὸς 
-Z//1321b/33	ἑκάστην διοίκησιν· καλοῦσι δ' ἀποδέκτας τούτους καὶ ταμίας. 
-Z//1321b/34	ἑτέρα δ' ἀρχὴ πρὸς ἣν ἀναγράφεσθαι δεῖ τά τε ἴδια συμ-
-Z//1321b/35	βόλαια καὶ τὰς κρίσεις [ἐκ] τῶν δικαστηρίων· παρὰ δὲ τοῖς 
-Z//1321b/36	αὐτοῖς τούτοις καὶ τὰς γραφὰς τῶν δικῶν γίνεσθαι δεῖ καὶ 
-Z//1321b/37	τὰς εἰσαγωγάς. ἐνιαχοῦ μὲν οὖν μερίζουσι καὶ ταύτην εἰς 
-Z//1321b/38	πλείους, ἔστι δ' 〈οὗ〉 μία κυρία τούτων πάντων· καλοῦνται δὲ  
-Z//1321b/39	ἱερομνήμονες καὶ ἐπιστάται καὶ μνήμονες καὶ τούτοις ἄλλα 
-Z//1321b/40	ὀνόματα σύνεγγυς. 
-Z//1321b/40	                  μετὰ δὲ ταύτην ἐχομένη μὲν ἀναγκαιο-
-Z//1321b/41	τάτη δὲ σχεδὸν καὶ χαλεπωτάτη τῶν ἀρχῶν ἐστιν ἡ περὶ 
-Z//1321b/42	τὰς πράξεις τῶν καταδικασθέντων καὶ τῶν προτιθεμένων 
-Z//1322a/1	κατὰ τὰς ἐγγραφὰς καὶ περὶ τὰς φυλακὰς τῶν σωμάτων. 
-Z//1322a/2	χαλεπὴ μὲν οὖν ἐστι διὰ τὸ πολλὴν ἔχειν ἀπέχθειαν, ὥστε 
-Z//1322a/3	ὅπου μὴ μεγάλα ἔστι κερδαίνειν, οὔτ' ἄρχειν ὑπομένουσιν 
-Z//1322a/4	αὐτὴν οὔθ' ὑπομείναντες ἐθέλουσι πράττειν κατὰ τοὺς νόμους· 
-Z//1322a/5	ἀναγκαία δ' ἐστίν, ὅτι οὐδὲν ὄφελος γίνεσθαι μὲν δίκας περὶ 
-Z//1322a/6	τῶν δικαίων, ταύτας δὲ μὴ λαμβάνειν τέλος, ὥστ' εἰ μὴ 
-Z//1322a/7	γιγνομένων κοινωνεῖν ἀδύνατον ἀλλήλοις, καὶ πράξεων μὴ 
-Z//1322a/8	γιγνομένων. διὸ βέλτιον μὴ μίαν εἶναι ταύτην τὴν ἀρχήν, 
-Z//1322a/9	ἀλλ' ἄλλους ἐξ ἄλλων δικαστηρίων, καὶ περὶ τὰς προθέσεις 
-Z//1322a/10	τῶν ἀναγεγραμμένων ὡσαύτως πειρᾶσθαι διαιρεῖν, ἔτι δ' 
-Z//1322a/11	ἔνια πράττεσθαι καὶ τὰς ἀρχὰς τάς τε ἄλλας καὶ τὰς 
-Z//1322a/12	τῶν ἔνων μᾶλλον τὰς νέας, καὶ τὰς τῶν ἐνεστώτων ἑτέρας 
[0086]  [035]  [Pol]  []

-Z//1322a/13	καταδικασάσης ἑτέραν εἶναι τὴν πραττομένην, οἷον ἀστυ-
-Z//1322a/14	νόμους τὰς παρὰ τῶν ἀγορανόμων, τὰς δὲ παρὰ τούτων ἑ-
-Z//1322a/15	τέρους. ὅσῳ γὰρ ἂν ἐλάττων ἀπέχθεια ἐνῇ τοῖς πραττομένοις, 
-Z//1322a/16	τοσούτῳ μᾶλλον λήψονται τέλος αἱ πράξεις· τὸ μὲν οὖν τοὺς 
-Z//1322a/17	αὐτοὺς εἶναι τοὺς καταδικάσαντας καὶ πραττομένους ἀπέχθειαν 
-Z//1322a/18	ἔχει διπλῆν, τὸ δὲ περὶ πάντων τοὺς αὐτοὺς 〈ποιεῖ αὐτοὺς〉 πολε-
-Z//1322a/19	μίους πᾶσιν. πολλαχοῦ δὲ δὴ διῄρηται καὶ ἡ φυλάττουσα πρὸς τὴν 
-Z//1322a/20	πραττομένην, οἷον Ἀθήνησιν 〈ἡ〉 τῶν Ἕνδεκα καλουμένων. διὸ 
-Z//1322a/21	βέλτιον καὶ ταύτην χωρίζειν, καὶ τὸ 〈αὐτὸ〉 σόφισμα ζητεῖν καὶ 
-Z//1322a/22	περὶ ταύτην. ἀναγκαία μὲν γάρ ἐστιν οὐχ ἧττον τῆς εἰρημένης, 
-Z//1322a/23	συμβαίνει δὲ τοὺς μὲν ἐπιεικεῖς φεύγειν μάλιστα ταύτην τὴν  
-Z//1322a/24	ἀρχήν, τοὺς δὲ μοχθηροὺς οὐκ ἀσφαλὲς ποιεῖν κυρίους· αὐτοὶ 
-Z//1322a/25	γὰρ δέονται φυλακῆς μᾶλλον ἢ φυλάττειν ἄλλους δύναν-
-Z//1322a/26	ται. διὸ δεῖ μὴ μίαν ἀποτεταγμένην ἀρχὴν εἶναι πρὸς 
-Z//1322a/27	αὐτούς, μηδὲ συνεχῶς τὴν αὐτήν, ἀλλὰ τῶν τε νέων, ὅπου 
-Z//1322a/28	τις ἐφήβων ἢ φρουρῶν ἔστι τάξις, καὶ τῶν ἀρχῶν δεῖ κατὰ 
-Z//1322a/29	μέρη ποιεῖσθαι τὴν ἐπιμέλειαν ἑτέρους. 
-Z//1322a/29	                                    ταύτας μὲν οὖν τὰς 
-Z//1322a/30	ἀρχὰς ὡς ἀναγκαιοτάτας θετέον εἶναι πρώτας, μετὰ δὲ 
-Z//1322a/31	ταύτας τὰς ἀναγκαίας μὲν οὐθὲν ἧττον, ἐν σχήματι δὲ μεί-
-Z//1322a/32	ζονι τεταγμένας· καὶ γὰρ ἐμπειρίας καὶ πίστεως δέονται 
-Z//1322a/33	πολλῆς. τοιαῦται δ' εἶεν ἂν αἵ τε περὶ τὴν φυλακὴν τῆς πό-
-Z//1322a/34	λεως, καὶ ὅσαι τάττονται πρὸς τὰς πολεμικὰς χρείας. δεῖ 
-Z//1322a/35	δὲ καὶ ἐν εἰρήνῃ καὶ ἐν πολέμῳ πυλῶν τε καὶ τειχῶν φυ-
-Z//1322a/36	λακῆς ὁμοίως ἐπιμελητὰς εἶναι καὶ ἐξετάσεως καὶ συν-
-Z//1322a/37	τάξεως τῶν πολιτῶν. ἔνθα μὲν οὖν ἐπὶ πᾶσι τούτοις ἀρχαὶ 
-Z//1322a/38	πλείους εἰσίν, ἔνθα δ' ἐλάττους, οἷον ἐν ταῖς μικραῖς πόλεσι 
-Z//1322a/39	μία περὶ πάντων. καλοῦσι δὲ στρατηγοὺς καὶ πολεμάρχους 
-Z//1322b/1	τοὺς τοιούτους. ἔτι δὲ κἂν ὦσιν ἱππεῖς ἢ ψιλοὶ ἢ τοξόται ἢ 
-Z//1322b/2	ναυτικόν, καὶ ἐπὶ τούτων ἑκάστων ἐνίοτε καθίσταται ἀρχή, 
-Z//1322b/3	αἳ καλοῦνται ναυαρχίαι καὶ ἱππαρχίαι καὶ ταξιαρχίαι, καὶ 
-Z//1322b/4	κατὰ μέρος δὲ αἱ ὑπὸ ταύτας τριηραρχίαι καὶ λοχαγίαι 
-Z//1322b/5	καὶ φυλαρχίαι καὶ ὅσα τούτων μόρια. τὸ δὲ πᾶν ἕν τι τού-
-Z//1322b/6	του ἐστὶν εἶδος, ἐπιμελείας πολεμικῶν. 
-Z//1322b/6	                                    περὶ μὲν οὖν ταύτην 
-Z//1322b/7	τὴν ἀρχὴν ἔχει τὸν τρόπον τοῦτον· ἐπεὶ δὲ ἔνιαι τῶν ἀρχῶν, 
-Z//1322b/8	εἰ καὶ μὴ πᾶσαι, διαχειρίζουσι πολλὰ τῶν κοινῶν, ἀναγ-
-Z//1322b/9	καῖον ἑτέραν εἶναι τὴν ληψομένην λογισμὸν καὶ προσευθυ-
-Z//1322b/10	νοῦσαν, αὐτὴν μηθὲν διαχειρίζουσαν ἕτερον· καλοῦσι δὲ τούτους  
-Z//1322b/11	οἱ μὲν εὐθύνους οἱ δὲ λογιστὰς οἱ δ' ἐξεταστὰς οἱ δὲ συν-
-Z//1322b/12	ηγόρους. παρὰ πάσας δὲ ταύτας τὰς ἀρχὰς ἡ μάλιστα κυ-
-Z//1322b/13	ρία πάντων ἐστίν· ἡ γὰρ αὐτὴ πολλάκις ἔχει τὸ τέλος καὶ 
-Z//1322b/14	τὴν εἰσφορὰν ἣ προκάθηται τοῦ πλήθους, ὅπου κύριός ἐστιν ὁ 
-Z//1322b/15	δῆμος· δεῖ γὰρ εἶναι τὸ συνάγον τὸ κύριον τῆς πολιτείας. 
-Z//1322b/16	καλεῖται δὲ ἔνθα μὲν πρόβουλοι διὰ τὸ προβουλεύειν, ὅπου 
-Z//1322b/17	δὲ πλῆθός ἐστι, βουλὴ μᾶλλον. αἱ μὲν οὖν πολιτικαὶ τῶν 
-Z//1322b/18	ἀρχῶν σχεδὸν τοσαῦταί τινές εἰσιν· ἄλλο δ' εἶδος ἐπι-
-Z//1322b/19	μελείας ἡ περὶ τοὺς θεούς, οἷον ἱερεῖς τε καὶ ἐπιμεληταὶ τῶν 
-Z//1322b/20	περὶ τὰ ἱερὰ τοῦ σῴζεσθαί τε τὰ ὑπάρχοντα καὶ ἀνορθοῦσθαι 
-Z//1322b/21	τὰ πίπτοντα τῶν οἰκοδομημάτων καὶ τῶν ἄλλων ὅσα τέτα-
-Z//1322b/22	κται πρὸς τοὺς θεούς. συμβαίνει δὲ τὴν ἐπιμέλειαν ταύτην 
-Z//1322b/23	ἐνιαχοῦ μὲν εἶναι μίαν, οἷον ἐν ταῖς μικραῖς πόλεσιν, ἐνι-
-Z//1322b/24	αχοῦ δὲ πολλὰς καὶ κεχωρισμένας τῆς ἱερωσύνης, οἷον ἱερο-
-Z//1322b/25	ποιοὺς καὶ ναοφύλακας καὶ ταμίας τῶν ἱερῶν χρημάτων. 
-Z//1322b/26	ἐχομένη δὲ ταύτης ἡ πρὸς τὰς θυσίας ἀφωρισμένη τὰς κοι-
-Z//1322b/27	νὰς πάσας, ὅσας μὴ τοῖς ἱερεῦσιν ἀποδίδωσιν ὁ νόμος, ἀλλ' 
-Z//1322b/28	ἀπὸ τῆς κοινῆς ἑστίας ἔχουσι τὴν τιμήν· καλοῦσι δ' οἱ μὲν 
-Z//1322b/29	ἄρχοντας τούτους οἱ δὲ βασιλεῖς οἱ δὲ πρυτάνεις. 
-Z//1322b/29	                                                αἱ μὲν 
-Z//1322b/30	οὖν ἀναγκαῖαι ἐπιμέλειαί εἰσι περὶ τούτων, ὡς εἰπεῖν συγ-
-Z//1322b/31	κεφαλαιωσαμένους, περί τε τὰ δαιμόνια καὶ τὰ πολεμικὰ 
-Z//1322b/32	καὶ περὶ τὰς προσόδους καὶ τὰ ἀναλισκόμενα, καὶ περὶ 
-Z//1322b/33	ἀγορὰν καὶ περὶ τὸ ἄστυ καὶ λιμένας καὶ τὴν χώραν, ἔτι 
-Z//1322b/34	περὶ τὰ δικαστήρια, καὶ συναλλαγμάτων ἀναγραφὰς 
-Z//1322b/35	καὶ πράξεις καὶ φυλακὰς καὶ ἐπιλογισμούς τε καὶ ἐξετά-
-Z//1322b/36	σεις καὶ προσευθύνας τῶν ἀρχόντων, καὶ τέλος αἳ περὶ τὸ 
-Z//1322b/37	βουλευόμενόν εἰσι 〈περὶ〉 τῶν κοινῶν· ἴδιαι δὲ ταῖς σχολαστι-
-Z//1322b/38	κωτέραις καὶ μᾶλλον εὐημερούσαις πόλεσιν, ἔτι δὲ φροντι- 
-Z//1322b/39	ζούσαις εὐκοσμίας, γυναικονομία νομοφυλακία παιδονομία 
-Z//1323a/1	γυμνασιαρχία, πρὸς δὲ τούτοις περὶ ἀγῶνας ἐπιμέλεια γυ-
-Z//1323a/2	μνικοὺς καὶ Διονυσιακούς, κἂν εἴ τινας ἑτέρας συμβαίνει 
-Z//1323a/3	τοιαύτας γίνεσθαι θεωρίας. τούτων δ' ἔνιαι φανερῶς εἰσιν οὐ 
-Z//1323a/4	δημοτικαὶ τῶν ἀρχῶν, οἷον γυναικονομία καὶ παιδονομία· 
-Z//1323a/5	τοῖς γὰρ ἀπόροις ἀνάγκη χρῆσθαι καὶ γυναιξὶ καὶ παισὶν 
-Z//1323a/6	ὥσπερ ἀκολούθοις διὰ τὴν ἀδουλίαν. τριῶν δ' οὐσῶν ἀρχῶν 
-Z//1323a/7	καθ' ἃς αἱροῦνταί τινες ἀρχὰς τὰς κυρίους, νομοφυλάκων προ-
-Z//1323a/8	βούλων βουλῆς, οἱ μὲν νομοφύλακες ἀριστοκρατικόν, ὀλιγαρ-
-Z//1323a/9	χικὸν δ' οἱ πρόβουλοι, βουλὴ δὲ δημοτικόν. περὶ μὲν οὖν τῶν 
-Z//1323a/10	ἀρχῶν, ὡς ἐν τύπῳ, σχεδὸν εἴρηται περὶ πασῶν. 
-Z//1323a/14t	                          {Η} 
-Z//1323a/14	  Περὶ δὲ πολιτείας ἀρίστης τὸν μέλλοντα ποιήσασθαι τὴν 
-Z//1323a/15	προσήκουσαν ζήτησιν ἀνάγκη διορίσασθαι πρῶτον τίς αἱρε-
-Z//1323a/16	τώτατος βίος. ἀδήλου γὰρ ὄντος τούτου καὶ τὴν ἀρίστην 
-Z//1323a/17	ἀναγκαῖον ἄδηλον εἶναι πολιτείαν· ἄριστα γὰρ πράττειν 
-Z//1323a/18	προσήκει τοὺς ἄριστα πολιτευομένους ἐκ τῶν ὑπαρχόντων 
-Z//1323a/19	αὐτοῖς, ἐὰν μή τι γίγνηται παράλογον. διὸ δεῖ πρῶτον 
-Z//1323a/20	ὁμολογεῖσθαι τίς ὁ πᾶσιν ὡς εἰπεῖν αἱρετώτατος βίος, μετὰ 
-Z//1323a/21	δὲ τοῦτο πότερον κοινῇ καὶ χωρὶς ὁ αὐτὸς ἢ ἕτερος. νομί-
-Z//1323a/22	σαντας οὖν ἱκανῶς πολλὰ λέγεσθαι καὶ τῶν ἐν τοῖς ἐξωτερι-
-Z//1323a/23	κοῖς λόγοις περὶ τῆς ἀρίστης ζωῆς, καὶ νῦν χρηστέον αὐτοῖς. 
-Z//1323a/24	ὡς ἀληθῶς γὰρ πρός γε μίαν διαίρεσιν οὐδεὶς ἀμφισβητή-
-Z//1323a/25	σειεν ἂν ὡς οὐ, τριῶν οὐσῶν μερίδων, τῶν τε ἐκτὸς καὶ τῶν ἐν 
-Z//1323a/26	τῷ σώματι καὶ τῶν ἐν τῇ ψυχῇ, πάντα ταῦτα ὑπάρχειν 
-Z//1323a/27	τοῖς μακαρίοις χρή. οὐδεὶς γὰρ ἂν φαίη μακάριον τὸν μηθὲν  
-Z//1323a/28	μόριον ἔχοντα ἀνδρείας μηδὲ σωφροσύνης μηδὲ δικαιοσύνης 
-Z//1323a/29	μηδὲ φρονήσεως, ἀλλὰ δεδιότα μὲν τὰς παραπετομένας 
-Z//1323a/30	μυίας, ἀπεχόμενον δὲ μηθενός, ἂν ἐπιθυμήσῃ τοῦ φαγεῖν ἢ 
-Z//1323a/31	πιεῖν, τῶν ἐσχάτων, ἕνεκα δὲ τεταρτημορίου διαφθείροντα 
-Z//1323a/32	τοὺς φιλτάτους φίλους, ὁμοίως δὲ καὶ τὰ περὶ τὴν διάνοιαν 
-Z//1323a/33	οὕτως ἄφρονα καὶ διεψευσμένον ὥσπερ τι παιδίον ἢ μαινό-
-Z//1323a/34	μενον. ἀλλὰ ταῦτα μὲν λεγόμενα ὥσπερ πάντες ἂν συγ-
-Z//1323a/35	χωρήσειαν, διαφέρονται δ' ἐν τῷ ποσῷ καὶ ταῖς ὑπεροχαῖς. 
-Z//1323a/36	τῆς μὲν γὰρ ἀρετῆς ἔχειν ἱκανὸν εἶναι νομίζουσιν ὁποσονοῦν, 
-Z//1323a/37	πλούτου δὲ καὶ χρημάτων καὶ δυνάμεως καὶ δόξης καὶ πάν-
-Z//1323a/38	των τῶν τοιούτων εἰς ἄπειρον ζητοῦσι τὴν ὑπερβολήν. ἡμεῖς 
-Z//1323a/39	δὲ αὐτοῖς ἐροῦμεν ὅτι ῥᾴδιον μὲν περὶ τούτων καὶ διὰ τῶν 
-Z//1323a/40	ἔργων λαμβάνειν τὴν πίστιν, ὁρῶντας ὅτι κτῶνται καὶ 
-Z//1323a/41	φυλάττουσιν οὐ τὰς ἀρετὰς τοῖς ἐκτὸς ἀλλ' ἐκεῖνα ταύταις, 
-Z//1323b/1	καὶ τὸ ζῆν εὐδαιμόνως, εἴτ' ἐν τῷ χαίρειν ἐστὶν εἴτ' ἐν ἀρετῇ 
-Z//1323b/2	τοῖς ἀνθρώποις εἴτ' ἐν ἀμφοῖν, ὅτι μᾶλλον ὑπάρχει τοῖς τὸ 
-Z//1323b/3	ἦθος μὲν καὶ τὴν διάνοιαν κεκοσμημένοις εἰς ὑπερβολήν, 
-Z//1323b/4	περὶ δὲ τὴν ἔξω κτῆσιν τῶν ἀγαθῶν μετριάζουσιν, ἢ τοῖς 
-Z//1323b/5	ἐκεῖνα μὲν κεκτημένοις πλείω τῶν χρησίμων, ἐν δὲ τούτοις 
-Z//1323b/6	ἐλλείπουσιν· οὐ μὴν ἀλλὰ καὶ κατὰ τὸν λόγον σκοπουμέ-
-Z//1323b/7	νοις εὐσύνοπτόν ἐστιν. τὰ μὲν γὰρ ἐκτὸς ἔχει πέρας, ὥσπερ ὄρ-
-Z//1323b/8	γανόν τι, πᾶν τε τὸ χρήσιμον εἴς τι· ὧν τὴν ὑπερ-
-Z//1323b/9	βολὴν ἢ βλάπτειν ἀναγκαῖον ἢ μηθὲν ὄφελος εἶναι τοῖς 
-Z//1323b/10	ἔχουσιν, τῶν δὲ περὶ ψυχὴν ἕκαστον ἀγαθῶν, ὅσῳ περ ἂν 
-Z//1323b/11	ὑπερβάλλῃ, τοσούτῳ μᾶλλον χρήσιμον εἶναι, εἰ δεῖ καὶ τού-
-Z//1323b/12	τοις ἐπιλέγειν μὴ μόνον τὸ καλὸν ἀλλὰ καὶ τὸ χρήσιμον. 
-Z//1323b/13	ὅλως τε δῆλον ὡς ἀκολουθεῖν φήσομεν τὴν διάθεσιν τὴν ἀρί-
[0086]  [035]  [Pol]  []

-Z//1323b/14	στην ἑκάστου πράγματος πρὸς ἄλληλα κατὰ τὴν ὑπεροχὴν  
-Z//1323b/15	ἥνπερ εἴληχε ταῦτα ὧν φαμεν αὐτὰς εἶναι διαθέσεις 
-Z//1323b/16	[ταύτας]. ὥστ' εἴπερ ἐστὶν ἡ ψυχὴ καὶ τῆς κτήσεως καὶ τοῦ 
-Z//1323b/17	σώματος τιμιώτερον καὶ ἁπλῶς καὶ ἡμῖν, ἀνάγκη καὶ τὴν 
-Z//1323b/18	διάθεσιν τὴν ἀρίστην ἑκάστου ἀνάλογον τούτων ἔχειν. ἔτι δὲ 
-Z//1323b/19	τῆς ψυχῆς ἕνεκεν ταῦτα πέφυκεν αἱρετὰ καὶ δεῖ πάντας 
-Z//1323b/20	αἱρεῖσθαι τοὺς εὖ φρονοῦντας, ἀλλ' οὐκ ἐκείνων ἕνεκεν τὴν ψυ-
-Z//1323b/21	χήν. 
-Z//1323b/21	    ὅτι μὲν οὖν ἑκάστῳ τῆς εὐδαιμονίας ἐπιβάλλει τοσοῦτον 
-Z//1323b/22	ὅσον περ ἀρετῆς καὶ φρονήσεως καὶ τοῦ πράττειν κατὰ ταύ-
-Z//1323b/23	τας, ἔστω συνωμολογημένον ἡμῖν, μάρτυρι τῷ θεῷ χρωμέ-
-Z//1323b/24	νοις, ὃς εὐδαίμων μέν ἐστι καὶ μακάριος, δι' οὐθὲν δὲ τῶν 
-Z//1323b/25	ἐξωτερικῶν ἀγαθῶν ἀλλὰ δι' αὑτὸν αὐτὸς καὶ τῷ ποιός τις 
-Z//1323b/26	εἶναι τὴν φύσιν, ἐπεὶ καὶ τὴν εὐτυχίαν τῆς εὐδαιμονίας διὰ 
-Z//1323b/27	ταῦτ' ἀναγκαῖον ἑτέραν εἶναι (τῶν μὲν γὰρ ἐκτὸς ἀγαθῶν 
-Z//1323b/28	τῆς ψυχῆς αἴτιον ταὐτόματον καὶ ἡ τύχη, δίκαιος δ' οὐδεὶς 
-Z//1323b/29	οὐδὲ σώφρων ἀπὸ τύχης οὐδὲ διὰ τὴν τύχην ἐστίν)· ἐχόμενον 
-Z//1323b/30	δ' ἐστὶ καὶ τῶν αὐτῶν λόγων δεόμενον καὶ πόλιν εὐδαίμονα 
-Z//1323b/31	τὴν ἀρίστην εἶναι καὶ πράττουσαν καλῶς. ἀδύνατον δὲ καλῶς 
-Z//1323b/32	πράττειν τοῖς μὴ τὰ καλὰ πράττουσιν· οὐθὲν δὲ καλὸν ἔργον 
-Z//1323b/33	οὔτ' ἀνδρὸς οὔτε πόλεως χωρὶς ἀρετῆς καὶ φρονήσεως· ἀνδρεία 
-Z//1323b/34	δὲ πόλεως καὶ δικαιοσύνη καὶ φρόνησις 〈καὶ σωφροσύνη〉 
-Z//1323b/35	τὴν αὐτὴν ἔχει δύναμιν καὶ μορφὴν ὧν μετασχὼν ἕκαστος 
-Z//1323b/36	τῶν ἀνθρώπων λέγεται 〈ἀνδρεῖος καὶ〉 δίκαιος καὶ 
-Z//1323b/36a	φρόνιμος καὶ σώφρων. ἀλλὰ γὰρ 
-Z//1323b/37	ταῦτα μὲν ἐπὶ τοσοῦτον ἔστω πεφροιμιασμένα τῷ λόγῳ· οὔτε 
-Z//1323b/38	γὰρ μὴ θιγγάνειν αὐτῶν δυνατόν, οὔτε πάντας τοὺς οἰκείους 
-Z//1323b/39	ἐπεξελθεῖν ἐνδέχεται λόγους, ἑτέρας γάρ ἐστιν ἔργον σχολῆς 
-Z//1323b/40	ταῦτα· νῦν δὲ ὑποκείσθω τοσοῦτον, ὅτι βίος μὲν ἄριστος, καὶ  
-Z//1323b/41	χωρὶς ἑκάστῳ καὶ κοινῇ ταῖς πόλεσιν, ὁ μετ' ἀρετῆς κεχορη-
-Z//1324a/1	γημένης ἐπὶ τοσοῦτον ὥστε μετέχειν τῶν κατ' ἀρετὴν πρά-
-Z//1324a/2	ξεων, πρὸς δὲ τοὺς ἀμφισβητοῦντας, ἐάσαντας ἐπὶ τῆς νῦν 
-Z//1324a/3	μεθόδου, διασκεπτέον ὕστερον, εἴ τις τοῖς εἰρημένοις τυγχά-
