
[0057]  [050]  []  []

-Z/7/513/t	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΠΛΗΘΟΥΣ ΒΙΒΛΙΟΝ.} 
-Z/7/549/4	καὶ χωρὶς τούτου χολή τις, ἢ ἰχὼρ, ἢ πνεῦμα φυσῶδες ἐς 
-Z/7/549/5	πλῆθος ἀθροισθείη τοσοῦτον, ὡς μὴ χωρεῖσθαι μηκέτι πρὸς 
-Z/7/549/6	τοῦ περιέχοντος, οὐχὶ καὶ νῦν ἀναγκαῖον ἔσται, τάσεως αἰ-
-Z/7/549/7	σθέσθαι τὸ ζῶον; ἂν ὑπάρχῃ τὸ τεινόμενον μόριον αἰσθητι-
-Z/7/549/8	κὸν, ἀναγκαῖόν ἐστιν ἐπὶ παντὶ τῷ διατείνοντι καὶ μὴ στεγο-
-Z/7/549/9	μένῳ τὴν αἴσθησιν τῆς τάσεως τῷ ζώῳ γενέσθαι, καὶ τὸ 
-Z/7/549/10	πάθημα αὐτὸ καταλαμβάνειν τὰ μόρια, τὴν ὀνομαζομένην 
-Z/7/549/11	τάσιν, ἧς ἐπὶ πλέον αὐξανομένης, ἀνάγκη τε καὶ ῥαγῆναι τὸ 
-Z/7/549/12	τεινόμενον. ἐμοὶ μὲν τοιοῦτον δοκεῖ τοῖς ἐναργῶς φαινομέ-
-Z/7/549/13	νοις ὁμολογεῖν. ὁρῶνται γὰρ οὐ νεῦρα μόνον, ἢ σχοινία 
-Z/7/549/14	ῥηγνύμενα τῷ βιαίῳ τῆς τάσεως, ἀλλὰ καὶ πίθοι πολλάκις 
-Z/7/549/15	ὑπὸ γλεύκους πνευματωθέντος. ἔναγχος γοῦν ἀγγεῖον κασ-
-Z/7/549/16	σιτέρινον εἰς τοσοῦτον διεφυσήθη πρὸς τοῦ περιεχομένου κατ' 
-Z/7/549/17	αὐτὸ φαρμάκου τοῦ διὰ τῶν ἐχιδνῶν, ὥστε καὶ τὸ περικείμε-
-Z/7/549/18	νον αὐτῷ δέρμα καὶ τὸ σχοινίον ᾧ κατεδέδετο ῥαγῆναι καὶ  
-Z/7/550/1	τὸ πῶμα κυρτωθῆναι. καὶ μὲν δὴ καὶ ὅτι μεγίσταις ὀδύναις 
-Z/7/550/2	ἐνίοτε καταλαμβάνονταί τινες, ὑπὸ φυσώδους πνεύματος κα-
-Z/7/550/3	ταληφθέντος ἔν τισι τοῦ ζώου μέρεσι, καὶ ὡς ἐν τῷ κώλῳ 
-Z/7/550/4	μάλιστα συμβαίνειν εἴωθε τοῦτο, γινώσκειν ἡγοῦμαι πάντας, 
-Z/7/550/5	οἷς ἐπιμελές ἐστιν ἀκολουθεῖν τε καὶ διασκέπτεσθαι τὰ καθ' 
-Z/7/550/6	ἑκάστην ἡμέραν ἐπὶ τῶν καμνόντων ὁρώμενα. βέλτιον 
-Z/7/550/7	οὖν ὑπὸ πάσης οὐσίας ὑγρᾶς καὶ πνευματώδους εἰς τονώδη 
-Z/7/550/8	διάθεσιν ἄγεσθαι νομίζειν τὰ μόρια, ἢ μόνῳ τῶν χυμῶν αἵ-
-Z/7/550/9	ματι πληθύνοντι τοιοῦτον ἕπεσθαι πάθημα. μεταβῶμεν οὖν 
-Z/7/550/10	αὖθις πρὸς τοὺς ὡς πρὸς τὴν δύναμιν ἡγουμένους ἀεὶ συνί-
-Z/7/550/11	στασθαι τὸ πλῆθος, ἐρωτήσωμέν τε καὶ τούτους ἕν τι τῶν 
-Z/7/550/12	προχειροτάτων, ὑποθέμενοι τοιάνδέ τινα ὑπόθεσιν, ὡς ἐπὶ 
-Z/7/550/13	παραδείγματι. (μόρια) βασταζέτωσαν ἄνθρωποι δύο κατὰ 
-Z/7/550/14	τῶν ὤμων ἀναθέμενοι ὁ μὲν ξύλον, ἢ λίθον, ἤ τι φορτίον 
-Z/7/550/15	βαρύτατον, ὁ δὲ ἕτερος ἀκάνθας ὀλιγίστας, ὀξυτάτας· εἶτ' 
-Z/7/550/16	ἐρωτήσωμεν ἐπὶ τῷ τοιούτῳ θεάματι τοὺς πρὸς τὴν δύναμιν 
-Z/7/550/17	ἀεὶ νοοῦντας τὸ πλῆθος, εἰ καὶ τὰς ὀλίγας ἀκάνθας ὀνομά-
-Z/7/550/18	ζουσι φορτίον, ἢ τὸ μὲν ἀνιᾶσθαι πρὸς ἑκατέρου τῶν βαστα- 
-Z/7/551/1	ζομένων κοινόν τι σύμπτωμα τοῖς ἀνθρώποις ἐστὶν, ἡ δὲ 
-Z/7/551/2	τῆς ἀνίας ἰδέα πάμπολυ διαλλάττουσα· τῷ μὲν γὰρ βαρύ-
-Z/7/551/3	νεσθαι χωρὶς τοῦ νύττεσθαι, τῷ δὲ νύττεσθαι χωρὶς τοῦ 
-Z/7/551/4	βαρύνεσθαι συμβέβηκεν. ὅλως δ' ἄν τις τὸ νύττεσθαι, 
-Z/7/551/5	ἢ δάκνεσθαι, ἢ ὁπωσοῦν ἀνιῶν φορτίον καλῇ καὶ πλῆθος, 
-Z/7/551/6	ἀναγκασθήσεταί ποτε καὶ μίαν ἄκανθαν ἢ βελόνην λεπτοτάτην 
-Z/7/551/7	καλεῖν φορτίον, οὗ τί ἂν εἴη γελοιότερον; ἔστιν οὖν ἄτοπα 
-Z/7/551/8	ταῦτα καὶ παρὰ τὰς κοινὰς ἁπάντων ἀνθρώπων ἐννοίας. 
-Z/7/551/9	ἡμῖν δὲ οὐκ ἀνατρέπειν, ἀλλὰ φυλάττειν τὰς κοινὰς ἐννοίας 
-Z/7/551/10	πρόκειται. πολὺ μὲν οὖν ἡγούμεθα τὸ βαρῦνον, ἀνιαρὸν δὲ 
-Z/7/551/11	τὸ δάκνον, ἢ νύττον, ἢ ὅπως ἄν τις ὀνομάζειν ἐθέλῃ. καὶ 
-Z/7/551/12	μὴν ὅτι δακνώδεις πολλοὶ τῶν χυμῶν εἰσιν, οἱ μὲν ἐν ἡμῖν 
-Z/7/551/13	αὐτοῖς τὴν γένεσιν ἔχοντες, οἱ δὲ ἔξωθεν ἡμῖν ἐπιφερόμενοι, 
-Z/7/551/14	παντὶ τοῦτο πρόδηλον. εἰσὶ δ' αὐτῶν τέτταρες ἐν τῷ μᾶλ-
-Z/7/551/15	λόν τε καὶ ἧττον διαφοραί· μετρίως μὲν γὰρ δάκνοντες 
-Z/7/551/16	κνησμώδεις εἰσὶν, ὥσπερ ἡ σκίλλα· σφοδρότερον δὲ, δα-
-Z/7/551/17	κνώδεις, ὥσπερ τὸ κρόμμυον· εἰ γὰρ ἐπὶ πλέον ὁμιλήσειεν 
-Z/7/551/18	ἡμῶν τὸ σῶμα τοιαύτῃ φύσει σώματος, ἑλκωθήσεται·  
-Z/7/552/1	τὰ δὲ ἔτι μᾶλλόν ἐστι τούτου δριμέα, καὶ μάλιστα ὅταν ἡλ-
-Z/7/552/2	κωμένοις προσφέρηται, φρίκην ἐργάζεται. φρίκης δὲ ἐκτα-
-Z/7/552/3	θείσης τε καὶ αὐξηθείσης τὸ σύμπτωμα ῥῖγος ὀνομάζεται. 
-Z/7/552/4	κατὰ δὲ τὴν αὐτὴν ἀναλογίαν ἐν ἡμῖν συνίστανται δακνώδεις 
-Z/7/552/5	χυμοὶ κατὰ τέτταρας ἰδέας· κνησμώδεις μὲν γὰρ ἐξ αὐτῶν εἰ-
-Z/7/552/6	σιν οἱ μετρίως ἀμύττοντες, ἑλκώδη δὲ αἴσθησιν ἐμποιοῦσιν οἱ 
-Z/7/552/7	τούτων δακνωδέστεροι, φρίκην δὲ οἱ τούτων μᾶλλον δάκνον-
-Z/7/552/8	τες, οἱ δ' ἱκανῶς δακνώδεις τὸ ῥῖγος. λέλεκται δὲ περὶ τού-
-Z/7/552/9	των ἐν πολλαῖς πραγματείαις, ἀλλ' ἱκανὰ τῷ βουληθέντι 
-Z/7/552/10	σύνοψίν τινα λαβεῖν αὐτῶν τὰ ἐν τῷ δευτέρῳ τῶν ἐν τοῖς 
-Z/7/552/11	συμπτώμασιν αἰτιῶν εἰρημένα καὶ τῷ τετάρτῳ τῶν ὑγιεινῶν· 
-Z/7/552/12	εἰ δὲ καὶ τὸ περὶ τῆς τῶν φαρμάκων δυνάμεως ἀναλέξαιτό τις 
-Z/7/552/13	γράμμα καὶ τὴν προηγουμένην αὐτῶν πραγματείαν τὴν περὶ 
-Z/7/552/14	κράσεων, ἐπιστημονικώτερον ἂν οὕτως πεισθείη περὶ τῆς τῶν 
-Z/7/552/15	δακνωδῶν φύσεως. ἀλλὰ οἱ πολλοὶ τῶν ἰατρῶν ὅμοιόν τι 
-Z/7/552/16	πεπόνθασι τῷ πρὸς Ἱπποκράτους εἰρημένῳ περὶ τῶν ἐπὶ 
-Z/7/552/17	κατάγμασιν ἢ τοιούτοις τισὶ παθήμασι τὰ προσταττόμενα μὴ 
-Z/7/552/18	ποιούντων· καὶ γὰρ κᾀκεῖνοι, καίτοι ὑγιεῖς ἐθέλοντες γενέσθαι,  
[0057]  [050]  []  []

-Z/7/553/1	τὸν ἐν τῇ θεραπείᾳ κάματον οὐχ ὑπομένουσιν, ὥσπερ οὗτοι 
-Z/7/553/2	τὸν ἐν τῷ μανθάνειν. ἀλλ' οὔτε ἐξαίφνης ὑγιεῖς οἷόν τε γενέ-
-Z/7/553/3	σθαι μόνῳ τῷ βούλεσθαι τυχόντας τοῦ τέλους, οὔτε τού-
-Z/7/553/4	τους ἐπιστημονικοὺς, ἄνευ τοῦ διελθεῖν ἅπασαν τὴν ὁδὸν, ἣν 
-Z/7/553/5	ἀρτίως ἐδήλωσα. γνώσονται γὰρ, εἰ βουληθεῖεν, ὡς ἡ ἑλκώ-
-Z/7/553/6	δης ὅλου τοῦ σώματος αἴσθησις, ἥ τε ἐπὶ πλέοσι γυμνασίοις 
-Z/7/553/7	ἀήθως παραληφθεῖσι γιγνομένη καὶ ἡ χωρὶς γυμνασίων ἄφνω 
-Z/7/553/8	συστᾶσα, δακνώδους ἔγγονος ὑπάρχει χυμοῦ. καὶ διὰ τοῦτο 
-Z/7/553/9	τοὺς πλέον γυμνασαμένους ἐλαίῳ τε πλείονι καὶ τρίψει μα-
-Z/7/553/10	λακῇ καὶ λουτροῖς γλυκέων ὑδάτων θερμοῖς ἀκριβῶς εὐκρά-
-Z/7/553/11	τοις οἱ γυμνασταὶ θεραπεύουσιν, ὡς διαφορηθῆναι τοὺς 
-Z/7/553/12	δακνώδεις χυμοὺς, ὅσοι γυμνασαμένων ἀμετρότερον ἐγεννή-
-Z/7/553/13	θησαν ἐπὶ συντήξει πιμελῆς καὶ σαρκὸς μαλακῆς, ἢ δι' αὐτοὺς 
-Z/7/553/14	τοὺς ἐν τῷ σώματι χυμοὺς ἰσχυρῶς θερμανθέντας. εἴ τις οὖν 
-Z/7/553/15	ὑπομείνειε τὰς τούτων ἀποδείξεις ἐκμανθάνειν, ἐκεῖνος ἂν μό-
-Z/7/553/16	νος πεισθείη βεβαίως, τὴν μὲν ἑλκώδη διάθεσιν ἐπὶ δακνώδεσι 
-Z/7/553/17	γίγνεσθαι χυμοῖς, τὴν δὲ τοῦ βάρους ἐπὶ πολλοῖς πρὸς τὴν 
-Z/7/553/18	δύναμιν, τὴν δὲ τῆς τάσεως ἐπὶ πολλοῖς μὲν καὶ ταύτην, ἀλλ'  
-Z/7/554/1	ὡς πρὸς τὴν περιέχουσαν ἑαυτοὺς χώραν, οὐ τὴν δύναμιν τῶν 
-Z/7/554/2	(περιεχομένων) σωμάτων. Ἐρασίστρατος δὲ ἐν τῷ προτέρῳ 
-Z/7/554/3	τῶν ὑγιεινῶν, αὐτὴν μὲν τὴν γένεσιν τῆς πληθώρας διερ-
-Z/7/554/4	χόμενος, ἐναργέστατα διδάσκει τὴν τρίτην τῶν εἰρημένων 
-Z/7/554/5	διάθεσιν, ἑξῆς δὲ ἐπὶ τὰ γνωρίσματα τρεπόμενος, οὐ 
-Z/7/554/6	μᾶλλόν τι ταύτης ἢ τὰ τῶν ἄλλων ἔγραψεν. ἡ μὲν γὰρ 
-Z/7/554/7	τάσις ταύτης μόνης, ὅπερ ἐκεῖνος ὠνόμασε παρεμπίμπλα-
-Z/7/554/8	σθαι· τὸ δὲ ἑλκώδη γενέσθαι τὴν αἴσθησιν οὔτε τοῦ προει-
-Z/7/554/9	ρημένου πλήθους οὔτε τοῦ πρὸς τὴν δύναμιν ἴδιον γνώρισμα· 
-Z/7/554/10	πολὺ δὲ μᾶλλον οὐδὲ τὸ βαρυτέρους τε καὶ δυσκινητοτέρους 
-Z/7/554/11	ἀποτελεῖσθαι· καὶ γὰρ καὶ τοῦτο ἴδιόν ἐστι τοῦ πρὸς τὴν 
-Z/7/554/12	δύναμιν πλήθους. ὀλίγου τοίνυν ἐδέησεν αὐτῷ πᾶσαν ἡμῖν 
-Z/7/554/13	γράψαι τὴν τῶν ἐμπειρικῶν συνδρομήν· ἀμέλει καὶ μέρος τι 
-Z/7/554/14	τῆς τριχρόνου λεγομένης σημειώσεως, ἣν οἱ περὶ τὸν Ἡρόφιλον 
-Z/7/554/15	εἰσήγαγον ὁμοίως τοῖς ἐμπειρικοῖς, ἔγραψεν ἐν τῷ οὕτω φάναι· 
-Z/7/554/16	τῆς γὰρ ἀναδιδομένης τροφῆς μήτε καταπεττομένης μήτε ἐκπο-
-Z/7/554/17	νουμένης κατὰ τὸ εἰθισμένον ἑκάστῳ, μήτε ἄλλως πως ἐκκρινομέ-
-Z/7/554/18	νης· οὐδὲν γὰρ διήνεγκεν ἢ ταῦτα εἰπεῖν, ἢ ὡς ἐκεῖνοι λέγουσιν,  
-Z/7/555/1	ἀργὸν βίον, ἐπίσχεσίν τε συνήθων ἐκκρίσεων. ἀργὸν μὲν γὰρ 
-Z/7/555/2	τὸν ἔμπροσθεν βίον ἐνεδείξατο, μήτε ἐκπονουμένης, φήσας, 
-Z/7/555/3	κατὰ τὸ εἰθισμένον ἑκάστῳ· τὴν δὲ τῶν ἐκκρίσεων ἐπίσχεσιν 
-Z/7/555/4	ἐν τῷ προσγράψαι, μήτε ἄλλως ἐκκρινομένης, (ἡ διὰ χρόνον 
-Z/7/555/5	σημείωσις τοῦ πλήθους) ἐκ μὲν τοῦ προγεγονότος χρόνου 
-Z/7/555/6	λαμβάνων τὸν ἀργὸν βίον ἅμα τῇ τῶν ἐκκρίσεων ἐπισχέσει· 
-Z/7/555/7	ἐκ δὲ τοῦ νῦν ἐνεστῶτος τό τε παρεμπίμπλασθαι καὶ τὴν 
-Z/7/555/8	ἑλκώδη διάθεσιν, ὄκνον τε πρὸς τὰς κινήσεις, καὶ βάρος ὅλου 
-Z/7/555/9	τοῦ σώματος, ὅσα τε ἄλλα τοιαῦτα προστιθέασιν· ἐκ δὲ τοῦ 
-Z/7/555/10	μέλλοντος, ὅτι περ κενωθέντες οἱ οὕτως ἔχοντες καλῶς ὤνην-
-Z/7/555/11	ται, ὅπερ Ἐρασιστράτῳ παραλέλειπται. μαρτύριον μὲν γὰρ 
-Z/7/555/12	τοῦτο τῆς ὀρθῆς διαγνώσεώς τε ἅμα καὶ θεραπείας ἐστί· δια-
-Z/7/555/13	γνώσεως δὲ, ἢ ὡς ἐκεῖνοι καλοῦσι, σημειώσεως, οὐδὲν ἂν εἴη 
-Z/7/555/14	μέρος, εἴ γε διὰ τῆς σημειώσεως σημειοῦσθαι βουλόμεθα τὰς 
-Z/7/555/15	διαθέσεις, ἵνα ἐξεύρωμεν τὴν προσήκουσαν θεραπείαν. ὥστε 
-Z/7/555/16	εἴ γε ἐξ ἄλλου τινὸς οἷόν τ' ἦν ὁρμηθέντας θεραπεῦσαι 
-Z/7/555/17	προσηκόντως, ἡ σημείωσις ἂν ἦν περιττή. τοῦ δ' ἐνεστῶ-
-Z/7/555/18	τος χρόνου μεμνημένος, ἔρευθός τε καὶ διάτασιν ἀγγείων  
-Z/7/556/1	παραλέλοιπεν, ἃ καὶ αὐτὰ προστιθέασιν οἱ ἐμπειρικοὶ σχε-
-Z/7/556/2	δὸν ἅπαντες, οὐκ ὀλίγοι δὲ τῶν δογματικῶν, ὥσπερ καὶ ἄλλα 
-Z/7/556/3	τινὰ, καθάπερ εἴρηται. καίτοι γε ὧν ὡς ἐν αἵματι μόνῳ τὴν 
-Z/7/556/4	τῆς πληθώρας ὑποτίθεται γένεσιν, οὐ κακῶς ἐπ' ἐκείνων 
-Z/7/556/5	πρόσκειται τῇ διαγνώσει τὸ ἔρευθος ἥ τε διάτασις τῶν ἀγ-
-Z/7/556/6	γείων· ἔτι γε μὴν μᾶλλον, ὡς τὸ παρεμπίμπλασθαι φάναι 
-Z/7/556/7	βραχίονάς τε καὶ χεῖρας καὶ κνήμας, οὐ μᾶλλον τοῦ κατὰ τὰς 
-Z/7/556/8	σάρκας τε καὶ ὅλους τοὺς μύας πλήθους, ἢ τοῦ τῶν φλεβῶν 
-Z/7/556/9	θήσεται, ἰδίαις ὑποθέσεσιν ἑπόμενος. ἀλλά τοι καὶ οὕτως 
-Z/7/556/10	ἀναγκαῖον ἦν διττὴν ποιήσασθαι διάγνωσιν, ἑτέραν μὲν τοῦ 
-Z/7/556/11	τῶν αἰσθητῶν τούτων φλεβῶν, ἃς ἅπαντες ἄνθρωποι βλέπο-
-Z/7/556/12	μεν· ἑτέραν δὲ, ἣν ἐκεῖνος ἐθεάσατο μόνος. οἶμαι 
-Z/7/556/13	τοίνυν ἤδη πρόδηλον γεγονέναι τοῖς γε προσέχουσι τὸν νοῦν, 
-Z/7/556/14	ὡς οὐ μικρὸν εἴη πρᾶγμα διαγνῶναι πλῆθος. ὅπου δ' ἂν 
-Z/7/556/15	οὐδ' ἄχρι λόγου διαγνῶναι ῥᾴδιον, ἀλλ' ἄπορον παντοίως 
-Z/7/556/16	ἐστὶ, σχολῇ γ' ἂν ἐπὶ τῶν ἔργων ἀπὸ ταὐτομάτου κα-
-Z/7/556/17	τορθωθείη μήτε προδιασκεψαμένοις τι περὶ αὐτοῦ μήτ' 
-Z/7/556/18	ἐξευροῦσιν.  
-Z/7/557/1	  Ἀπὸ γοῦν τῶν ἐμπειρικῶν αὖθις ἀρξώμεθα 
-Z/7/557/2	τοῦ περὶ πλήθους λόγου, ἐπειδὴ δοκοῦσιν ἀσφαλῶς πάνυ τὰς 
-Z/7/557/3	εἰρημένας ἀπορίας ἀποδιδράσκειν, ὁμολογήσαντες αὐτοὶ μὲν 
-Z/7/557/4	μηδ' ὅλως ἐπίστασθαι περὶ τῆς τοῦ πλήθους οὐσίας, 
-Z/7/557/5	ἐπὶ δὲ τοιᾷδέ τινι συνδρομῇ τετηρῆσθαι φάσκοντες ὠφελοῦσαν 
-Z/7/557/6	ἀφαίρεσιν αἵματος, ἣν συνδρομὴν ὀνομάζουσι πληθωρικήν. 
-Z/7/557/7	ἅπαντα γὰρ ἀθροίσαντες εἰς ταὐτὸν, ὅσα τῶν δογματικῶν 
-Z/7/557/8	ἑκάστῳ λέλεκται, νομίζουσι μὲν ἐκφεύγειν ἐκ τούτων τὰς ἐκεί-
-Z/7/557/9	νων ἀπορίας, ἐλέγχονται δὲ αὐτῶν πολὺ μειζόνως, εἴ τις 
-Z/7/557/10	προσέχοι τὸν νοῦν οἷς λέγουσιν, ἃ πάλιν ἐξ ἀρχῆς ἅπαντα 
-Z/7/557/11	κάλλιον ἐπελθεῖν. ἔστω τοίνυν ἐν μὲν τῷ προγεγονότι χρόνῳ 
-Z/7/557/12	συνήθης μὲν ἐπὶ τῶν ἐξ ἀρχῆς ἐδεσμάτων ἡ δίαιτα, καί τισιν 
-Z/7/557/13	αὐτῶν ἐν πλησμονῇ μᾶλλον ἢ πρόσθεν, ἐπίσχεσις δὲ τῆς 
-Z/7/557/14	ἐκκρίσεως, ὅ τε σύμπας βίος ἀργός· ἐν δὲ τῷ παρόντι τά-
-Z/7/557/15	σις ὅλου τοῦ σώματος, ἤ τινων μορίων, ὄκνος τε πρὸς τὰς 
-Z/7/557/16	κινήσεις, ἀτονία τε περὶ τὰς ἐνεργείας, καὶ βάρους αἴσθησις, 
-Z/7/557/17	ἑλκώδους τε διαθέσεως, ἅμα τῷ τῶν φλεβῶν ὄγκῳ· προσκεί-
-Z/7/557/18	σθω δὲ, εἰ βούλει, καὶ τὸ ἔρευθος, ἐπειδὴ καὶ τοῦτο  
-Z/7/558/1	λέγουσιν ἔνιοι, καὶ μὴν καὶ ὁ τοῦ σύμπαντος σώματος ὄγκος, 
-Z/7/558/2	ἀνώμαλός τέ τις καὶ κοπώδης διάθεσις· εἰσὶ γὰρ οἳ καὶ 
-Z/7/558/3	ταῦτα προστιθέασιν. ἐρωτήσομεν οὖν αὐτοὺς, ἅπερ ἐγὼ μει-
-Z/7/558/4	ράκιον ὢν ἠρώτησα τὸν ἐμπειρικὸν διδάσκαλον, ὅτε με πρῶ-
-Z/7/558/5	τον ταῦτα ἐδίδασκεν, ἆρά γε πάνθ' ἅμα τὰ εἰρημένα συνελ-
-Z/7/558/6	θεῖν δεῖ πρὸς τὴν, ὡς αὐτοὶ λέγουσιν, ἀνάμνησιν τῆς κε-
-Z/7/558/7	νώσεως, ἢ κᾂν ἓν ἐξ αὐτῶν θεάσωνται, φλεβοτομήσουσιν 
-Z/7/558/8	αὐτίκα; πρὸς μὲν οὖν τὴν πρώτην ἐρώτησιν ἑτοίμως ἀπε-
-Z/7/558/9	κρίνατό μοι, πάντα φάσκων συνελθεῖν χρῆναι· τοιοῦτον γὰρ 
-Z/7/558/10	πρᾶγμα τὴν συνδρομὴν ὑπάρχειν, ἄθροισμα τῶν συμπληρούν-
-Z/7/558/11	των αὐτὴν ἁπάντων. ἐπειδὴ δὲ πρῶτον μὲν ἀνέμνησα δυοῖν 
-Z/7/558/12	ἀνθρώπων, οὓς ἔναγχος αὐτὸς ἐκεῖνος ἐκέλευσε φλεβοτομη-
-Z/7/558/13	θῆναι, τὸν μὲν ὀφθαλμιῶντα σφοδρῶς, τὸν δὲ ἐκπεσόντα 
-Z/7/558/14	τοῦ ὀχήματος, εἶτ' ἐμπλακέντά γε τοῖς ἱμᾶσι καὶ συρέντα 
-Z/7/558/15	ἐπὶ πλέον, ὡς θλασθῆναί τινα μέρη· μετὰ δὲ ταῦτα 
-Z/7/558/16	διασιωπήσαντος αὐτοῦ, καὶ ἄλλου τινὸς ἀνεμνήσθην, ὃν 
-Z/7/558/17	καὶ αὐτὸν πυρέττοντα μὲν μετρίως, οὐ φέροντα δὲ τὸ 
-Z/7/558/18	ἄλγημα τῆς κεφαλῆς, ἐφλεβοτόμησεν· ἄλλον δὲ πλευριτικὸν,  
-Z/7/559/1	οὐδὲ τοῦτον ἔχοντα τὴν εἰρημένην ἅπασαν συνδρομήν· ἐν 
-Z/7/559/2	ἀπορίᾳ κατέστη μεγίστῃ. καὶ τοίνυν καὶ διῄειν ἐπὶ πλέον 
-Z/7/559/3	αὐτῷ καὶ ἄλλους μέν τινας ὁμοίους, ἀλλὰ καὶ περὶ τῶν εἰρη-
-Z/7/559/4	μένων ἀνεμίμνησκον, ὅτι τοσούτῳ δέοντας αὐτοὺς ἅπασαν 
-Z/7/559/5	ἔχειν τὴν συνδρομὴν ἐφλεβοτόμησεν, ὥστ' ἐγὼ μὲν ἔφην 
-Z/7/559/6	οὐδὲ δύο τινὰ τούτων ἀναμιμνήσκεσθαι τοῖς ἀνθρώποις ὑπάρ-
-Z/7/559/7	χοντα. τὸν μὲν γὰρ τοῦ ὀχήματος ἐκπεσόντα, γυμναζόμενον 
-Z/7/559/8	ὁσημέραι, καὶ πάσαις ταῖς συνήθεσιν αὐτάρκως ἐκκρίσεσιν 
-Z/7/559/9	ἐκκενούμενον, ἐσθίοντά τε σύμμετρα, καὶ σχεδὸν ὅλης ἡμέ-
-Z/7/559/10	ρας ἡμῖν συνδιατρίβοντα, καὶ μήτε ἐκείνῳ μήτε ἄλλῳ τινὶ δο-
-Z/7/559/11	κοῦντα δεῖσθαι κενώσεως, ἐπειδὴ κατενεχθεὶς ἐθλάσθη τινὰ 
[0057]  [050]  []  []

-Z/7/559/12	μόρια, φλεβοτομίας ἠξίωσε, οὔτε ἔρευθός τι προσκτησάμενον, 
-Z/7/559/13	οὔτ' ἀγγείων ὄγκον, οὔτ' ἄλλο οὐδὲν ἐκ τῶν τῆς συνδρομῆς, 
-Z/7/559/14	ἀλλὰ μόνον ἀλγοῦντα τὰ τεθλασμένα μόρια. κατὰ ταὐτὰ δὲ 
-Z/7/559/15	καὶ τὸν ὀφθαλμιῶντα καὶ τὸν τὴν κεφαλὴν ὀδυνώμενον, 
-Z/7/559/16	οὐδὲν ὅλως ἔχοντας τῶν εἰρημένων ἐν τῇ πληθωρικῇ συνδρο-
-Z/7/559/17	μῇ, καὶ ἄλλους δὲ πολλοὺς ὑφ' ἡμῶν οἶδα φλεβοτομηθέντας, 
-Z/7/559/18	ἤτοι μηδ' ὅλως ἔχοντας μηδὲν ἐκ τῆς πληθωρικῆς συνδρομῆς,  
-Z/7/560/1	ἢ οὐ πάντα γε ἅμα τὰ πρὸς ἡμῶν λεγόμενα. νυνὶ γὰρ, ἔφην, 
-Z/7/560/2	ἀναμιμνήσκων ἐμαυτὸν, οὓς εἶδον ὑφ' ὑμῶν φλεβοτομηθέν-
-Z/7/560/3	τας, οὐδενὸς ἐξ αὐτῶν εὐπορῶ τοῦ τὴν ἐν τοιούτοις συμ-
-Z/7/560/4	πτώμασιν ἅπασαν ἔχοντος συνδρομήν· ἀλλ' ὁ μέν τις, 
-Z/7/560/5	ὅτι κοπώδης ἦν, ἐφλεβοτομήθη, μηδὲν ἄλλο ἔχων· 
-Z/7/560/6	ὁ δὲ, ὅτι πυρέττων σφοδρῶς, ἢ ἀλγῶν ὀφθαλμοὺς, ἢ κεφα-
-Z/7/560/7	λὴν, ἢ αἱμοῤῥοΐδας ἐπεσχημένος, ἢ καταμήνια γυνὴ, οὐ 
-Z/7/560/8	πάντα δὲ, ὅσαπερ ἡ πληθωρικὴ συνδρομὴ βούλεται συνελθεῖν. 
-Z/7/560/9	εἰ μὲν οὖν ἁπάσας τὰς διαθέσεις, ἐφ' αἷς τετήρηται φλεβοτο-
-Z/7/560/10	μία συμφέρουσα, πληθωρικὰς ὀνομάζεις, ὥρα λέγειν ἡμᾶς 
-Z/7/560/11	ὀφθαλμίαν, πλευρῖτιν, ἄλγημα σφοδρὸν, ἐξ ὀχήματος κα-
-Z/7/560/12	τάπτωσιν, ἕτερά τε μυρία, πληθωρικὰς συνδρομάς· εἰ δὲ 
-Z/7/560/13	τούτων οὐδὲν ἐν τῇ πληθωρικῇ συνδρομῇ περιέχεται, τὸ δὲ 
-Z/7/560/14	τῶν συμπτωμάτων ἄθροισμα τῶν ἔμπροσθεν εἰρημένων ὀνο-
-Z/7/560/15	μάζεται πληθωρικὴ συνδρομὴ, οὐδένα χρὴ φλεβοτομεῖν πρὶν 
-Z/7/560/16	ἅπαντα ἔχειν αὐτά. πῶς μὲν οὖν ἐκεῖνος ἀπήντησέ μοι πρὸς 
-Z/7/560/17	ταῦτα, καὶ οὐδὲν πρέπον ἀπεκρίνατο, μακρᾶς ἔργον σχολῆς,  
-Z/7/561/1	οὐ τῶν νῦν ἡμῖν προκειμένων ἔργον οἰκεῖον· ἐγὼ δὲ ἐπειδήπερ 
-Z/7/561/2	οὐ σχολὴν ἀδολεσχεῖν ἄγω νῦν, ἔγνων μὴ νῦν, ἐν δὲ τῷ 
-Z/7/561/3	περὶ φλεβοτομίας λόγῳ τοὺς σκοποὺς ἅπαντας ἐπιδεῖξαι προῄ-
-Z/7/561/4	ρημαι τοῦ βοηθήματος, οὓς οὐδ' αὐτούς τις ἀκριβῶς τε καὶ 
-Z/7/561/5	διωρισμένως ἔγραψε. 
