
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/388/6	  μὲν συχνῷ τοῦ τένοντος τοῦ κατὰ τὴν μασχάλην, κατω-
-Z/18a/388/7	  τέρω δὲ ὀλίγῳ τῆς κεφαλῆς τοῦ βραχίονος, καὶ τὸ μὲν 
-Z/18a/388/8	  δέρμα τελέως χρὴ διακαίειν, βαθεῖαν δὲ μηδὲ κάρτα ταύ-
[0057]  [096]  []  []

-Z/18a/388/9	  την ποιέειν· πολέμιον γὰρ τὸ πῦρ νεύροισιν. 
-Z/18a/388/10	          — — — 
-Z/18a/388/11	    Ἐπὶ τὴν ὑπόλοιπον χώραν τῶν ὑποδεχομένων τὸ κατ' 
-Z/18a/388/12	ὦμον ἄρθρον ἐκπῖπτον ἀφίκετο τῷ λόγῳ, αὕτη δέ ἐστιν ἐν 
-Z/18a/388/13	τοῖς ἔξω μέρεσι τῆς πρόσω χώρας, εἰς ἣν καὶ αὐτὴν ἑώρα-
-Z/18a/388/14	ταί μοι ἅπαξ ἐκπεσὼν ὁ βραχίων. οὐκ ὀρθῶς δὲ ἐν τοῖς 
-Z/18a/388/15	πλείστοις τῶν ἀντιγράφων ἡ λέξις οὕτως γέγραπται, ὀπι-
-Z/18a/388/16	σθίην τε αὖ ἄλλην ἐσχάρην· οὐ γὰρ ὄπισθεν ὁ τόπος οὗ-
-Z/18a/388/17	τός ἐστι τῆς διαρθρώσεως, ἀλλ' ἔξωθεν. εἰ γοῦν τις ἀκρι-
-Z/18a/388/18	βῶς ἐθέλοι διορίσαι τοὺς περικειμένους τόπους τῇ κατ' ὦμον  
-Z/18a/389/1	διαρθρώσει πλάτος ἔχοντας, δῆλον ὅτι νοῶν μὲν ἅπαντας ἐν 
-Z/18a/389/2	μὲν τοῖς πρόσω μέσην μὲν εἶναί τινα γραμμὴν ἀπλατῆ, 
-Z/18a/389/3	νοουμένην ἀκριβῶς μέσην, ἄνωθεν κατὰ μῆκος τοῦ βραχίο-
-Z/18a/389/4	νος τεταμένην, ἐπὶ πλάτει δ' ἑκατέρωθεν ὁριζομένην 
-Z/18a/389/5	τὸ πρόσω· κατὰ μὲν τὴν ἔνδον χώραν ὑπὸ τῆς ὠμιαίας 
-Z/18a/389/6	φλεβὸς, ἔξωθεν δὲ μέχρι τοσούτου πάλιν ἄλλου δή τινος 
-Z/18a/389/7	διαστήματος, ὧν ἡ φλὲψ αὕτη τῆς ἀπλατοῦς ἀφέστηκεν. 
-Z/18a/389/8	οὗτοι μὲν οὖν ὅροι τῆς πρόσω χώρας, ἐφ' ἑκάτερα δὲ τῶν 
-Z/18a/389/9	δύο ἕτεροι, ἀφ' ἧς οἱ κατὰ τὴν μασχάλην τένοντες, ὁ μὲν 
-Z/18a/389/10	τὴν ἔνδον ὁρίζων χώραν, ὁ δὲ τὴν ἔξω. τὴν μὲν ἔνδον 
-Z/18a/389/11	χώραν τῆς διαρθρώσεως νοεῖσθαί σοι τοῦ μετὰ τῆς φλεβὸς 
-Z/18a/389/12	καὶ οὐ μεταξὺ τῆς μασχάλης περιγράφοντος ἔξωθεν τένον-
-Z/18a/389/13	τος· ἔτι τε τῆς γραμμῆς ἐκείνης, ὧν ἠξίουν ἀπέχειν δια-
-Z/18a/389/14	στημάτων μεταξὺ διάστημά τι τῆς ὠμιαίας φλεβὸς καὶ τῆς 
-Z/18a/389/15	τ' ἀκριβῶς προσθίας μέσης γραμμῆς, ὥστε κατ' αὐτὴν 
-Z/18a/389/16	διαίρεσιν, ὅσον ὑψηλότερόν ἐστι τοῦ κατὰ τὴν μασχάλην  
-Z/18a/390/1	ἔξωθεν τένοντος οὐκ ἂν ὀπίσω τῆς διαρθρώσεώς 
-Z/18a/390/2	ἐστι τὸ σιμὸν τῆς ὠμοπλάτης, ὥσπερ γε καὶ τὸ κατ' ὦμον 
-Z/18a/390/3	ἡ μασχάλη, τὸ δ' ἄνω μεταξὺ τοῦ τ' ἀκρωμίου καὶ τῆς κε-
-Z/18a/390/4	φαλῆς τοῦ βραχίονος. 
-Z/18a/390/5	          — — — 
-Z/18a/390/6	            νδʹ. 
-Z/18a/390/7	Ἰητρεύειν μὲν οὖν χρὴ διὰ πάσης τῆς ἰητρείης τὰ ἕλκεα, 
-Z/18a/390/8	  μηδέποτε ἰσχυρῶς ἀνατείνοντα τὸν βραχίονα, ἀλλὰ με-
-Z/18a/390/9	  τρίως ὅσον τῶν ἑλκέων ἐπιμελείης εἵνεκα, ἧσσον μὲν γὰρ 
-Z/18a/390/10	  ἂν διαψύχοιτο. ξυμφέρει γὰρ πάντα τὰ καύματα σκέ-
-Z/18a/390/11	  πειν, ὡς καὶ ἐπιεικῶς ἰητρεύεσθαι. ἧσσον δ' ἂν ἐκπλήσ-
-Z/18a/390/12	  σοιτο, ἧσσον δ' ἂν αἱμοῤῥαγοίη, ἧσσον δ' ἂν σπασμὸς 
-Z/18a/390/13	  ἐπιγένοιτο. 
-Z/18a/390/14	          — — — 
-Z/18a/390/15	    Τὰς αἰτίας αὐτὸς εἶπε, δι' ἃς κελεύει τὸν βραχίονα 
-Z/18a/390/16	μηδέποτε ἀνατεῖναι ἰσχυρῶς· πρώτην μὲν ὅτι πάντα τὰ 
-Z/18a/390/17	καύματα συμφέρει σκέπειν, ὡς ἰατρεύεσθαι καὶ μὴ κατα-
-Z/18a/390/18	ψύχεσθαι· καὶ ἄλλως μὲν γὰρ, ὡς αὐτὸς ἔλεγεν, ἕλκεσι τὸ  
-Z/18a/391/1	ψυχρὸν δακνῶδες δέρμα περισκληρύνει, ὀδύνην ἀνεκπύητον 
-Z/18a/391/2	ποιέει. πολὺ δὲ μᾶλλον ὅσα θερμὸν αἴτιον εἰργάσατο, κα-
-Z/18a/391/3	θάπερ νῦν τὸ πῦρ, ἧσσον δ' ἂν, φησὶν, ἐκπλήσσοιτο, τουτ-
-Z/18a/391/4	έστιν ἐπὶ πλέον διΐστασθαι τὸ τοῖς χείλεσιν ἕλκος. ἐν 
-Z/18a/391/5	τούτῳ γὰρ ψύχεται μᾶλλον καὶ χρονιώτερον συνουλοῦται 
-Z/18a/391/6	καὶ αὐτὰς τὰς οὔλας ἔχει μείζονας. τὸ δ' ἐφεξῆς εἰρημένον, 
-Z/18a/391/7	ἧσσον δ' ἂν αἱμοῤῥαγοίη, προσέθηκεν εἰς τὸν καθόλου λό-
-Z/18a/391/8	γον ὑπενεχθεὶς ἁπάντων ἑλκῶν, οὐ τῶν νῦν προκειμένων 
-Z/18a/391/9	ἴδιον. εἰ γὰρ ὡς ἐκέλευσεν οὕτω τις τὸ δέρμα διακαύσειεν, 
-Z/18a/391/10	οὐδεὶς ἀκολουθήσειε φόβος αἱμοῤῥαγίας. ἴσως δ' ἂν ἐκ τοῦ 
-Z/18a/391/11	ψυχθῆναι τὰ νεῦρα γυμνωθέντος τοῦ δέρματος, οὐ τοῦ 
-Z/18a/391/12	σπασμοῦ κίνδυνος ἀκολουθήσειε μόνος, καὶ αὐτοῦ κατὰ τὴν 
-Z/18a/391/13	τελευτὴν ἐμνημόνευσε τῆς ὅλης ῥήσεως. 
-Z/18a/391/14	          — — — 
-Z/18a/391/15	            νεʹ. 
-Z/18a/391/16	Ὅταν δὲ δὴ καθαρὰ γένηται τὰ ἕλκεα ἐς ὠτειλάς τε ἴῃ, 
-Z/18a/391/17	  τότε δὴ καὶ παντάπασι χρὴ αἰεὶ τὸν βραχίονα πρὸς τῇσι 
-Z/18a/391/18	  πλευρῇσι προδεδέσθαι καὶ νύκτα καὶ ἡμέρην. 
-Z/18a/391/19	          — — —  
-Z/18a/392/1	    Τὰς ὠτειλὰς ἐνταῦθα κυρίως εἶπεν ἐπὶ τῶν 
-Z/18a/392/2	οὐλῶν, οὐχ ὡς ἔμπροσθεν ἐπὶ τῶν ἑλκῶν· ἀξιοῖ δέ ποτε 
-Z/18a/392/3	μάλιστα φροντίζειν τοῦ μηδέποτε ἀφίστασθαι τῶν πλευρῶν 
-Z/18a/392/4	τὸν βραχίονα, πλὴν ἐπὶ βραχὺ μόνον ἐν ἐκείνῳ τῷ καιρῷ, 
-Z/18a/392/5	καθ' ὃν ἂν θεραπεύηται τὰ ἕλκη. μάλιστα γὰρ ἁλίσκεσθαι 
-Z/18a/392/6	φαίνεται τὰ καθαρὰ τῶν ἑλκῶν οἷς κατὰ τὴν πρὸ ταύτης 
-Z/18a/392/7	ῥῆσιν εἶπεν ἅπασι συμπτώμασι καὶ μάλιστα τοῖς ἀπὸ τῶν 
-Z/18a/392/8	ἔξωθεν αἰτιῶν. ἐπειδὴ πρόσθεν ἡμῖν ἥκειν ἔτι ῥυπαρὰ καὶ 
-Z/18a/392/9	φλεγμαίνοντα καὶ τὸν ῥύπον αὐτῶν εἶχεν οἷον πρόβλημά τι 
-Z/18a/392/10	καὶ σκέπασμά τι καὶ τὴν περιουσίαν τῶν παρὰ φύσιν ὑγρῶν, 
-Z/18a/392/11	ἀλλὰ καὶ ἡ θερμασία τῆς φλεγμονῆς ἀντεῖχε τοῖς ἔξωθεν 
-Z/18a/392/12	μὴ γινομένοις ψυχροῖς. ἡνίκα δ' ἂν φλεγμαίνει, τότε κα-
-Z/18a/392/13	θαρὰ καὶ οἷον ἀπέριττα γέγονεν, αἰσθάνεται μᾶλλον ἢ πρό-
-Z/18a/392/14	σθεν ὧν πάσχει. διὰ ταῦτα πάντα ῥᾳδίως μὲν ὑπὸ τῶν 
-Z/18a/392/15	ἔξωθεν αἰτιῶν καὶ μάλιστα τῶν ψυχρῶν ὀδυνᾶταί τε καὶ ψύ-
-Z/18a/392/16	χεται. τῷ δ' ἀκριβεῖ τῆς αἰσθήσεως τήν τε ὀδύνην ἴσχει 
-Z/18a/392/17	σφοδροτέραν καὶ τὰς ἐπικειμένας αὐτῇ δυσχερείας ἐπικτᾶται. 
-Z/18a/392/18	          — — —  
-Z/18a/393/1	            νστʹ. 
-Z/18a/393/2	Ἀτὰρ καὶ ὅταν ὑγιέα γένηται τὰ ἕλκεα, ὁμοίως ἐπὶ πολὺν 
-Z/18a/393/3	  χρόνον χρὴ προσδεῖν τὸν βραχίονα πρὸς τὰς πλευράς· 
-Z/18a/393/4	  οὕτω γὰρ ἂν μάλιστα ἐπουλωθείη καὶ ἀπολειφθείη ἡ εὐ-
-Z/18a/393/5	  ρυχωρίη, καθ' ἣν μάλιστα ὀλισθαίνει ὁ βραχίων. 
-Z/18a/393/6	          — — — 
-Z/18a/393/7	    Κἀνταῦθα τὸν σκοπὸν ὃν συνεβούλευσεν αὐτὸς ἐδήλω-
-Z/18a/393/8	σεν εἰπών· οὕτως γὰρ ἂν μάλιστα ἐπουλωθείη καὶ ἀπολει-
-Z/18a/393/9	φθείη εὐρυχωρίη, καθ' ἣν ὀλισθαίνει ὁ βραχίων, δυνάμει 
-Z/18a/393/10	τοῦτο λέγων. ὅσῳπερ γὰρ ἡ οὐλὴ βραχυτέρα γένηται, το-
-Z/18a/393/11	σούτῳ μᾶλλον εἰς ὀλίγον συναχθήσεται τὸ περὶ τὴν μασχά-
-Z/18a/393/12	λην δέρμα. μέγιστον δέ ἐστι τοῦτο πρὸς τὸ μὴ ῥᾳδίως 
-Z/18a/393/13	ὀλισθαίνειν ἐνταῦθα τὸν βραχίονα. 
-Z/18a/393/14	          — — — 
-Z/18a/393/15	            νζʹ. 
-Z/18a/393/16	Ὅσοισι δ' ἂν ὦμος καταπορηθῇ ἐμβληθῆναι, ἢν μὲν ἔτι 
-Z/18a/393/17	  ἐν αὐξήσει ἔωσιν, οὐκ ἐθέλει συναύξεσθαι τὸ ὀστέον τοῦ  
-Z/18a/394/1	  βραχίονος, ὁμοίως τῷ ὑγιεῖ, ἀλλὰ αὔξεται μὲν ἐπί τι, 
-Z/18a/394/2	  βραχύτερον δὲ τοῦ ἑτέρου γίνεται. 
-Z/18a/394/3	          — — — 
-Z/18a/394/4	    Τὰ συμπτώματα διέρχεται νῦν, ὅσα τοῖς ἔξαρθρον 
-Z/18a/394/5	ἔχουσι τὸν ὦμον ἐξ ἀνάγκης ἐπιγίγνεται· πρῶτον μὲν οὖν 
-Z/18a/394/6	ἐστι καὶ κοινότατον, ᾧ καὶ τἄλλα ἕπεται πάντα τὸ ἀτροφώ-
-Z/18a/394/7	τερον ταὐτὸν γίγνεσθαι, τούτῳ δ' αὐτῷ πάλιν ἕπεται. τε-
-Z/18a/394/8	λειωθέντος μὲν οὖν ἤδη τοῦ κώλου λεπτότης, ἔτι τε αὐξα-
-Z/18a/394/9	νομένου καὶ ἡ σμικρότης. αὕτη δ' ἀτροφία διά τε τὴν 
-Z/18a/394/10	διαστροφὴν γίγνεται τῶν κατὰ κῶλον ἀγγείων τε καὶ μυῶν, 
-Z/18a/394/11	αἰτία δὲ ἡ ἀκινησία ὅλου τοῦ ἄρθρου· καὶ γάρ τι τῶν 
-Z/18a/394/12	ὑγιῶν κώλων ἐπὶ χρόνῳ πολλῷ παντάπασιν ἀκίνητον μεῖναν 
-Z/18a/394/13	σαφῶς ἀτροφώτερον φαίνεται. 
-Z/18a/394/14	          — — — 
-Z/18a/394/15	            νηʹ. 
-Z/18a/394/16	Καὶ οἱ καλεόμενοι δὲ ἐκ γενεῆς γαλιάγκωνες διὰ 
-Z/18a/394/17	  δισσὰς ξυμφορὰς ταύτας γίνονται· ἤν γέ τι τοιοῦτον αὐ- 
-Z/18a/395/1	  τοὺς ἐξάρθρημα καταλάβῃ ἐν γαστρὶ ἐόντας, διά τε ἄλ-
-Z/18a/395/2	  λην συμφορὴν, περὶ ἧς ὕστερόν ποτε γεγράψεται. 
-Z/18a/395/3	          — — — 
-Z/18a/395/4	    Εἴτε ἀπὸ τῆς πρὸς τὰς γαλᾶς ὁμοιότητος ἐκλήθησαν 
-Z/18a/395/5	οἱ γαλιάγκωνες εἴτ' ἀπ' ἄλλου τινὸς ἐπιτρέπειν χρὴ τοῖς 
-Z/18a/395/6	περὶ αὐτὰ σπουδάζουσιν ἐπιμελῶς ζητεῖν. ἰατρῷ δὲ χρήσι-
-Z/18a/395/7	μον ἐπίστασθαι τὸ γεννᾶσθαί τινας ἐξάρθρους ἀμφότερα 
-Z/18a/395/8	τὰ κατ' ὦμον ἄρθρα, τό τε ἀριστερὸν καὶ τὸ δεξιὸν, ὅτι 
-Z/18a/395/9	τε μικροὺς ἐξ ἀνάγκης ἔχουσιν οὗτοι τοὺς βραχίονας. εἰ-
-Z/18a/395/10	δέναι δεῖ τινα καὶ ἄλλην συμφορὰν ἐργαζομένην ταὐτὸ πά-
-Z/18a/395/11	θημα, περὶ ἧς αὖθις ἐρεῖν ἐπαγγέλλεται. χαλεπὸν δὲ εὑ-
-Z/18a/395/12	ρεῖν ἑτέραν, ἣν αὐτὸς ἐφεξῆς λέγει συμβαίνειν τοῖς νηπίοις. 
-Z/18a/395/13	ἔχει δὲ ἡ λέξις οὕτως. 
-Z/18a/395/14	          — — — 
-Z/18a/395/15	            νθʹ. 
-Z/18a/395/16	Ἀτὰρ καὶ οἷσιν ἔτι νηπίοισιν ἐοῦσι κατὰ τὴν κεφαλὴν τοῦ 
-Z/18a/395/17	  βραχίονος βαθεῖαι καὶ ὑποβρύχιοι ἐκπυήσιες γίνονται; 
-Z/18a/395/18	  καὶ οὗτοι πάντες γαλιάγκωνες γίνονται. καὶ ἤν τε τμη- 
-Z/18a/396/1	  θῶσιν ἤν τε καυθῶσιν ἤν τε αὐτόματόν σφιν ἐκραγῇ, 
-Z/18a/396/2	  εὖ εἰδέναι χρὴ ὅτι ταῦτα οὕτως ἔχει. χρέεσθαι μέντοι 
-Z/18a/396/3	  τῇ χειρὶ δυνατώτατοί εἰσιν οἱ ἐκ γενεῆς γαλιάγκωνες, 
-Z/18a/396/4	  οὐ μὴν οὐδὲ ἐκεῖνοί γε ἀνατεῖναι παρὰ τὸ οὖς 
-Z/18a/396/5	  τὸν βραχίονα ἐκτανύσαντες τὸν ἀγκῶνα δύνανται, ἀλλὰ 
-Z/18a/396/6	  πολὺ ἐνδεεστέρως ἢ τὴν ὑγιέα χεῖρα. 
-Z/18a/396/7	          — — — 
-Z/18a/396/8	    Δύναται δὲ τοῦτο καὶ κυουμένοις ἐπισυμβαίνειν· συμ-
-Z/18a/396/9	φορὰν δ' ἄλλην ἔτι κυουμένοις ἐξαρθρήματος αἰτίαν γίνε-
[0057]  [096]  []  []

-Z/18a/396/10	σθαι χαλεπὸν εὑρεῖν, ἀμφοτέρας δὲ ταύτας οὐκ ἀδύνατον 
-Z/18a/396/11	συμβῆναι· καὶ γὰρ ἐκπυῆσαι δυνατόν ἐστι τὸ ἐκραγῆναι καὶ 
-Z/18a/396/12	ἀπουλωθῆναι τῷ κυουμένῳ τῷ βρέφει πρὸς τῆς φύσεως καὶ 
-Z/18a/396/13	τοῦτο μᾶλλον ἔτι κατὰ ἔμπτωσιν ἐνδέχεται τοῦ κατ' ὦμον 
-Z/18a/396/14	ἄρθρου διά τε τὴν ὑγρότητα τῆς φύσεως τοῦ παιδίου καὶ 
-Z/18a/396/15	τῆς κατὰ διάρθρωσιν κοτύλης τὸ εὐυπέρβατον. 
-Z/18a/396/16	          — — —  
-Z/18a/397/1	            ξʹ. 
-Z/18a/397/2	Οἷσι δ' ἂν ἤδη ἂν ἀνδράσιν ἐοῦσι ἐκπέσῃ ὁ ὦμος καὶ μὴ 
-Z/18a/397/3	  ἐμβληθῇ, ἐπωμὶς ἀσαρκωτέρη γίνεται καὶ ἡ ἕξις λεπτὴ 
-Z/18a/397/4	  ἡ κατὰ τοῦτο, ὅταν μέντοι ὀδυνώμενοι παύσωνται. ὁκόσα 
-Z/18a/397/5	  μὲν δεῖ ἐργάζεσθαι ἐπάραντας τὸν ἀγκῶνα ἀπὸ τῶν πλευ-
-Z/18a/397/6	  ρέων εἰς τὸ πλάγιον, ταῦτα μὲν οὐ δύναται ἅπαντα ὁμοίως 
-Z/18a/397/7	  ἐργάζεσθαι. ὁκόσα δὲ δεῖ ἐργάζεσθαι παραφέροντας τὸν 
-Z/18a/397/8	  βραχίονα παρὰ τὰς πλευρὰς ἢ ἐς τοὐπίσω ἢ ἐς τοὔμπρο-
-Z/18a/397/9	  σθεν. ταῦτα δὲ δύνανται ἐργάζεσθαι· καὶ γὰρ ἂν ἀρίδα 
-Z/18a/397/10	  ἑλκύσαιεν καὶ πρίονα καὶ πελεκίσαιεν ἂν καὶ σκάψαιεν, 
-Z/18a/397/11	  ἂν μὴ κάρτα ἄνω αἴροντες τὸν ἀγκῶνα καὶ τἄλλα ὅσα 
-Z/18a/397/12	  τῶν τοιούτων σχημάτων ἐργάζονται. 
-Z/18a/397/13	          — — — 
-Z/18a/397/14	    Ἡ ἐπωμὶς τοῖς οὕτω πεπονθόσι κἀν τῷ πα-
-Z/18a/397/15	ραχρῆμα φαίνηται λεπτοτέρα καὶ ἀσαρκωτέρα τῆς κεφαλῆς 
-Z/18a/397/16	τοῦ βραχίονος ἀπολειπούσης τὸν ὦμον, ἀλλὰ καὶ εἰς ὕστε-
-Z/18a/397/17	ρον ἔτι μᾶλλον φαίνεται τοιαύτη, διότι γίνεται τοῦ χρόνου  
-Z/18a/398/1	περιόντος ἀτροφώτερα τὰ μόρια τοῦ δελτοειδοῦς μυὸς ἀσθενοῦς 
-Z/18a/398/2	τεινομένου, διότι κάτω γίνεται βίαιος ἀκολουθῶν εἰς μασχάλην 
-Z/18a/398/3	τῆς κεφαλῆς τοῦ βραχίονος. ὅτι δὲ διὰ τὸ μὴ κινεῖσθαι μηδὲ 
-Z/18a/398/4	ἐνεργεῖν τὴν οἰκείαν ἐνέργειαν, ἣν εἶχεν ἀνατείνων τὸν βραχίο-
-Z/18a/398/5	να, ψυχρότερος καὶ ἀσθενέστερος ἀποτενούμενος καὶ ἀτροφώτε-
-Z/18a/398/6	ρος διὰ τοῦτο γίνεται· κίνησις μὲν γὰρ κρατύνει, ἀργίη δὲ τήκει. 
-Z/18a/398/7	          — — — 
-Z/18a/398/8	            ξαʹ. 
-Z/18a/398/9	Ὅσοισι δ' ἂν τὸ ἀκρώμιον ἀποσπασθῇ, τουτέοισι φαίνεται 
-Z/18a/398/10	  ἐξέχον τὸ ὀστέον τῶν ἀπεσπασμένων. ἔστι δὲ τοῦτο ὁ 
-Z/18a/398/11	  σύνδεσμος τῆς κληῖδος καὶ τῆς ὠμοπλάτης· ἑτεροίη γὰρ 
-Z/18a/398/12	  φύσις ἀνθρώπου ταύτη ἢ τῶν ἄλλων ζώων. οἱ οὖν ἰη-
-Z/18a/398/13	  τροὶ μάλιστα ἐξαπατέονται ἐν τούτῳ τῷ τρώματι, ἅτε 
-Z/18a/398/14	  γὰρ ἀνασχόντος τοῦ ὀστέου τοῦ ἀποσπασθέντος ἡ ἐπωμὶς 
-Z/18a/398/15	  φαίνεται χαμαιζήλη καὶ κοίλη, ὥστε καὶ προμηθεῖσθαι 
-Z/18a/398/16	  τῶν ὤμων τῶν ἐκπεπτωκότων. πολλοὺς οὖν οἶδα ἰητροὺς 
-Z/18a/398/17	  τἄλλα οὐ φλαύρους ἐόντας, οἳ πολλὰ ἤδη ἐλυμήναντο ἐμ-
-Z/18a/398/18	  βάλλειν πειρώμενοι τοὺς τοιούτους ὤμους, οὕτως οἰόμενοι  
-Z/18a/399/1	  ἐκπεπτωκέναι καὶ οὐ πρόσθεν παύονται πρὶν ἢ ἀπογνῶ-
-Z/18a/399/2	  ναι ἢ ἀπορῆσαι δοκέοντας αὐτοὶ σφᾶς αὐτοὺς ἐμβαλέειν 
-Z/18a/399/3	  τὸν ὦμον. τούτοισιν ἰητρείη μὲν, ἥπερ καὶ τοῖσιν ἄλλοισι 
-Z/18a/399/4	  τοιούτοισι κηρωτὴ καὶ σπλῆνες καὶ ὀθόνια καὶ ἐπίδεσις 
-Z/18a/399/5	  τοιαύτη. καταναγκάζειν μέντοι τὸ ὑπερέχον χρὴ καὶ τοὺς 
-Z/18a/399/6	  σπλῆνας κατὰ τοῦτο τιθέναι πλείστους καὶ πιέζειν ταῦτα, 
-Z/18a/399/7	  μάλιστα τὸν βραχίονα πρὸς τῇσι πλευρῇσι προσηρτημένον 
-Z/18a/399/8	  ἐς τὸ ἄνω μέρος ἔχειν, οὕτω γὰρ ἂν μάλιστα πλησιάζοιτο 
-Z/18a/399/9	  ἀπεσπασμένον. τάδε μὴν εὖ εἰδέναι χρὴ καὶ προλέγειν 
-Z/18a/399/10	  ὡς ἀσφαλέα, εἰ ἄλλως ἐθέλοις· ὅτι βλάβη μὲν οὐδεμίη 
-Z/18a/399/11	  οὔτε μικρὴ οὔτε μεγάλη τῷ ὤμῳ γίνεται ἀπὸ τούτου τοῦ 
-Z/18a/399/12	  τρώματος, αἴσχιον δὲ τὸ χωρίον. οὐδὲ γὰρ τοῦτο τὸ 
-Z/18a/399/13	  ὀστέον ἐς τὴν ἀρχαίην ἕδρην ὁμοίως ἂν ἱδρυνθείη, ὥσπερ 
-Z/18a/399/14	  πέφυκεν, ἀλλ' ἀνάγκη πλέον ἢ ἔλασσον ὀγκηρότερον εἶναι 
-Z/18a/399/15	  ἐς τὸ ἄνω. οὐδὲ γὰρ ἄλλο ὀστέον οὐδὲν ἐς τὸ αὐτὸ καθί-
-Z/18a/399/16	  σταται, ὅτι ἂν κοινωνέον ἐστὶν ἑτέρῳ ὀστέῳ καὶ προσ-
-Z/18a/399/17	  πεφυκὸς ἀποπασθῇ ἀπὸ τῆς ἀρχαίης φύσιος. ἀνώδυνον  
-Z/18a/400/1	  δὲ τὸ ἀκρώμιον ἐν ὀλίγῃσιν ἡμέρῃσιν γίνεται, ἢν χρηστῶς 
-Z/18a/400/2	  ἐπιδέηται. 
-Z/18a/400/3	          — — — 
-Z/18a/400/4	    Σύνζευξιν ἐνδείκνυται τὸ ἀκρώμιον εἶναι, λέγει δὲ καὶ 
-Z/18a/400/5	ὀστοῦν ὑπάρχειν αὐτὸ καὶ συνδεῖν ἄμφω τὰ εἰρημένα. δῆ-
-Z/18a/400/6	λον οὖν ὅτι χονδρῶδες ὀστοῦν ἐστι τὸ ἀκρώμιον ἐπικείμενον 
-Z/18a/400/7	τῇ συνζεύξει τῆς κλειδὸς καὶ τῆς ὠμοπλάτης, ὑμένας 
-Z/18a/400/8	ἐκπεφυκότας ἔχον, οἷς συνδεῖται τὰ πέρατα τῶν ὀστῶν. ἀπο-
-Z/18a/400/9	σπασθέντι δὲ αὐτῷ καὶ κλεὶς εἴωθε συνέπεσθαι καὶ διὰ 
-Z/18a/400/10	τοῦτο ἐπανόρθωσις γίγνεται καταναγκαζομένης εἰς τὸ κάτω 
-Z/18a/400/11	τῆς κλειδὸς, ὡς ἀποτελεῖσθαί τινας κυκλοτερεῖς καμπὰς αὐ-
-Z/18a/400/12	τῆς. ἐνταῦθα δὴ καὶ τοῖς νεωτέροις ἡ κατανάγκασις αὕτη 
-Z/18a/400/13	μᾶλλον ἐπιτυγχάνει· ὅσῳ γὰρ ἡ ἡλικία προέρχεται, ξηρό-
-Z/18a/400/14	τερα τὰ σώματα ἡμῶν ἀποτελεῖται. καθάπερ οὖν τὰ ξηρὰ 
-Z/18a/400/15	ξύλα πρὸς καμπάς ἐστιν οὐκ ἐπιτήδεια, τὰ δὲ ὑγρὰ καὶ 
-Z/18a/400/16	χλωρὰ ῥᾳδίως πάσχει τοῦτο, κατὰ τὸν αὐτὸν τρόπον καὶ 
-Z/18a/400/17	τῶν ἔτι αὐξανομένων ὀστᾶ δύναται κάμπτεσθαι καταναγκα-
-Z/18a/400/18	ζόμενα, καὶ πολὺ μᾶλλον, ὅταν ᾖ χαῦνα καὶ σηραγγώδη, κα- 
-Z/18a/401/1	θάπερ κλείς ἐστι. καὶ ἔγωγ' ἐπειράθην αὐτὸς ἐπ' ἐμαυτοῦ 
-Z/18a/401/2	καμπτομένης αἰσθανόμενος τῆς κλειδὸς, ἔσφυζε γὰρ διὰ βά-
-Z/18a/401/3	θους ὁπότε σφοδρῶς κατασπασθῇ τῷ βιαίῳ τῆς ἐπιδέσεως, 
-Z/18a/401/4	ὑπέμεινα δὲ τοῦτο μέχρι μʹ ἡμέρας, ἐν αἷς οὕτω προσήχθη 
-Z/18a/401/5	τῇ κεφαλῇ τοῦ βραχίονος ἡ κλεὶς, ὥστε τοὺς μὲν νῦν ὁρῶν-
-Z/18a/401/6	τας ἀπιστεῖν εἰ ἀπεσπάσθη ποτὲ, τοὺς δὲ ἰδόντας ὁπόταν 
-Z/18a/401/7	ἀπεσπάσθη, τριῶν δακτύλων διάστημα τὸ μεταξὺ γενόμενον 
-Z/18a/401/8	ὑπερθαυμάζειν τὸ πρᾶγμα. συνέβη μέντοι τὸν βραχίονα 
-Z/18a/401/9	τελείως ἀτροφῆσαι κατ' ἐκεῖνον τὸν χρόνον, ὡς ἰσχνὸν παν-
-Z/18a/401/10	τελῶς γενέσθαι, συνατροφῆσαι δ' αὐτῷ καὶ τὸν πῆχυν. 
-Z/18a/401/11	ἀλλὰ ταῦτα μὲν ἐπανορθωσάμενος ἑνὶ βοηθήματι τῷ τῆς 
-Z/18a/401/12	ἐπιδέσεως ἀνετράφη σύμπαν τὸ κῶλον, οὐκ ἐν πολλῷ χρόνῳ 
-Z/18a/401/13	μετὰ τὸ λυθῆναι τοὺς ἐπιδέσμους. ἐπὶ δὲ μειρακίου 
-Z/18a/401/14	καὶ μᾶλλον ἐπὶ παιδίων ἑτοιμότερον ἡ ἐπίδεσις καταναγκά-
-Z/18a/401/15	ζοι τὸ ὀστοῦν· ἐμοὶ μὲν γὰρ ἔτος ἄγοντι εʹ καὶ λʹ οὕτω 
